"Page type","SEER historic stage A","Summary Interval","N","Cause-Spec","SE Cause-Spec","Cause-Spec Cum CI Lower","Cause-Spec Cum CI Upper"
1,0,0,0,+,+,+,+
1,0,1,0,+,+,+,+
1,0,2,0,+,+,+,+
1,0,3,0,+,+,+,+
1,0,4,0,+,+,+,+
1,0,5,0,+,+,+,+
1,0,6,0,+,+,+,+
1,0,7,0,+,+,+,+
1,0,8,0,+,+,+,+
1,0,9,0,+,+,+,+
1,0,10,0,+,+,+,+
1,0,11,0,+,+,+,+
1,0,12,0,+,+,+,+
1,0,13,0,+,+,+,+
1,0,14,0,+,+,+,+
1,0,15,0,+,+,+,+
1,0,16,0,+,+,+,+
1,0,17,0,+,+,+,+
1,0,18,0,+,+,+,+
1,0,19,0,+,+,+,+
1,1,0,8776,99.3%,0.1%,99.1%,99.5%
1,1,1,8776,97.5%,0.2%,97.2%,97.8%
1,1,2,8776,95.2%,0.2%,94.7%,95.6%
1,1,3,8776,92.8%,0.3%,92.2%,93.3%
1,1,4,8776,90.6%,0.3%,89.9%,91.2%
1,1,5,8776,88.5%,0.4%,87.7%,89.1%
1,1,6,8776,86.5%,0.4%,85.8%,87.2%
1,1,7,8776,85.0%,0.4%,84.2%,85.7%
1,1,8,8776,83.2%,0.4%,82.4%,84.0%
1,1,9,8776,81.8%,0.4%,80.9%,82.6%
1,1,10,8776,80.2%,0.5%,79.3%,81.0%
1,1,11,8776,79.0%,0.5%,78.1%,79.9%
1,1,12,8776,77.8%,0.5%,76.8%,78.7%
1,1,13,8776,76.7%,0.5%,75.7%,77.6%
1,1,14,8776,75.4%,0.5%,74.4%,76.4%
1,1,15,8776,74.1%,0.5%,73.0%,75.1%
1,1,16,8776,72.8%,0.5%,71.8%,73.9%
1,1,17,8776,71.9%,0.5%,70.8%,72.9%
1,1,18,8776,71.1%,0.5%,70.0%,72.1%
1,1,19,8776,70.2%,0.6%,69.1%,71.3%
1,2,0,7763,96.3%,0.2%,95.8%,96.7%
1,2,1,7763,88.9%,0.4%,88.2%,89.6%
1,2,2,7763,81.5%,0.4%,80.6%,82.4%
1,2,3,7763,74.6%,0.5%,73.6%,75.6%
1,2,4,7763,69.2%,0.5%,68.1%,70.2%
1,2,5,7763,65.0%,0.6%,63.9%,66.1%
1,2,6,7763,61.1%,0.6%,60.0%,62.3%
1,2,7,7763,57.6%,0.6%,56.4%,58.7%
1,2,8,7763,54.7%,0.6%,53.5%,55.8%
1,2,9,7763,52.4%,0.6%,51.3%,53.6%
1,2,10,7763,50.0%,0.6%,48.8%,51.2%
1,2,11,7763,47.8%,0.6%,46.6%,49.0%
1,2,12,7763,45.9%,0.6%,44.7%,47.1%
1,2,13,7763,44.4%,0.6%,43.2%,45.6%
1,2,14,7763,42.8%,0.6%,41.6%,44.0%
1,2,15,7763,41.5%,0.6%,40.3%,42.7%
1,2,16,7763,40.1%,0.6%,38.9%,41.4%
1,2,17,7763,39.3%,0.6%,38.0%,40.5%
1,2,18,7763,38.5%,0.6%,37.2%,39.7%
1,2,19,7763,37.8%,0.6%,36.5%,39.0%
1,3,0,1730,58.6%,1.2%,56.2%,60.9%
1,3,1,1730,40.5%,1.2%,38.1%,42.8%
1,3,2,1730,28.6%,1.1%,26.5%,30.8%
1,3,3,1730,21.6%,1.0%,19.6%,23.6%
1,3,4,1730,17.2%,1.0%,15.4%,19.1%
1,3,5,1730,13.9%,0.9%,12.3%,15.7%
1,3,6,1730,11.5%,0.8%,9.9%,13.1%
1,3,7,1730,10.7%,0.8%,9.1%,12.3%
1,3,8,1730,9.5%,0.8%,8.0%,11.1%
1,3,9,1730,8.6%,0.8%,7.2%,10.1%
1,3,10,1730,8.1%,0.7%,6.8%,9.7%
1,3,11,1730,7.6%,0.7%,6.3%,9.1%
1,3,12,1730,7.5%,0.7%,6.2%,9.0%
1,3,13,1730,7.2%,0.7%,5.9%,8.7%
1,3,14,1730,6.9%,0.7%,5.6%,8.4%
1,3,15,1730,6.5%,0.7%,5.3%,8.0%
1,3,16,1730,6.4%,0.7%,5.1%,7.9%
1,3,17,1730,6.4%,0.7%,5.1%,7.9%
1,3,18,1730,6.2%,0.7%,5.0%,7.7%
1,3,19,1730,6.2%,0.7%,5.0%,7.7%
1,4,0,0,+,+,+,+
1,4,1,0,+,+,+,+
1,4,2,0,+,+,+,+
1,4,3,0,+,+,+,+
1,4,4,0,+,+,+,+
1,4,5,0,+,+,+,+
1,4,6,0,+,+,+,+
1,4,7,0,+,+,+,+
1,4,8,0,+,+,+,+
1,4,9,0,+,+,+,+
1,4,10,0,+,+,+,+
1,4,11,0,+,+,+,+
1,4,12,0,+,+,+,+
1,4,13,0,+,+,+,+
1,4,14,0,+,+,+,+
1,4,15,0,+,+,+,+
1,4,16,0,+,+,+,+
1,4,17,0,+,+,+,+
1,4,18,0,+,+,+,+
1,4,19,0,+,+,+,+
1,5,0,683,93.7%,0.9%,91.5%,95.3%
1,5,1,683,86.3%,1.3%,83.5%,88.7%
1,5,2,683,79.6%,1.6%,76.3%,82.5%
1,5,3,683,73.7%,1.7%,70.2%,76.9%
1,5,4,683,68.4%,1.8%,64.7%,71.8%
1,5,5,683,63.8%,1.9%,60.0%,67.4%
1,5,6,683,60.4%,1.9%,56.5%,64.1%
1,5,7,683,56.5%,2.0%,52.5%,60.2%
