"ER Status Recode Breast Cancer (1990+)","Derived HER2 Recode (2010+)","Breast - Adjusted AJCC 6th Stage (1988+)","Count"
0,0,0,4
0,0,1,2387
0,0,2,1411
0,0,3,715
0,0,4,5
0,0,5,448
0,0,6,156
0,0,7,247
0,0,8,442
0,0,9,0
0,0,10,225
0,0,11,0
0,1,0,1
0,1,1,25204
0,1,2,9963
0,1,3,4123
0,1,4,45
0,1,5,2464
0,1,6,575
0,1,7,1191
0,1,8,1785
0,1,9,4
0,1,10,1122
0,1,11,0
0,2,0,1
0,2,1,730
0,2,2,346
0,2,3,148
0,2,4,2
0,2,5,85
0,2,6,27
0,2,7,42
0,2,8,93
0,2,9,0
0,2,10,58
0,2,11,0
0,3,0,11
0,3,1,1057
0,3,2,241
0,3,3,99
0,3,4,2
0,3,5,54
0,3,6,27
0,3,7,26
0,3,8,130
0,3,9,1
0,3,10,141
0,3,11,0
0,4,0,0
0,4,1,0
0,4,2,0
0,4,3,0
0,4,4,0
0,4,5,0
0,4,6,0
0,4,7,0
0,4,8,0
0,4,9,0
0,4,10,0
0,4,11,0
1,0,0,6
1,0,1,1052
1,0,2,668
1,0,3,390
1,0,4,3
1,0,5,262
1,0,6,138
1,0,7,173
1,0,8,266
1,0,9,0
1,0,10,131
1,0,11,0
1,1,0,2
1,1,1,2993
1,1,2,2195
1,1,3,945
1,1,4,15
1,1,5,499
1,1,6,254
1,1,7,314
1,1,8,455
1,1,9,22
1,1,10,221
1,1,11,0
1,2,0,0
1,2,1,101
1,2,2,57
1,2,3,25
1,2,4,0
1,2,5,13
1,2,6,10
1,2,7,13
1,2,8,26
1,2,9,0
1,2,10,9
1,2,11,0
1,3,0,34
1,3,1,246
1,3,2,61
1,3,3,30
1,3,4,0
1,3,5,10
1,3,6,15
1,3,7,11
1,3,8,24
1,3,9,2
1,3,10,42
1,3,11,0
1,4,0,0
1,4,1,0
1,4,2,0
1,4,3,0
1,4,4,0
1,4,5,0
1,4,6,0
1,4,7,0
1,4,8,0
1,4,9,0
1,4,10,0
1,4,11,0
2,0,0,0
2,0,1,9
2,0,2,5
2,0,3,1
2,0,4,0
2,0,5,2
2,0,6,0
2,0,7,0
2,0,8,0
2,0,9,0
2,0,10,2
2,0,11,0
2,1,0,0
2,1,1,11
2,1,2,10
2,1,3,6
2,1,4,0
2,1,5,3
2,1,6,0
2,1,7,0
2,1,8,2
2,1,9,0
2,1,10,5
2,1,11,0
2,2,0,0
2,2,1,2
2,2,2,2
2,2,3,0
2,2,4,0
2,2,5,1
2,2,6,0
2,2,7,0
2,2,8,0
2,2,9,0
2,2,10,0
2,2,11,0
2,3,0,0
2,3,1,2
2,3,2,0
2,3,3,0
2,3,4,0
2,3,5,0
2,3,6,0
2,3,7,2
2,3,8,1
2,3,9,0
2,3,10,0
2,3,11,0
2,4,0,0
2,4,1,0
2,4,2,0
2,4,3,0
2,4,4,0
2,4,5,0
2,4,6,0
2,4,7,0
2,4,8,0
2,4,9,0
2,4,10,0
2,4,11,0
3,0,0,0
3,0,1,13
3,0,2,12
3,0,3,3
3,0,4,0
3,0,5,1
3,0,6,2
3,0,7,1
3,0,8,7
3,0,9,0
3,0,10,7
3,0,11,0
3,1,0,1
3,1,1,76
3,1,2,22
3,1,3,13
3,1,4,1
3,1,5,2
3,1,6,2
3,1,7,5
3,1,8,29
3,1,9,0
3,1,10,11
3,1,11,0
3,2,0,0
3,2,1,7
3,2,2,1
3,2,3,0
3,2,4,0
3,2,5,0
3,2,6,0
3,2,7,0
3,2,8,2
3,2,9,0
3,2,10,2
3,2,11,0
3,3,0,21
3,3,1,864
3,3,2,367
3,3,3,172
3,3,4,11
3,3,5,66
3,3,6,39
3,3,7,39
3,3,8,378
3,3,9,55
3,3,10,920
3,3,11,0
3,4,0,0
3,4,1,0
3,4,2,0
3,4,3,0
3,4,4,0
3,4,5,0
3,4,6,0
3,4,7,0
3,4,8,0
3,4,9,0
3,4,10,0
3,4,11,0
4,0,0,0
4,0,1,0
4,0,2,0
4,0,3,0
4,0,4,0
4,0,5,0
4,0,6,0
4,0,7,0
4,0,8,0
4,0,9,0
4,0,10,0
4,0,11,0
4,1,0,0
4,1,1,0
4,1,2,0
4,1,3,0
4,1,4,0
4,1,5,0
4,1,6,0
4,1,7,0
4,1,8,0
4,1,9,0
4,1,10,0
4,1,11,0
4,2,0,0
4,2,1,0
4,2,2,0
4,2,3,0
4,2,4,0
4,2,5,0
4,2,6,0
4,2,7,0
4,2,8,0
4,2,9,0
4,2,10,0
4,2,11,0
4,3,0,0
4,3,1,0
4,3,2,0
4,3,3,0
4,3,4,0
4,3,5,0
4,3,6,0
4,3,7,0
4,3,8,0
4,3,9,0
4,3,10,0
4,3,11,0
4,4,0,0
4,4,1,0
4,4,2,0
4,4,3,0
4,4,4,0
4,4,5,0
4,4,6,0
4,4,7,0
4,4,8,0
4,4,9,0
4,4,10,0
4,4,11,0
