Ages,Rate,Count,Pop,Source
00 years,0,0,"835,380","Elan, and he doesn't know where it's from"
01-04 years,0,0,"3,049,662",
05-09 years,0,0,"3,831,516",
10-14 years,0,2,"4,250,214",
15-19 years,0.2,8,"4,745,372",
20-24 years,1.3,63,"5,033,148",
25-29 years,8.5,417,"4,894,238",
30-34 years,27.5,"1,230","4,467,656",
35-39 years,62.4,"2,190","3,507,789",
40-44 years,108.1,"3,093","2,861,964",
45-49 years,161.9,"4,335","2,678,223",
50-54 years,186.4,"5,291","2,838,284",
55-59 years,223.2,"6,275","2,811,822",
60-64 years,271.8,"6,650","2,446,517",
65-69 years,299.8,"6,269","2,091,132",
70-74 years,330.1,"5,493","1,664,122",
75-79 years,347.2,"4,391","1,264,624",
80-84 years,355.2,"3,070","864,224",
85+ years,384.6,"2,828","735,357",
Unknown,~,0,0,
,"Rates are per 100,000.",,,
  ~,Statistic could not be calculated.,,,
