"Trial","Age.Group","Control","Screen","Incidence","Prevalence"
"Historical",50,22.6304903983193,19.8436861691728,201.213748916223,0.99022
"Historical",55,63.2446760094544,56.2751273655799,225.521536887338,1.99530353451198
"Historical",60,97.7672834518728,87.6372665518494,259.182528893578,2.96080938197381
"Historical",65,130.025596450644,117.269380175932,279.782140012024,3.85482453071727
"Historical",70,157.617988322784,143.695388626986,301.010251022199,4.68774589911434
"Historical",75,183.710857740165,168.410499919222,319.091069858009,5.45316458548673
"Historical",80,205.402087007184,189.572415905535,333.106237877267,6.14060691691681
"Historical",85,215.335700125015,200.227308580195,169.101596042562,6.09649554351615
"Historical",90,173.11460345142,165.533379284312,0,5.16525458579643
"Historical",95,130.172733018948,127.000396503257,0,4.3379633290001
"Historical",100,117.591368821544,118.619544553649,0,3.71167433591565
"Historical",105,NA,NA,NA,NA
"Contemp1999",50,16.9839428630578,15.002449484868,NA,NA
"Contemp1999",55,49.1193388940325,43.7568909845394,NA,NA
"Contemp1999",60,79.2924711980952,71.0811361500915,NA,NA
"Contemp1999",65,107.005666622866,96.5290359216688,NA,NA
"Contemp1999",70,133.059822517006,120.371403790333,NA,NA
"Contemp1999",75,156.599947510302,143.048906289205,NA,NA
"Contemp1999",80,179.231588861087,164.325850540422,NA,NA
"Contemp1999",85,191.790935324245,176.936729044394,NA,NA
"Contemp1999",90,160.815704333676,151.234386576636,NA,NA
"Contemp1999",95,132.023130580942,125.734961992937,NA,NA
"Contemp1999",100,102.530104765087,100.471984402053,NA,NA
"Contemp1999",105,NA,NA,NA,NA
"Perfect",50,13.9883574513822,12.2366738863209,NA,NA
"Perfect",55,41.1349919327709,36.0496552100348,NA,NA
"Perfect",60,67.3021738875712,59.5244127069198,NA,NA
"Perfect",65,91.6099885871606,81.2595074467693,NA,NA
"Perfect",70,115.229046065722,102.323939596674,NA,NA
"Perfect",75,137.102883974797,122.871271507045,NA,NA
"Perfect",80,155.861832007056,140.688378969841,NA,NA
"Perfect",85,170.028666117146,153.004874259604,NA,NA
"Perfect",90,143.521467342497,132.635877182584,NA,NA
"Perfect",95,125.064973684675,116.543280137252,NA,NA
"Perfect",100,106.912177489997,104.934446301135,NA,NA
"Perfect",105,NA,NA,NA,NA
