"Trial","Effect","Follow-Up Year","Measure","Estimate","UI"
"Historical","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0192,"(0.0189,0.0201)"
"Historical","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0173,"(0.017,0.0181)"
"Historical","Effect of screening, same treatment",25,"MRR",0.901,"(0.8968,0.9127)"
"Historical","Effect of screening, same treatment",25,"ARR",0.0019,"(0.0018,0.0022)"
"Historical","Effect of screening, same treatment",25,"NNS",526.3158,"(500,591.9118)"
"Contemp1999","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0157,"(0.0155,0.0164)"
"Contemp1999","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0141,"(0.0139,0.0147)"
"Contemp1999","Effect of screening, same treatment",25,"MRR",0.8981,"(0.8941,0.9167)"
"Contemp1999","Effect of screening, same treatment",25,"ARR",0.0016,"(0.0015,0.0018)"
"Contemp1999","Effect of screening, same treatment",25,"NNS",625,"(602.4096,744.4426)"
"Perfect","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0134,"(0.0132,0.0141)"
"Perfect","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0119,"(0.0117,0.0125)"
"Perfect","Effect of screening, same treatment",25,"MRR",0.8881,"(0.8788,0.9013)"
"Perfect","Effect of screening, same treatment",25,"ARR",0.0015,"(0.0014,0.0018)"
"Perfect","Effect of screening, same treatment",25,"NNS",666.6667,"(609.7561,749.2145)"
"Contemp1999","Effect of treatment, without screening",25,"Cumulative Incidence, Group 0",0.0192,"(0.0189,0.0201)"
"Contemp1999","Effect of treatment, without screening",25,"Cumulative Incidence, Group 1",0.0157,"(0.0155,0.0164)"
"Contemp1999","Effect of treatment, without screening",25,"MRR",0.8177,"(0.8113,0.8344)"
"Contemp1999","Effect of treatment, without screening",25,"ARR",0.0035,"(0.0034,0.0039)"
"Contemp1999","Effect of treatment, without screening",25,"NNS",285.7143,"(273.7855,316.4557)"
"Contemp1999","Effect of treatment, with screening",25,"Cumulative Incidence, Group 0",0.0173,"(0.017,0.0181)"
"Contemp1999","Effect of treatment, with screening",25,"Cumulative Incidence, Group 1",0.0141,"(0.0139,0.0147)"
"Contemp1999","Effect of treatment, with screening",25,"MRR",0.815,"(0.8085,0.8335)"
"Contemp1999","Effect of treatment, with screening",25,"ARR",0.0032,"(0.0031,0.0035)"
"Contemp1999","Effect of treatment, with screening",25,"NNS",312.5,"(302.8014,353.5839)"
"Perfect","Effect of treatment, without screening",25,"Cumulative Incidence, Group 0",0.0192,"(0.0189,0.0201)"
"Perfect","Effect of treatment, without screening",25,"Cumulative Incidence, Group 1",0.0134,"(0.0132,0.0141)"
"Perfect","Effect of treatment, without screening",25,"MRR",0.6979,"(0.6899,0.7174)"
"Perfect","Effect of treatment, without screening",25,"ARR",0.0058,"(0.0057,0.0062)"
"Perfect","Effect of treatment, without screening",25,"NNS",172.4138,"(166.6667,187.8024)"
"Perfect","Effect of treatment, with screening",25,"Cumulative Incidence, Group 0",0.0173,"(0.017,0.0181)"
"Perfect","Effect of treatment, with screening",25,"Cumulative Incidence, Group 1",0.0119,"(0.0117,0.0125)"
"Perfect","Effect of treatment, with screening",25,"MRR",0.6879,"(0.6784,0.7089)"
"Perfect","Effect of treatment, with screening",25,"ARR",0.0054,"(0.0053,0.0059)"
"Perfect","Effect of treatment, with screening",25,"NNS",185.1852,"(178.1738,199.7203)"
