"Trial","Effect","Follow-Up Year","Measure","Estimate","UI"
"Historical","Effect of screening, same treatment",1,"Cumulative Incidence, Group 0",0,"(0,1e-04)"
"Historical","Effect of screening, same treatment",1,"Cumulative Incidence, Group 1",0,"(0,1e-04)"
"Historical","Effect of screening, same treatment",1,"MRR",NA,"(0.8,1)"
"Historical","Effect of screening, same treatment",1,"ARR",0,"(0,0)"
"Historical","Effect of screening, same treatment",1,"NNS",Inf,"(50000,1e+05)"
"Historical","Effect of screening, same treatment",2,"Cumulative Incidence, Group 0",2e-04,"(2e-04,3e-04)"
"Historical","Effect of screening, same treatment",2,"Cumulative Incidence, Group 1",2e-04,"(1e-04,3e-04)"
"Historical","Effect of screening, same treatment",2,"MRR",1,"(0.8451,1)"
"Historical","Effect of screening, same treatment",2,"ARR",0,"(0,0)"
"Historical","Effect of screening, same treatment",2,"NNS",Inf,"(33333.3333,1e+05)"
"Historical","Effect of screening, same treatment",3,"Cumulative Incidence, Group 0",4e-04,"(4e-04,6e-04)"
"Historical","Effect of screening, same treatment",3,"Cumulative Incidence, Group 1",4e-04,"(3e-04,5e-04)"
"Historical","Effect of screening, same treatment",3,"MRR",1,"(0.8485,1)"
"Historical","Effect of screening, same treatment",3,"ARR",0,"(0,1e-04)"
"Historical","Effect of screening, same treatment",3,"NNS",Inf,"(16666.6667,1e+05)"
"Historical","Effect of screening, same treatment",4,"Cumulative Incidence, Group 0",7e-04,"(7e-04,9e-04)"
"Historical","Effect of screening, same treatment",4,"Cumulative Incidence, Group 1",6e-04,"(6e-04,8e-04)"
"Historical","Effect of screening, same treatment",4,"MRR",0.8571,"(0.8532,0.9562)"
"Historical","Effect of screening, same treatment",4,"ARR",1e-04,"(1e-04,2e-04)"
"Historical","Effect of screening, same treatment",4,"NNS",10000,"(9090.9091,33333.3333)"
"Historical","Effect of screening, same treatment",5,"Cumulative Incidence, Group 0",0.0011,"(0.001,0.0013)"
"Historical","Effect of screening, same treatment",5,"Cumulative Incidence, Group 1",0.001,"(9e-04,0.0012)"
"Historical","Effect of screening, same treatment",5,"MRR",0.9091,"(0.8559,0.94)"
"Historical","Effect of screening, same treatment",5,"ARR",1e-04,"(1e-04,2e-04)"
"Historical","Effect of screening, same treatment",5,"NNS",10000,"(6158.0882,15535.7143)"
"Historical","Effect of screening, same treatment",6,"Cumulative Incidence, Group 0",0.0016,"(0.0015,0.0018)"
"Historical","Effect of screening, same treatment",6,"Cumulative Incidence, Group 1",0.0014,"(0.0013,0.0016)"
"Historical","Effect of screening, same treatment",6,"MRR",0.875,"(0.8612,0.9313)"
"Historical","Effect of screening, same treatment",6,"ARR",2e-04,"(2e-04,3e-04)"
"Historical","Effect of screening, same treatment",6,"NNS",5000,"(4545.4545,9090.9091)"
"Historical","Effect of screening, same treatment",7,"Cumulative Incidence, Group 0",0.0021,"(0.002,0.0024)"
"Historical","Effect of screening, same treatment",7,"Cumulative Incidence, Group 1",0.0019,"(0.0018,0.0021)"
"Historical","Effect of screening, same treatment",7,"MRR",0.9048,"(0.869,0.9189)"
"Historical","Effect of screening, same treatment",7,"ARR",2e-04,"(2e-04,3e-04)"
"Historical","Effect of screening, same treatment",7,"NNS",5000,"(3571.4286,6075.3676)"
"Historical","Effect of screening, same treatment",8,"Cumulative Incidence, Group 0",0.0027,"(0.0026,0.003)"
"Historical","Effect of screening, same treatment",8,"Cumulative Incidence, Group 1",0.0024,"(0.0023,0.0027)"
"Historical","Effect of screening, same treatment",8,"MRR",0.8889,"(0.8682,0.9195)"
"Historical","Effect of screening, same treatment",8,"ARR",3e-04,"(3e-04,4e-04)"
"Historical","Effect of screening, same treatment",8,"NNS",3333.3333,"(2857.1429,4784.0909)"
"Historical","Effect of screening, same treatment",9,"Cumulative Incidence, Group 0",0.0034,"(0.0032,0.0037)"
"Historical","Effect of screening, same treatment",9,"Cumulative Incidence, Group 1",0.003,"(0.0029,0.0033)"
"Historical","Effect of screening, same treatment",9,"MRR",0.8824,"(0.8744,0.9157)"
"Historical","Effect of screening, same treatment",9,"ARR",4e-04,"(3e-04,5e-04)"
"Historical","Effect of screening, same treatment",9,"NNS",2500,"(2272.7273,3640.873)"
"Historical","Effect of screening, same treatment",10,"Cumulative Incidence, Group 0",0.0041,"(0.004,0.0045)"
"Historical","Effect of screening, same treatment",10,"Cumulative Incidence, Group 1",0.0036,"(0.0035,0.004)"
"Historical","Effect of screening, same treatment",10,"MRR",0.878,"(0.8752,0.9149)"
"Historical","Effect of screening, same treatment",10,"ARR",5e-04,"(4e-04,6e-04)"
"Historical","Effect of screening, same treatment",10,"NNS",2000,"(1923.0769,2777.7778)"
"Historical","Effect of screening, same treatment",11,"Cumulative Incidence, Group 0",0.0049,"(0.0047,0.0052)"
"Historical","Effect of screening, same treatment",11,"Cumulative Incidence, Group 1",0.0043,"(0.0042,0.0047)"
"Historical","Effect of screening, same treatment",11,"MRR",0.8776,"(0.8778,0.9171)"
"Historical","Effect of screening, same treatment",11,"ARR",6e-04,"(5e-04,7e-04)"
"Historical","Effect of screening, same treatment",11,"NNS",1666.6667,"(1687.8531,2477.1062)"
"Historical","Effect of screening, same treatment",12,"Cumulative Incidence, Group 0",0.0057,"(0.0055,0.0061)"
"Historical","Effect of screening, same treatment",12,"Cumulative Incidence, Group 1",0.0051,"(0.0049,0.0055)"
"Historical","Effect of screening, same treatment",12,"MRR",0.8947,"(0.8786,0.9156)"
"Historical","Effect of screening, same treatment",12,"ARR",6e-04,"(6e-04,8e-04)"
"Historical","Effect of screening, same treatment",12,"NNS",1666.6667,"(1444.0994,2040.8163)"
"Historical","Effect of screening, same treatment",13,"Cumulative Incidence, Group 0",0.0066,"(0.0064,0.0071)"
"Historical","Effect of screening, same treatment",13,"Cumulative Incidence, Group 1",0.0058,"(0.0057,0.0064)"
"Historical","Effect of screening, same treatment",13,"MRR",0.8788,"(0.8822,0.9132)"
"Historical","Effect of screening, same treatment",13,"ARR",8e-04,"(7e-04,9e-04)"
"Historical","Effect of screening, same treatment",13,"NNS",1250,"(1282.0513,1770.8333)"
"Historical","Effect of screening, same treatment",14,"Cumulative Incidence, Group 0",0.0075,"(0.0073,0.008)"
"Historical","Effect of screening, same treatment",14,"Cumulative Incidence, Group 1",0.0067,"(0.0065,0.0072)"
"Historical","Effect of screening, same treatment",14,"MRR",0.8933,"(0.8827,0.9125)"
"Historical","Effect of screening, same treatment",14,"ARR",8e-04,"(8e-04,0.001)"
"Historical","Effect of screening, same treatment",14,"NNS",1250,"(1149.4253,1577.5434)"
"Historical","Effect of screening, same treatment",15,"Cumulative Incidence, Group 0",0.0084,"(0.0082,0.009)"
"Historical","Effect of screening, same treatment",15,"Cumulative Incidence, Group 1",0.0075,"(0.0074,0.0081)"
"Historical","Effect of screening, same treatment",15,"MRR",0.8929,"(0.8846,0.9121)"
"Historical","Effect of screening, same treatment",15,"ARR",9e-04,"(8e-04,0.0011)"
"Historical","Effect of screening, same treatment",15,"NNS",1111.1111,"(1030.9278,1379.8516)"
"Historical","Effect of screening, same treatment",16,"Cumulative Incidence, Group 0",0.0094,"(0.0092,0.0101)"
"Historical","Effect of screening, same treatment",16,"Cumulative Incidence, Group 1",0.0084,"(0.0082,0.0091)"
"Historical","Effect of screening, same treatment",16,"MRR",0.8936,"(0.8861,0.9104)"
"Historical","Effect of screening, same treatment",16,"ARR",0.001,"(9e-04,0.0012)"
"Historical","Effect of screening, same treatment",16,"NNS",1000,"(939.0287,1198.0063)"
"Historical","Effect of screening, same treatment",17,"Cumulative Incidence, Group 0",0.0105,"(0.0102,0.011)"
"Historical","Effect of screening, same treatment",17,"Cumulative Incidence, Group 1",0.0094,"(0.0092,0.01)"
"Historical","Effect of screening, same treatment",17,"MRR",0.8952,"(0.888,0.9109)"
"Historical","Effect of screening, same treatment",17,"ARR",0.0011,"(0.001,0.0013)"
"Historical","Effect of screening, same treatment",17,"NNS",909.0909,"(854.7009,1069.8353)"
"Historical","Effect of screening, same treatment",18,"Cumulative Incidence, Group 0",0.0115,"(0.0113,0.0121)"
"Historical","Effect of screening, same treatment",18,"Cumulative Incidence, Group 1",0.0103,"(0.0101,0.0109)"
"Historical","Effect of screening, same treatment",18,"MRR",0.8957,"(0.8882,0.9092)"
"Historical","Effect of screening, same treatment",18,"ARR",0.0012,"(0.0011,0.0014)"
"Historical","Effect of screening, same treatment",18,"NNS",833.3333,"(779.7359,980.967)"
"Historical","Effect of screening, same treatment",19,"Cumulative Incidence, Group 0",0.0126,"(0.0123,0.0132)"
"Historical","Effect of screening, same treatment",19,"Cumulative Incidence, Group 1",0.0113,"(0.0111,0.0119)"
"Historical","Effect of screening, same treatment",19,"MRR",0.8968,"(0.8905,0.9096)"
"Historical","Effect of screening, same treatment",19,"ARR",0.0013,"(0.0013,0.0016)"
"Historical","Effect of screening, same treatment",19,"NNS",769.2308,"(719.4245,884.9558)"
"Historical","Effect of screening, same treatment",20,"Cumulative Incidence, Group 0",0.0137,"(0.0134,0.0143)"
"Historical","Effect of screening, same treatment",20,"Cumulative Incidence, Group 1",0.0123,"(0.0121,0.013)"
"Historical","Effect of screening, same treatment",20,"MRR",0.8978,"(0.8917,0.9099)"
"Historical","Effect of screening, same treatment",20,"ARR",0.0014,"(0.0013,0.0017)"
"Historical","Effect of screening, same treatment",20,"NNS",714.2857,"(679.123,809.8938)"
"Historical","Effect of screening, same treatment",21,"Cumulative Incidence, Group 0",0.0148,"(0.0145,0.0155)"
"Historical","Effect of screening, same treatment",21,"Cumulative Incidence, Group 1",0.0133,"(0.013,0.0139)"
"Historical","Effect of screening, same treatment",21,"MRR",0.8986,"(0.8911,0.9105)"
"Historical","Effect of screening, same treatment",21,"ARR",0.0015,"(0.0014,0.0018)"
"Historical","Effect of screening, same treatment",21,"NNS",666.6667,"(625,754.8701)"
"Historical","Effect of screening, same treatment",22,"Cumulative Incidence, Group 0",0.0159,"(0.0156,0.0166)"
"Historical","Effect of screening, same treatment",22,"Cumulative Incidence, Group 1",0.0143,"(0.014,0.015)"
"Historical","Effect of screening, same treatment",22,"MRR",0.8994,"(0.8932,0.9129)"
"Historical","Effect of screening, same treatment",22,"ARR",0.0016,"(0.0015,0.0019)"
"Historical","Effect of screening, same treatment",22,"NNS",625,"(588.2353,714.2857)"
"Historical","Effect of screening, same treatment",23,"Cumulative Incidence, Group 0",0.017,"(0.0167,0.0178)"
"Historical","Effect of screening, same treatment",23,"Cumulative Incidence, Group 1",0.0153,"(0.015,0.016)"
"Historical","Effect of screening, same treatment",23,"MRR",0.9,"(0.8957,0.9131)"
"Historical","Effect of screening, same treatment",23,"ARR",0.0017,"(0.0016,0.002)"
"Historical","Effect of screening, same treatment",23,"NNS",588.2353,"(561.0131,664.5695)"
"Historical","Effect of screening, same treatment",24,"Cumulative Incidence, Group 0",0.0181,"(0.0178,0.019)"
"Historical","Effect of screening, same treatment",24,"Cumulative Incidence, Group 1",0.0163,"(0.016,0.0171)"
"Historical","Effect of screening, same treatment",24,"MRR",0.9006,"(0.8956,0.9124)"
"Historical","Effect of screening, same treatment",24,"ARR",0.0018,"(0.0017,0.002)"
"Historical","Effect of screening, same treatment",24,"NNS",555.5556,"(523.5602,623.3986)"
"Historical","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0192,"(0.0189,0.0201)"
"Historical","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0173,"(0.017,0.0181)"
"Historical","Effect of screening, same treatment",25,"MRR",0.901,"(0.8968,0.9127)"
"Historical","Effect of screening, same treatment",25,"ARR",0.0019,"(0.0018,0.0022)"
"Historical","Effect of screening, same treatment",25,"NNS",526.3158,"(500,591.9118)"
