"Trial","Age.Group","Control","Screen","Incidence","Prevalence"
"Historical",50,22.7145561333691,19.9283109515962,201.233707324271,0.99702
"Historical",55,63.2920568359956,56.3034380475397,225.647007473406,2.00504588886701
"Historical",60,97.8793927446354,87.7152960629253,259.038531876336,2.9743418802093
"Historical",65,130.2466294407,117.471394525772,279.685053219571,3.87611750227597
"Historical",70,157.532012893459,143.741545079764,301.097657371358,4.72069406535265
"Historical",75,183.745491740352,168.448240285583,320.019078263655,5.51482802041349
"Historical",80,204.749109739741,188.901544173686,333.276013990981,6.21302081738424
"Historical",85,215.298585845272,200.621161724075,163.205091899554,6.1178742471721
"Historical",90,172.020897016287,165.524743270766,0,5.15842904379972
"Historical",95,133.875621718056,131.723541095343,0,4.36678661824922
"Historical",100,120.429557746535,119.76950238197,0,3.73789759626063
"Historical",105,NA,NA,NA,NA
"Contemp1999",50,17.0655797221335,15.0772147554093,NA,NA
"Contemp1999",55,49.1657107244485,43.7957748708368,NA,NA
"Contemp1999",60,79.4560881083981,71.2434584638226,NA,NA
"Contemp1999",65,106.914533663868,96.4305849547605,NA,NA
"Contemp1999",70,132.853952881492,120.245563346572,NA,NA
"Contemp1999",75,156.851238367614,143.31796461425,NA,NA
"Contemp1999",80,179.29911510606,164.369417643513,NA,NA
"Contemp1999",85,191.062380206495,176.545130588288,NA,NA
"Contemp1999",90,159.975072009796,150.604341300446,NA,NA
"Contemp1999",95,130.90330934734,125.373483052071,NA,NA
"Contemp1999",100,127.894566334589,122.049397670253,NA,NA
"Contemp1999",105,NA,NA,NA,NA
"Perfect",50,14.0517648426047,12.2957067557077,NA,NA
"Perfect",55,41.1811606506921,36.1235148412223,NA,NA
"Perfect",60,67.4551868248767,59.6773503441964,NA,NA
"Perfect",65,91.6205632180116,81.2062200808567,NA,NA
"Perfect",70,115.073997886273,102.247791070605,NA,NA
"Perfect",75,137.392776131429,123.045759933225,NA,NA
"Perfect",80,156.375135591599,141.098768269766,NA,NA
"Perfect",85,168.756877139396,152.185163739491,NA,NA
"Perfect",90,144.097760270347,132.598159968333,NA,NA
"Perfect",95,121.384647087933,114.052506916606,NA,NA
"Perfect",100,114.195881596881,113.076764023607,NA,NA
"Perfect",105,NA,NA,NA,NA
