"Trial","Effect","Follow-Up Year","Measure","Estimate","UI"
"Historical","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0207,"(0.0203,0.0215)"
"Historical","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0186,"(0.0183,0.0194)"
"Historical","Effect of screening, same treatment",25,"MRR",0.8986,"(0.8977,0.9138)"
"Historical","Effect of screening, same treatment",25,"ARR",0.0021,"(0.0019,0.0023)"
"Historical","Effect of screening, same treatment",25,"NNS",476.1905,"(471.6981,563.4641)"
"Contemp1999","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0169,"(0.0166,0.0176)"
"Contemp1999","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0152,"(0.0149,0.0159)"
"Contemp1999","Effect of screening, same treatment",25,"MRR",0.8994,"(0.8953,0.9155)"
"Contemp1999","Effect of screening, same treatment",25,"ARR",0.0017,"(0.0016,0.0019)"
"Contemp1999","Effect of screening, same treatment",25,"NNS",588.2353,"(564.1783,683.0149)"
"Perfect","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0144,"(0.0142,0.0152)"
"Perfect","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0128,"(0.0125,0.0134)"
"Perfect","Effect of screening, same treatment",25,"MRR",0.8889,"(0.8797,0.9008)"
"Perfect","Effect of screening, same treatment",25,"ARR",0.0016,"(0.0016,0.0019)"
"Perfect","Effect of screening, same treatment",25,"NNS",625,"(578.0347,697.3045)"
"Contemp1999","Effect of treatment, without screening",25,"Cumulative Incidence, Group 0",0.0207,"(0.0203,0.0215)"
"Contemp1999","Effect of treatment, without screening",25,"Cumulative Incidence, Group 1",0.0169,"(0.0166,0.0176)"
"Contemp1999","Effect of treatment, without screening",25,"MRR",0.8164,"(0.8117,0.8356)"
"Contemp1999","Effect of treatment, without screening",25,"ARR",0.0038,"(0.0036,0.0042)"
"Contemp1999","Effect of treatment, without screening",25,"NNS",263.1579,"(256.2463,297.3036)"
"Contemp1999","Effect of treatment, with screening",25,"Cumulative Incidence, Group 0",0.0186,"(0.0183,0.0194)"
"Contemp1999","Effect of treatment, with screening",25,"Cumulative Incidence, Group 1",0.0152,"(0.0149,0.0159)"
"Contemp1999","Effect of treatment, with screening",25,"MRR",0.8172,"(0.8088,0.8339)"
"Contemp1999","Effect of treatment, with screening",25,"ARR",0.0034,"(0.0033,0.0038)"
"Contemp1999","Effect of treatment, with screening",25,"NNS",294.1176,"(280.8989,327.4881)"
"Perfect","Effect of treatment, without screening",25,"Cumulative Incidence, Group 0",0.0207,"(0.0203,0.0215)"
"Perfect","Effect of treatment, without screening",25,"Cumulative Incidence, Group 1",0.0144,"(0.0142,0.0152)"
"Perfect","Effect of treatment, without screening",25,"MRR",0.6957,"(0.6906,0.7182)"
"Perfect","Effect of treatment, without screening",25,"ARR",0.0063,"(0.006,0.0066)"
"Perfect","Effect of treatment, without screening",25,"NNS",158.7302,"(155.4004,173.9454)"
"Perfect","Effect of treatment, with screening",25,"Cumulative Incidence, Group 0",0.0186,"(0.0183,0.0194)"
"Perfect","Effect of treatment, with screening",25,"Cumulative Incidence, Group 1",0.0128,"(0.0125,0.0134)"
"Perfect","Effect of treatment, with screening",25,"MRR",0.6882,"(0.6776,0.7078)"
"Perfect","Effect of treatment, with screening",25,"ARR",0.0058,"(0.0057,0.0063)"
"Perfect","Effect of treatment, with screening",25,"NNS",172.4138,"(165.2211,186.9534)"
