"Trial","Effect","Follow-Up Year","Measure","Estimate","UI"
"Historical","Effect of screening, same treatment",1,"Cumulative Incidence, Group 0",0,"(0,1e-04)"
"Historical","Effect of screening, same treatment",1,"Cumulative Incidence, Group 1",0,"(0,1e-04)"
"Historical","Effect of screening, same treatment",1,"MRR",NA,"(0.8,1)"
"Historical","Effect of screening, same treatment",1,"ARR",0,"(0,0)"
"Historical","Effect of screening, same treatment",1,"NNS",Inf,"(50000,1e+05)"
"Historical","Effect of screening, same treatment",2,"Cumulative Incidence, Group 0",2e-04,"(2e-04,3e-04)"
"Historical","Effect of screening, same treatment",2,"Cumulative Incidence, Group 1",2e-04,"(1e-04,3e-04)"
"Historical","Effect of screening, same treatment",2,"MRR",1,"(0.8451,1)"
"Historical","Effect of screening, same treatment",2,"ARR",0,"(0,0)"
"Historical","Effect of screening, same treatment",2,"NNS",Inf,"(33333.3333,1e+05)"
"Historical","Effect of screening, same treatment",3,"Cumulative Incidence, Group 0",4e-04,"(4e-04,6e-04)"
"Historical","Effect of screening, same treatment",3,"Cumulative Incidence, Group 1",4e-04,"(3e-04,5e-04)"
"Historical","Effect of screening, same treatment",3,"MRR",1,"(0.85,1)"
"Historical","Effect of screening, same treatment",3,"ARR",0,"(0,1e-04)"
"Historical","Effect of screening, same treatment",3,"NNS",Inf,"(16666.6667,1e+05)"
"Historical","Effect of screening, same treatment",4,"Cumulative Incidence, Group 0",7e-04,"(7e-04,9e-04)"
"Historical","Effect of screening, same treatment",4,"Cumulative Incidence, Group 1",6e-04,"(6e-04,8e-04)"
"Historical","Effect of screening, same treatment",4,"MRR",0.8571,"(0.8545,0.9572)"
"Historical","Effect of screening, same treatment",4,"ARR",1e-04,"(1e-04,2e-04)"
"Historical","Effect of screening, same treatment",4,"NNS",10000,"(9090.9091,33333.3333)"
"Historical","Effect of screening, same treatment",5,"Cumulative Incidence, Group 0",0.0011,"(0.001,0.0013)"
"Historical","Effect of screening, same treatment",5,"Cumulative Incidence, Group 1",0.001,"(9e-04,0.0012)"
"Historical","Effect of screening, same treatment",5,"MRR",0.9091,"(0.8571,0.94)"
"Historical","Effect of screening, same treatment",5,"ARR",1e-04,"(1e-04,2e-04)"
"Historical","Effect of screening, same treatment",5,"NNS",10000,"(5882.3529,15535.7143)"
"Historical","Effect of screening, same treatment",6,"Cumulative Incidence, Group 0",0.0016,"(0.0015,0.0018)"
"Historical","Effect of screening, same treatment",6,"Cumulative Incidence, Group 1",0.0014,"(0.0013,0.0016)"
"Historical","Effect of screening, same treatment",6,"MRR",0.875,"(0.8592,0.9315)"
"Historical","Effect of screening, same treatment",6,"ARR",2e-04,"(2e-04,3e-04)"
"Historical","Effect of screening, same treatment",6,"NNS",5000,"(4545.4545,9090.9091)"
"Historical","Effect of screening, same treatment",7,"Cumulative Incidence, Group 0",0.0021,"(0.002,0.0024)"
"Historical","Effect of screening, same treatment",7,"Cumulative Incidence, Group 1",0.0019,"(0.0018,0.0021)"
"Historical","Effect of screening, same treatment",7,"MRR",0.9048,"(0.8679,0.9191)"
"Historical","Effect of screening, same treatment",7,"ARR",2e-04,"(2e-04,3e-04)"
"Historical","Effect of screening, same treatment",7,"NNS",5000,"(3571.4286,6075.3676)"
"Historical","Effect of screening, same treatment",8,"Cumulative Incidence, Group 0",0.0027,"(0.0026,0.0031)"
"Historical","Effect of screening, same treatment",8,"Cumulative Incidence, Group 1",0.0024,"(0.0023,0.0027)"
"Historical","Effect of screening, same treatment",8,"MRR",0.8889,"(0.8697,0.9183)"
"Historical","Effect of screening, same treatment",8,"ARR",3e-04,"(3e-04,4e-04)"
"Historical","Effect of screening, same treatment",8,"NNS",3333.3333,"(2777.7778,4565.2174)"
"Historical","Effect of screening, same treatment",9,"Cumulative Incidence, Group 0",0.0034,"(0.0033,0.0038)"
"Historical","Effect of screening, same treatment",9,"Cumulative Incidence, Group 1",0.003,"(0.0029,0.0034)"
"Historical","Effect of screening, same treatment",9,"MRR",0.8824,"(0.875,0.9168)"
"Historical","Effect of screening, same treatment",9,"ARR",4e-04,"(3e-04,5e-04)"
"Historical","Effect of screening, same treatment",9,"NNS",2500,"(2272.7273,3512.931)"
"Historical","Effect of screening, same treatment",10,"Cumulative Incidence, Group 0",0.0042,"(0.0041,0.0045)"
"Historical","Effect of screening, same treatment",10,"Cumulative Incidence, Group 1",0.0037,"(0.0036,0.0041)"
"Historical","Effect of screening, same treatment",10,"MRR",0.881,"(0.8769,0.9139)"
"Historical","Effect of screening, same treatment",10,"ARR",5e-04,"(4e-04,6e-04)"
"Historical","Effect of screening, same treatment",10,"NNS",2000,"(1923.0769,2742.1171)"
"Historical","Effect of screening, same treatment",11,"Cumulative Incidence, Group 0",0.005,"(0.0048,0.0053)"
"Historical","Effect of screening, same treatment",11,"Cumulative Incidence, Group 1",0.0044,"(0.0043,0.0048)"
"Historical","Effect of screening, same treatment",11,"MRR",0.88,"(0.8781,0.918)"
"Historical","Effect of screening, same treatment",11,"ARR",6e-04,"(5e-04,7e-04)"
"Historical","Effect of screening, same treatment",11,"NNS",1666.6667,"(1632.734,2368.0556)"
"Historical","Effect of screening, same treatment",12,"Cumulative Incidence, Group 0",0.0058,"(0.0057,0.0063)"
"Historical","Effect of screening, same treatment",12,"Cumulative Incidence, Group 1",0.0052,"(0.005,0.0056)"
"Historical","Effect of screening, same treatment",12,"MRR",0.8966,"(0.8795,0.9175)"
"Historical","Effect of screening, same treatment",12,"ARR",6e-04,"(6e-04,8e-04)"
"Historical","Effect of screening, same treatment",12,"NNS",1666.6667,"(1408.4507,2000)"
"Historical","Effect of screening, same treatment",13,"Cumulative Incidence, Group 0",0.0068,"(0.0066,0.0073)"
"Historical","Effect of screening, same treatment",13,"Cumulative Incidence, Group 1",0.006,"(0.0058,0.0066)"
"Historical","Effect of screening, same treatment",13,"MRR",0.8824,"(0.8824,0.9122)"
"Historical","Effect of screening, same treatment",13,"ARR",8e-04,"(7e-04,9e-04)"
"Historical","Effect of screening, same treatment",13,"NNS",1250,"(1234.5679,1740.0181)"
"Historical","Effect of screening, same treatment",14,"Cumulative Incidence, Group 0",0.0077,"(0.0075,0.0083)"
"Historical","Effect of screening, same treatment",14,"Cumulative Incidence, Group 1",0.0069,"(0.0067,0.0074)"
"Historical","Effect of screening, same treatment",14,"MRR",0.8961,"(0.8841,0.9135)"
"Historical","Effect of screening, same treatment",14,"ARR",8e-04,"(8e-04,0.001)"
"Historical","Effect of screening, same treatment",14,"NNS",1250,"(1111.1111,1553.0303)"
"Historical","Effect of screening, same treatment",15,"Cumulative Incidence, Group 0",0.0087,"(0.0085,0.0093)"
"Historical","Effect of screening, same treatment",15,"Cumulative Incidence, Group 1",0.0078,"(0.0076,0.0084)"
"Historical","Effect of screening, same treatment",15,"MRR",0.8966,"(0.8852,0.9124)"
"Historical","Effect of screening, same treatment",15,"ARR",9e-04,"(9e-04,0.0012)"
"Historical","Effect of screening, same treatment",15,"NNS",1111.1111,"(990.099,1351.3514)"
"Historical","Effect of screening, same treatment",16,"Cumulative Incidence, Group 0",0.0098,"(0.0096,0.0105)"
"Historical","Effect of screening, same treatment",16,"Cumulative Incidence, Group 1",0.0087,"(0.0086,0.0094)"
"Historical","Effect of screening, same treatment",16,"MRR",0.8878,"(0.8874,0.9098)"
"Historical","Effect of screening, same treatment",16,"ARR",0.0011,"(0.001,0.0012)"
"Historical","Effect of screening, same treatment",16,"NNS",909.0909,"(907.0434,1169.9726)"
"Historical","Effect of screening, same treatment",17,"Cumulative Incidence, Group 0",0.0109,"(0.0106,0.0115)"
"Historical","Effect of screening, same treatment",17,"Cumulative Incidence, Group 1",0.0097,"(0.0095,0.0104)"
"Historical","Effect of screening, same treatment",17,"MRR",0.8899,"(0.8872,0.9101)"
"Historical","Effect of screening, same treatment",17,"ARR",0.0012,"(0.0011,0.0013)"
"Historical","Effect of screening, same treatment",17,"NNS",833.3333,"(819.6721,1036.5657)"
"Historical","Effect of screening, same treatment",18,"Cumulative Incidence, Group 0",0.012,"(0.0118,0.0126)"
"Historical","Effect of screening, same treatment",18,"Cumulative Incidence, Group 1",0.0108,"(0.0105,0.0114)"
"Historical","Effect of screening, same treatment",18,"MRR",0.9,"(0.8884,0.9101)"
"Historical","Effect of screening, same treatment",18,"ARR",0.0012,"(0.0012,0.0014)"
"Historical","Effect of screening, same treatment",18,"NNS",833.3333,"(740.7407,948.1132)"
"Historical","Effect of screening, same treatment",19,"Cumulative Incidence, Group 0",0.0132,"(0.0129,0.0138)"
"Historical","Effect of screening, same treatment",19,"Cumulative Incidence, Group 1",0.0118,"(0.0116,0.0124)"
"Historical","Effect of screening, same treatment",19,"MRR",0.8939,"(0.8902,0.9117)"
"Historical","Effect of screening, same treatment",19,"ARR",0.0014,"(0.0013,0.0016)"
"Historical","Effect of screening, same treatment",19,"NNS",714.2857,"(689.6552,847.8776)"
"Historical","Effect of screening, same treatment",20,"Cumulative Incidence, Group 0",0.0144,"(0.0141,0.0151)"
"Historical","Effect of screening, same treatment",20,"Cumulative Incidence, Group 1",0.0129,"(0.0127,0.0136)"
"Historical","Effect of screening, same treatment",20,"MRR",0.8958,"(0.8911,0.9107)"
"Historical","Effect of screening, same treatment",20,"ARR",0.0015,"(0.0014,0.0017)"
"Historical","Effect of screening, same treatment",20,"NNS",666.6667,"(641.0256,778.3733)"
"Historical","Effect of screening, same treatment",21,"Cumulative Incidence, Group 0",0.0156,"(0.0153,0.0163)"
"Historical","Effect of screening, same treatment",21,"Cumulative Incidence, Group 1",0.014,"(0.0137,0.0147)"
"Historical","Effect of screening, same treatment",21,"MRR",0.8974,"(0.8926,0.9126)"
"Historical","Effect of screening, same treatment",21,"ARR",0.0016,"(0.0015,0.0018)"
"Historical","Effect of screening, same treatment",21,"NNS",625,"(594.3576,729.927)"
"Historical","Effect of screening, same treatment",22,"Cumulative Incidence, Group 0",0.0169,"(0.0166,0.0176)"
"Historical","Effect of screening, same treatment",22,"Cumulative Incidence, Group 1",0.0151,"(0.0149,0.0159)"
"Historical","Effect of screening, same treatment",22,"MRR",0.8935,"(0.8938,0.9143)"
"Historical","Effect of screening, same treatment",22,"ARR",0.0018,"(0.0016,0.002)"
"Historical","Effect of screening, same treatment",22,"NNS",555.5556,"(561.0131,683.3753)"
"Historical","Effect of screening, same treatment",23,"Cumulative Incidence, Group 0",0.0181,"(0.0178,0.0189)"
"Historical","Effect of screening, same treatment",23,"Cumulative Incidence, Group 1",0.0163,"(0.016,0.017)"
"Historical","Effect of screening, same treatment",23,"MRR",0.9006,"(0.8964,0.913)"
"Historical","Effect of screening, same treatment",23,"ARR",0.0018,"(0.0017,0.0021)"
"Historical","Effect of screening, same treatment",23,"NNS",555.5556,"(528.4043,633.137)"
"Historical","Effect of screening, same treatment",24,"Cumulative Incidence, Group 0",0.0194,"(0.0191,0.0202)"
"Historical","Effect of screening, same treatment",24,"Cumulative Incidence, Group 1",0.0174,"(0.0172,0.0183)"
"Historical","Effect of screening, same treatment",24,"MRR",0.8969,"(0.8965,0.9123)"
"Historical","Effect of screening, same treatment",24,"ARR",0.002,"(0.0018,0.0022)"
"Historical","Effect of screening, same treatment",24,"NNS",500,"(500,588.2353)"
"Historical","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0207,"(0.0203,0.0215)"
"Historical","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0186,"(0.0183,0.0194)"
"Historical","Effect of screening, same treatment",25,"MRR",0.8986,"(0.8977,0.9138)"
"Historical","Effect of screening, same treatment",25,"ARR",0.0021,"(0.0019,0.0023)"
"Historical","Effect of screening, same treatment",25,"NNS",476.1905,"(471.6981,563.4641)"
