"Trial","Effect","Follow-Up Year","Measure","Estimate","UI"
"Historical","Effect of screening, same treatment",1,"Cumulative Incidence, Group 0",1e-04,"(0,1e-04)"
"Historical","Effect of screening, same treatment",1,"Cumulative Incidence, Group 1",0,"(0,1e-04)"
"Historical","Effect of screening, same treatment",1,"MRR",0,"(0.75,1)"
"Historical","Effect of screening, same treatment",1,"ARR",1e-04,"(0,0)"
"Historical","Effect of screening, same treatment",1,"NNS",10000,"(50000,1e+05)"
"Historical","Effect of screening, same treatment",2,"Cumulative Incidence, Group 0",2e-04,"(2e-04,3e-04)"
"Historical","Effect of screening, same treatment",2,"Cumulative Incidence, Group 1",2e-04,"(2e-04,3e-04)"
"Historical","Effect of screening, same treatment",2,"MRR",1,"(0.7895,0.9817)"
"Historical","Effect of screening, same treatment",2,"ARR",0,"(0,1e-04)"
"Historical","Effect of screening, same treatment",2,"NNS",Inf,"(20000,1e+05)"
"Historical","Effect of screening, same treatment",3,"Cumulative Incidence, Group 0",5e-04,"(4e-04,6e-04)"
"Historical","Effect of screening, same treatment",3,"Cumulative Incidence, Group 1",4e-04,"(4e-04,5e-04)"
"Historical","Effect of screening, same treatment",3,"MRR",0.8,"(0.799,0.919)"
"Historical","Effect of screening, same treatment",3,"ARR",1e-04,"(1e-04,1e-04)"
"Historical","Effect of screening, same treatment",3,"NNS",10000,"(10000,29375)"
"Historical","Effect of screening, same treatment",4,"Cumulative Incidence, Group 0",8e-04,"(8e-04,0.001)"
"Historical","Effect of screening, same treatment",4,"Cumulative Incidence, Group 1",7e-04,"(7e-04,8e-04)"
"Historical","Effect of screening, same treatment",4,"MRR",0.875,"(0.8168,0.9286)"
"Historical","Effect of screening, same treatment",4,"ARR",1e-04,"(1e-04,2e-04)"
"Historical","Effect of screening, same treatment",4,"NNS",10000,"(6250,18416.6667)"
"Historical","Effect of screening, same treatment",5,"Cumulative Incidence, Group 0",0.0013,"(0.0012,0.0015)"
"Historical","Effect of screening, same treatment",5,"Cumulative Incidence, Group 1",0.0011,"(0.001,0.0013)"
"Historical","Effect of screening, same treatment",5,"MRR",0.8462,"(0.8204,0.8951)"
"Historical","Effect of screening, same treatment",5,"ARR",2e-04,"(2e-04,3e-04)"
"Historical","Effect of screening, same treatment",5,"NNS",5000,"(4166.6667,8333.3333)"
"Historical","Effect of screening, same treatment",6,"Cumulative Incidence, Group 0",0.0018,"(0.0017,0.0021)"
"Historical","Effect of screening, same treatment",6,"Cumulative Incidence, Group 1",0.0015,"(0.0014,0.0018)"
"Historical","Effect of screening, same treatment",6,"MRR",0.8333,"(0.8271,0.8884)"
"Historical","Effect of screening, same treatment",6,"ARR",3e-04,"(2e-04,4e-04)"
"Historical","Effect of screening, same treatment",6,"NNS",3333.3333,"(3125,5291.6667)"
"Historical","Effect of screening, same treatment",7,"Cumulative Incidence, Group 0",0.0024,"(0.0023,0.0027)"
"Historical","Effect of screening, same treatment",7,"Cumulative Incidence, Group 1",0.002,"(0.0019,0.0023)"
"Historical","Effect of screening, same treatment",7,"MRR",0.8333,"(0.8292,0.8839)"
"Historical","Effect of screening, same treatment",7,"ARR",4e-04,"(3e-04,5e-04)"
"Historical","Effect of screening, same treatment",7,"NNS",2500,"(2380.9524,4014.4231)"
"Historical","Effect of screening, same treatment",8,"Cumulative Incidence, Group 0",0.0031,"(0.003,0.0034)"
"Historical","Effect of screening, same treatment",8,"Cumulative Incidence, Group 1",0.0026,"(0.0025,0.0029)"
