"Trial","Age.Group","Control","Screen","Incidence","Prevalence"
"Historical",50,26.2757921502467,23.7905832733276,201.237108721089,0.99639
"Historical",55,69.7669775256864,63.4722712458355,225.75034077521,1.98594746735107
"Historical",60,107.381297725345,99.0310002372007,259.360122718543,2.92282943991519
"Historical",65,139.360297480682,128.744019569226,280.18489625957,3.77325800588489
"Historical",70,167.47061193817,155.852975672725,301.647189680549,4.57867688238831
"Historical",75,192.984359036827,180.577701747912,320.106416040628,5.32689109141827
"Historical",80,215.463929607615,202.633544502842,334.371844708361,6.00227220832511
"Historical",85,222.550385129225,211.800516664318,162.065945074481,5.84622765583737
"Historical",90,166.685273465126,162.013396770516,0,4.85471050903338
"Historical",95,122.556572255931,122.014970021988,0,4.07590888082963
"Historical",100,90.513410253964,91.0788237554341,0,3.51611095533631
"Historical",105,76.131511418223,80.6414416300258,0,3.05621877722634
"Historical",110,50.2124620877175,62.6819700355673,0,2.58111584113372
"Historical",115,93.5810983046645,93.5810983046645,0,1.87849680848907
"Historical",120,NA,NA,NA,NA
"Historical",125,NA,NA,NA,NA
"Contemp1999",50,19.8307879639384,17.9642700630633,NA,NA
"Contemp1999",55,54.7485377096678,49.9659231748411,NA,NA
"Contemp1999",60,87.0519970300797,80.1100387006142,NA,NA
"Contemp1999",65,116.602899629922,107.299987033361,NA,NA
"Contemp1999",70,143.174854055206,132.782554768159,NA,NA
"Contemp1999",75,166.173378579528,154.779699879142,NA,NA
"Contemp1999",80,189.467403084255,177.097383523846,NA,NA
"Contemp1999",85,200.21532965291,188.148824284716,NA,NA
"Contemp1999",90,159.524696306608,153.048700254585,NA,NA
"Contemp1999",95,128.321070142539,124.154497749605,NA,NA
"Contemp1999",100,100.718557749476,100.110807308,NA,NA
"Contemp1999",105,77.6838184254991,80.0637804824473,NA,NA
"Contemp1999",110,74.5537685851598,80.2456886816206,NA,NA
"Contemp1999",115,99.5700588552955,142.796359765233,NA,NA
"Contemp1999",120,NA,NA,NA,NA
"Contemp1999",125,NA,NA,NA,NA
"Perfect",50,16.4553759268025,14.78904183018,NA,NA
"Perfect",55,45.8690976320383,41.4165668168285,NA,NA
"Perfect",60,74.0862897689577,67.3504342850952,NA,NA
"Perfect",65,100.382823066161,91.4843144137629,NA,NA
"Perfect",70,124.764426536333,113.872139443932,NA,NA
"Perfect",75,147.265418843392,135.467026771797,NA,NA
"Perfect",80,166.956226230164,153.952767772416,NA,NA
"Perfect",85,177.518318121185,164.549416490569,NA,NA
"Perfect",90,148.424418973421,139.996731173646,NA,NA
"Perfect",95,121.575353242819,115.971496378882,NA,NA
"Perfect",100,96.9604275005971,94.2112548569548,NA,NA
"Perfect",105,83.5973703237349,81.0020231616098,NA,NA
"Perfect",110,96.6853912164253,99.0877041765847,NA,NA
"Perfect",115,80.8556124652767,120.926881339906,NA,NA
"Perfect",120,NA,NA,NA,NA
"Perfect",125,NA,NA,NA,NA
