"Trial","Effect","Follow-Up Year","Measure","Estimate","UI"
"Historical","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.022,"(0.0217,0.0229)"
"Historical","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0192,"(0.0189,0.02)"
"Historical","Effect of screening, same treatment",25,"MRR",0.8727,"(0.8687,0.8862)"
"Historical","Effect of screening, same treatment",25,"ARR",0.0028,"(0.0027,0.0031)"
"Historical","Effect of screening, same treatment",25,"NNS",357.1429,"(343.6426,396.1712)"
"Contemp1999","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0181,"(0.0179,0.0189)"
"Contemp1999","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0158,"(0.0155,0.0166)"
"Contemp1999","Effect of screening, same treatment",25,"MRR",0.8729,"(0.8653,0.8851)"
"Contemp1999","Effect of screening, same treatment",25,"ARR",0.0023,"(0.0023,0.0027)"
"Contemp1999","Effect of screening, same treatment",25,"NNS",434.7826,"(407.7485,469.6041)"
"Perfect","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0156,"(0.0153,0.0163)"
"Perfect","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0132,"(0.013,0.0139)"
"Perfect","Effect of screening, same treatment",25,"MRR",0.8462,"(0.8446,0.865)"
"Perfect","Effect of screening, same treatment",25,"ARR",0.0024,"(0.0022,0.0026)"
"Perfect","Effect of screening, same treatment",25,"NNS",416.6667,"(414.5091,478.911)"
"Contemp1999","Effect of treatment, without screening",25,"Cumulative Incidence, Group 0",0.022,"(0.0217,0.0229)"
"Contemp1999","Effect of treatment, without screening",25,"Cumulative Incidence, Group 1",0.0181,"(0.0179,0.0189)"
"Contemp1999","Effect of treatment, without screening",25,"MRR",0.8227,"(0.8203,0.8388)"
"Contemp1999","Effect of treatment, without screening",25,"ARR",0.0039,"(0.0037,0.0043)"
"Contemp1999","Effect of treatment, without screening",25,"NNS",256.4103,"(253.6465,285.8577)"
"Contemp1999","Effect of treatment, with screening",25,"Cumulative Incidence, Group 0",0.0192,"(0.0189,0.02)"
"Contemp1999","Effect of treatment, with screening",25,"Cumulative Incidence, Group 1",0.0158,"(0.0155,0.0166)"
"Contemp1999","Effect of treatment, with screening",25,"MRR",0.8229,"(0.817,0.8393)"
"Contemp1999","Effect of treatment, with screening",25,"ARR",0.0034,"(0.0033,0.0039)"
"Contemp1999","Effect of treatment, with screening",25,"NNS",294.1176,"(284.9003,324.1762)"
"Perfect","Effect of treatment, without screening",25,"Cumulative Incidence, Group 0",0.022,"(0.0217,0.0229)"
"Perfect","Effect of treatment, without screening",25,"Cumulative Incidence, Group 1",0.0156,"(0.0153,0.0163)"
"Perfect","Effect of treatment, without screening",25,"MRR",0.7091,"(0.7014,0.725)"
"Perfect","Effect of treatment, without screening",25,"ARR",0.0064,"(0.0062,0.0069)"
"Perfect","Effect of treatment, without screening",25,"NNS",156.25,"(152.439,166.9449)"
"Perfect","Effect of treatment, with screening",25,"Cumulative Incidence, Group 0",0.0192,"(0.0189,0.02)"
"Perfect","Effect of treatment, with screening",25,"Cumulative Incidence, Group 1",0.0132,"(0.013,0.0139)"
"Perfect","Effect of treatment, with screening",25,"MRR",0.6875,"(0.6842,0.7089)"
"Perfect","Effect of treatment, with screening",25,"ARR",0.006,"(0.0058,0.0064)"
"Perfect","Effect of treatment, with screening",25,"NNS",166.6667,"(165.0165,183.0283)"
