"Trial","Effect","Follow-Up Year","Measure","Estimate","UI"
"Historical","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0195,"(0.0192,0.0203)"
"Historical","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0175,"(0.0172,0.0183)"
"Historical","Effect of screening, same treatment",25,"MRR",0.8974,"(0.8895,0.908)"
"Historical","Effect of screening, same treatment",25,"ARR",0.002,"(0.002,0.0023)"
"Historical","Effect of screening, same treatment",25,"NNS",500,"(464.578,551.0443)"
"Contemp1999","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0161,"(0.0159,0.017)"
"Contemp1999","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0144,"(0.0142,0.0152)"
"Contemp1999","Effect of screening, same treatment",25,"MRR",0.8944,"(0.8882,0.9084)"
"Contemp1999","Effect of screening, same treatment",25,"ARR",0.0017,"(0.0016,0.002)"
"Contemp1999","Effect of screening, same treatment",25,"NNS",588.2353,"(554.7882,682.7183)"
"Perfect","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0141,"(0.0138,0.0147)"
"Perfect","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0125,"(0.0122,0.0131)"
"Perfect","Effect of screening, same treatment",25,"MRR",0.8865,"(0.8801,0.9008)"
"Perfect","Effect of screening, same treatment",25,"ARR",0.0016,"(0.0015,0.0018)"
"Perfect","Effect of screening, same treatment",25,"NNS",625,"(595.2381,732.7447)"
"Contemp1999","Effect of treatment, without screening",25,"Cumulative Incidence, Group 0",0.0195,"(0.0192,0.0203)"
"Contemp1999","Effect of treatment, without screening",25,"Cumulative Incidence, Group 1",0.0161,"(0.0159,0.017)"
"Contemp1999","Effect of treatment, without screening",25,"MRR",0.8256,"(0.8203,0.8441)"
"Contemp1999","Effect of treatment, without screening",25,"ARR",0.0034,"(0.0033,0.0038)"
"Contemp1999","Effect of treatment, without screening",25,"NNS",294.1176,"(285.3084,328.4961)"
"Contemp1999","Effect of treatment, with screening",25,"Cumulative Incidence, Group 0",0.0175,"(0.0172,0.0183)"
"Contemp1999","Effect of treatment, with screening",25,"Cumulative Incidence, Group 1",0.0144,"(0.0142,0.0152)"
"Contemp1999","Effect of treatment, with screening",25,"MRR",0.8229,"(0.8176,0.844)"
"Contemp1999","Effect of treatment, with screening",25,"ARR",0.0031,"(0.0029,0.0034)"
"Contemp1999","Effect of treatment, with screening",25,"NNS",322.5806,"(313.4796,366.3724)"
"Perfect","Effect of treatment, without screening",25,"Cumulative Incidence, Group 0",0.0195,"(0.0192,0.0203)"
"Perfect","Effect of treatment, without screening",25,"Cumulative Incidence, Group 1",0.0141,"(0.0138,0.0147)"
"Perfect","Effect of treatment, without screening",25,"MRR",0.7231,"(0.713,0.7393)"
"Perfect","Effect of treatment, without screening",25,"ARR",0.0054,"(0.0053,0.0059)"
"Perfect","Effect of treatment, without screening",25,"NNS",185.1852,"(178.1738,198.8072)"
"Perfect","Effect of treatment, with screening",25,"Cumulative Incidence, Group 0",0.0175,"(0.0172,0.0183)"
"Perfect","Effect of treatment, with screening",25,"Cumulative Incidence, Group 1",0.0125,"(0.0122,0.0131)"
"Perfect","Effect of treatment, with screening",25,"MRR",0.7143,"(0.7049,0.7324)"
"Perfect","Effect of treatment, with screening",25,"ARR",0.005,"(0.0048,0.0054)"
"Perfect","Effect of treatment, with screening",25,"NNS",200,"(193.3302,218.3406)"
