"Trial","Effect","Follow-Up Year","Measure","Estimate","UI"
"Historical","Effect of screening, same treatment",1,"Cumulative Incidence, Group 0",1e-04,"(0,1e-04)"
"Historical","Effect of screening, same treatment",1,"Cumulative Incidence, Group 1",0,"(0,1e-04)"
"Historical","Effect of screening, same treatment",1,"MRR",0,"(0.75,1)"
"Historical","Effect of screening, same treatment",1,"ARR",1e-04,"(0,0)"
"Historical","Effect of screening, same treatment",1,"NNS",10000,"(1e+05,1e+05)"
"Historical","Effect of screening, same treatment",2,"Cumulative Incidence, Group 0",2e-04,"(2e-04,3e-04)"
"Historical","Effect of screening, same treatment",2,"Cumulative Incidence, Group 1",2e-04,"(1e-04,3e-04)"
"Historical","Effect of screening, same treatment",2,"MRR",1,"(0.8182,0.9608)"
"Historical","Effect of screening, same treatment",2,"ARR",0,"(0,1e-04)"
"Historical","Effect of screening, same treatment",2,"NNS",Inf,"(33333.3333,1e+05)"
"Historical","Effect of screening, same treatment",3,"Cumulative Incidence, Group 0",4e-04,"(4e-04,6e-04)"
"Historical","Effect of screening, same treatment",3,"Cumulative Incidence, Group 1",4e-04,"(4e-04,5e-04)"
"Historical","Effect of screening, same treatment",3,"MRR",1,"(0.84,0.9445)"
"Historical","Effect of screening, same treatment",3,"ARR",0,"(0,1e-04)"
"Historical","Effect of screening, same treatment",3,"NNS",Inf,"(14285.7143,50000)"
"Historical","Effect of screening, same treatment",4,"Cumulative Incidence, Group 0",8e-04,"(7e-04,9e-04)"
"Historical","Effect of screening, same treatment",4,"Cumulative Incidence, Group 1",7e-04,"(6e-04,8e-04)"
"Historical","Effect of screening, same treatment",4,"MRR",0.875,"(0.8504,0.9437)"
"Historical","Effect of screening, same treatment",4,"ARR",1e-04,"(1e-04,2e-04)"
"Historical","Effect of screening, same treatment",4,"NNS",10000,"(8901.5152,25000)"
"Historical","Effect of screening, same treatment",5,"Cumulative Incidence, Group 0",0.0012,"(0.0011,0.0014)"
"Historical","Effect of screening, same treatment",5,"Cumulative Incidence, Group 1",0.001,"(0.001,0.0012)"
"Historical","Effect of screening, same treatment",5,"MRR",0.8333,"(0.8623,0.9319)"
"Historical","Effect of screening, same treatment",5,"ARR",2e-04,"(1e-04,2e-04)"
"Historical","Effect of screening, same treatment",5,"NNS",5000,"(5882.3529,12500)"
"Historical","Effect of screening, same treatment",6,"Cumulative Incidence, Group 0",0.0017,"(0.0016,0.002)"
"Historical","Effect of screening, same treatment",6,"Cumulative Incidence, Group 1",0.0015,"(0.0014,0.0017)"
"Historical","Effect of screening, same treatment",6,"MRR",0.8824,"(0.8638,0.9343)"
"Historical","Effect of screening, same treatment",6,"ARR",2e-04,"(2e-04,3e-04)"
"Historical","Effect of screening, same treatment",6,"NNS",5000,"(4347.8261,9090.9091)"
"Historical","Effect of screening, same treatment",7,"Cumulative Incidence, Group 0",0.0022,"(0.0021,0.0026)"
"Historical","Effect of screening, same treatment",7,"Cumulative Incidence, Group 1",0.002,"(0.0019,0.0023)"
"Historical","Effect of screening, same treatment",7,"MRR",0.9091,"(0.8662,0.9181)"
"Historical","Effect of screening, same treatment",7,"ARR",2e-04,"(2e-04,4e-04)"
"Historical","Effect of screening, same treatment",7,"NNS",5000,"(3333.3333,6075.3676)"
"Historical","Effect of screening, same treatment",8,"Cumulative Incidence, Group 0",0.0028,"(0.0027,0.0032)"
"Historical","Effect of screening, same treatment",8,"Cumulative Incidence, Group 1",0.0025,"(0.0024,0.0028)"
