"Trial","Effect","Follow-Up Year","Measure","Estimate","UI"
"Historical","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.022,"(0.0216,0.0231)"
"Historical","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0203,"(0.0199,0.0213)"
"Historical","Effect of screening, same treatment",25,"MRR",0.9227,"(0.9192,0.9343)"
"Historical","Effect of screening, same treatment",25,"ARR",0.0017,"(0.0016,0.0019)"
"Historical","Effect of screening, same treatment",25,"NNS",588.2353,"(561.7978,678.0888)"
"Contemp1999","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0181,"(0.0178,0.0189)"
"Contemp1999","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0167,"(0.0164,0.0175)"
"Contemp1999","Effect of screening, same treatment",25,"MRR",0.9227,"(0.9169,0.9338)"
"Contemp1999","Effect of screening, same treatment",25,"ARR",0.0014,"(0.0014,0.0016)"
"Contemp1999","Effect of screening, same treatment",25,"NNS",714.2857,"(666.6667,837.0098)"
"Perfect","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0143,"(0.014,0.015)"
"Perfect","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.013,"(0.0127,0.0137)"
"Perfect","Effect of screening, same treatment",25,"MRR",0.9091,"(0.9049,0.9258)"
"Perfect","Effect of screening, same treatment",25,"ARR",0.0013,"(0.0012,0.0015)"
"Perfect","Effect of screening, same treatment",25,"NNS",769.2308,"(733.9523,936.6259)"
"Contemp1999","Effect of treatment, without screening",25,"Cumulative Incidence, Group 0",0.022,"(0.0216,0.0231)"
"Contemp1999","Effect of treatment, without screening",25,"Cumulative Incidence, Group 1",0.0181,"(0.0178,0.0189)"
"Contemp1999","Effect of treatment, without screening",25,"MRR",0.8227,"(0.8185,0.8352)"
"Contemp1999","Effect of treatment, without screening",25,"ARR",0.0039,"(0.0037,0.0042)"
"Contemp1999","Effect of treatment, without screening",25,"NNS",256.4103,"(251.8892,280.1535)"
"Contemp1999","Effect of treatment, with screening",25,"Cumulative Incidence, Group 0",0.0203,"(0.0199,0.0213)"
"Contemp1999","Effect of treatment, with screening",25,"Cumulative Incidence, Group 1",0.0167,"(0.0164,0.0175)"
"Contemp1999","Effect of treatment, with screening",25,"MRR",0.8227,"(0.8172,0.836)"
"Contemp1999","Effect of treatment, with screening",25,"ARR",0.0036,"(0.0035,0.0039)"
"Contemp1999","Effect of treatment, with screening",25,"NNS",277.7778,"(270.8196,307.3558)"
"Perfect","Effect of treatment, without screening",25,"Cumulative Incidence, Group 0",0.022,"(0.0216,0.0231)"
"Perfect","Effect of treatment, without screening",25,"Cumulative Incidence, Group 1",0.0143,"(0.014,0.015)"
"Perfect","Effect of treatment, without screening",25,"MRR",0.65,"(0.6436,0.6677)"
"Perfect","Effect of treatment, without screening",25,"ARR",0.0077,"(0.0075,0.0083)"
"Perfect","Effect of treatment, without screening",25,"NNS",129.8701,"(127.348,139.388)"
"Perfect","Effect of treatment, with screening",25,"Cumulative Incidence, Group 0",0.0203,"(0.0199,0.0213)"
"Perfect","Effect of treatment, with screening",25,"Cumulative Incidence, Group 1",0.013,"(0.0127,0.0137)"
"Perfect","Effect of treatment, with screening",25,"MRR",0.6404,"(0.6347,0.6616)"
"Perfect","Effect of treatment, with screening",25,"ARR",0.0073,"(0.0071,0.0079)"
"Perfect","Effect of treatment, with screening",25,"NNS",136.9863,"(134.6803,148.2635)"
