"Trial","Effect","Follow-Up Year","Measure","Estimate","UI","Estimate_Orig"
"Historical","Effect of screening, same treatment",1,"Cumulative Incidence, Group 0",1e-04,"(0,1e-04)",1e-04
"Historical","Effect of screening, same treatment",1,"Cumulative Incidence, Group 1",1e-04,"(0,1e-04)",1e-04
"Historical","Effect of screening, same treatment",1,"MRR",1,"(0.822,1)",0.8859
"Historical","Effect of screening, same treatment",1,"ARR",0,"(0,0)",0
"Historical","Effect of screening, same treatment",1,"NNS",Inf,"(50000,1e+05)",80782.3129
"Historical","Effect of screening, same treatment",2,"Cumulative Incidence, Group 0",2e-04,"(2e-04,3e-04)",2e-04
"Historical","Effect of screening, same treatment",2,"Cumulative Incidence, Group 1",2e-04,"(2e-04,3e-04)",2e-04
"Historical","Effect of screening, same treatment",2,"MRR",1,"(0.8214,1)",0.8713
"Historical","Effect of screening, same treatment",2,"ARR",0,"(0,1e-04)",0
"Historical","Effect of screening, same treatment",2,"NNS",Inf,"(25000,1e+05)",46881.9656
"Historical","Effect of screening, same treatment",3,"Cumulative Incidence, Group 0",5e-04,"(4e-04,7e-04)",5e-04
"Historical","Effect of screening, same treatment",3,"Cumulative Incidence, Group 1",4e-04,"(4e-04,6e-04)",4e-04
"Historical","Effect of screening, same treatment",3,"MRR",0.8,"(0.8436,0.957)",0.8768
"Historical","Effect of screening, same treatment",3,"ARR",1e-04,"(0,1e-04)",1e-04
"Historical","Effect of screening, same treatment",3,"NNS",10000,"(12500,50000)",21725.1082
"Historical","Effect of screening, same treatment",4,"Cumulative Incidence, Group 0",8e-04,"(8e-04,0.0011)",8e-04
"Historical","Effect of screening, same treatment",4,"Cumulative Incidence, Group 1",7e-04,"(7e-04,9e-04)",7e-04
"Historical","Effect of screening, same treatment",4,"MRR",0.875,"(0.8495,0.9521)",0.8809
"Historical","Effect of screening, same treatment",4,"ARR",1e-04,"(1e-04,2e-04)",1e-04
"Historical","Effect of screening, same treatment",4,"NNS",10000,"(8333.3333,25000)",11388.4175
"Historical","Effect of screening, same treatment",5,"Cumulative Incidence, Group 0",0.0013,"(0.0012,0.0015)",0.0013
"Historical","Effect of screening, same treatment",5,"Cumulative Incidence, Group 1",0.0011,"(0.0011,0.0014)",0.0011
"Historical","Effect of screening, same treatment",5,"MRR",0.8462,"(0.8673,0.9344)",0.8842
"Historical","Effect of screening, same treatment",5,"ARR",2e-04,"(1e-04,2e-04)",2e-04
"Historical","Effect of screening, same treatment",5,"NNS",5000,"(5882.3529,12500)",7198.565
