"Trial","Age.Group","Control","Screen","Incidence","Prevalence"
"Historical",50,26.0979602414095,6.39801661084787,201.23649199017,0.99639
"Historical",55,69.7357506694973,23.356922431059,225.749174923869,1.98667951015461
"Historical",60,106.196684528732,42.0553383129267,259.349687077364,2.92318643311528
"Historical",65,139.827543415049,62.4832137491248,280.175004939261,3.77839440008614
"Historical",70,167.053249956135,83.5040306723111,301.639398446661,4.58017033206106
"Historical",75,193.009383554326,105.042569650712,320.105941499665,5.32877490184307
"Historical",80,216.288604226206,125.527643496752,334.383030261124,6.00071484578943
"Historical",85,221.118437966272,142.779281462287,162.06646142805,5.84732892876058
"Historical",90,164.097392511908,139.994023459605,0,4.84755114617723
"Historical",95,126.552797240769,129.666247005487,0,4.07594432028479
"Historical",100,93.4946012596452,115.390412940133,0,3.47868619119543
"Historical",105,64.2999275303373,101.831732308701,0,3.11469917605407
"Historical",110,67.9464285262087,83.4405921933414,0,2.72486530453378
"Historical",115,0,85.0834071019243,0,2.21690700939927
"Historical",120,NA,NA,NA,NA
"Historical",125,NA,NA,NA,NA
"Contemp1999",50,19.5923899899752,4.94830270060902,NA,NA
"Contemp1999",55,54.7651516076892,18.6871787083132,NA,NA
"Contemp1999",60,85.6957536391519,33.3853858091931,NA,NA
"Contemp1999",65,117.302086452589,50.5306453639889,NA,NA
"Contemp1999",70,142.680033286716,67.7790475302306,NA,NA
"Contemp1999",75,166.449162346012,84.5521254596985,NA,NA
"Contemp1999",80,191.256364490788,103.712579537332,NA,NA
"Contemp1999",85,198.033659671506,117.638169457333,NA,NA
"Contemp1999",90,160.645444419627,117.298767553764,NA,NA
"Contemp1999",95,125.151697308181,108.919329232238,NA,NA
"Contemp1999",100,100.798117844804,98.5037664756787,NA,NA
"Contemp1999",105,79.3433266688577,94.0128468856462,NA,NA
"Contemp1999",110,49.7765799883285,80.7931671540007,NA,NA
"Contemp1999",115,0,31.226126587133,NA,NA
"Contemp1999",120,NA,NA,NA,NA
"Contemp1999",125,NA,NA,NA,NA
"Perfect",50,14.942502894597,3.25032782188515,NA,NA
"Perfect",55,42.7216178762742,12.2321680452615,NA,NA
"Perfect",60,68.3613751025014,22.66752978816,NA,NA
"Perfect",65,94.57693717513,33.5572762788734,NA,NA
"Perfect",70,117.437918510412,46.0733395202148,NA,NA
"Perfect",75,138.846067376577,58.2566167133875,NA,NA
"Perfect",80,159.583592343413,71.071382481336,NA,NA
"Perfect",85,170.498195235811,82.9306924857399,NA,NA
"Perfect",90,143.122155685336,83.1969850445763,NA,NA
"Perfect",95,115.576092380838,80.0442285872624,NA,NA
"Perfect",100,94.5727146512235,70.2132448082996,NA,NA
"Perfect",105,91.3793688317503,76.9519464561027,NA,NA
"Perfect",110,75.9222318940925,77.2692035663177,NA,NA
"Perfect",115,38.7404875015355,81.8630220584431,NA,NA
"Perfect",120,NA,NA,NA,NA
"Perfect",125,NA,NA,NA,NA
