"Trial","Effect","Follow-Up Year","Measure","Estimate","UI"
"Historical","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0219,"(0.0216,0.0229)"
"Historical","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0093,"(0.0091,0.0099)"
"Historical","Effect of screening, same treatment",25,"MRR",0.4247,"(0.4199,0.4413)"
"Historical","Effect of screening, same treatment",25,"ARR",0.0126,"(0.0124,0.0134)"
"Historical","Effect of screening, same treatment",25,"NNS",79.3651,"(78.2473,85.1826)"
"Contemp1999","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0181,"(0.0178,0.0191)"
"Contemp1999","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0075,"(0.0073,0.008)"
"Contemp1999","Effect of screening, same treatment",25,"MRR",0.4144,"(0.4085,0.4324)"
"Contemp1999","Effect of screening, same treatment",25,"ARR",0.0106,"(0.0104,0.0113)"
"Contemp1999","Effect of screening, same treatment",25,"NNS",94.3396,"(92.829,100.9082)"
"Perfect","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0145,"(0.0143,0.0154)"
"Perfect","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.005,"(0.0049,0.0055)"
"Perfect","Effect of screening, same treatment",25,"MRR",0.3448,"(0.3402,0.3696)"
"Perfect","Effect of screening, same treatment",25,"ARR",0.0095,"(0.0093,0.0101)"
"Perfect","Effect of screening, same treatment",25,"NNS",105.2632,"(103.0662,112.2997)"
"Contemp1999","Effect of treatment, without screening",25,"Cumulative Incidence, Group 0",0.0219,"(0.0216,0.0229)"
"Contemp1999","Effect of treatment, without screening",25,"Cumulative Incidence, Group 1",0.0181,"(0.0178,0.0191)"
"Contemp1999","Effect of treatment, without screening",25,"MRR",0.8265,"(0.8189,0.8396)"
"Contemp1999","Effect of treatment, without screening",25,"ARR",0.0038,"(0.0037,0.0042)"
"Contemp1999","Effect of treatment, without screening",25,"NNS",263.1579,"(251.2563,289.7394)"
"Contemp1999","Effect of treatment, with screening",25,"Cumulative Incidence, Group 0",0.0093,"(0.0091,0.0099)"
"Contemp1999","Effect of treatment, with screening",25,"Cumulative Incidence, Group 1",0.0075,"(0.0073,0.008)"
"Contemp1999","Effect of treatment, with screening",25,"MRR",0.8065,"(0.7967,0.8293)"
"Contemp1999","Effect of treatment, with screening",25,"ARR",0.0018,"(0.0017,0.0021)"
"Contemp1999","Effect of treatment, with screening",25,"NNS",555.5556,"(525.6269,627.0637)"
"Perfect","Effect of treatment, without screening",25,"Cumulative Incidence, Group 0",0.0219,"(0.0216,0.0229)"
"Perfect","Effect of treatment, without screening",25,"Cumulative Incidence, Group 1",0.0145,"(0.0143,0.0154)"
"Perfect","Effect of treatment, without screening",25,"MRR",0.6621,"(0.6563,0.6849)"
"Perfect","Effect of treatment, without screening",25,"ARR",0.0074,"(0.0072,0.0079)"
"Perfect","Effect of treatment, without screening",25,"NNS",135.1351,"(132.1004,146.6386)"
"Perfect","Effect of treatment, with screening",25,"Cumulative Incidence, Group 0",0.0093,"(0.0091,0.0099)"
"Perfect","Effect of treatment, with screening",25,"Cumulative Incidence, Group 1",0.005,"(0.0049,0.0055)"
"Perfect","Effect of treatment, with screening",25,"MRR",0.5376,"(0.5321,0.5727)"
"Perfect","Effect of treatment, with screening",25,"ARR",0.0043,"(0.0042,0.0046)"
"Perfect","Effect of treatment, with screening",25,"NNS",232.5581,"(229.3578,250.9918)"
