"Trial","Effect","Follow-Up Year","Measure","Estimate","UI"
"Historical","Effect of screening, same treatment",1,"Cumulative Incidence, Group 0",1e-04,"(0,1e-04)"
"Historical","Effect of screening, same treatment",1,"Cumulative Incidence, Group 1",0,"(0,0)"
"Historical","Effect of screening, same treatment",1,"MRR",0,"(0,0.5)"
"Historical","Effect of screening, same treatment",1,"ARR",1e-04,"(0,1e-04)"
"Historical","Effect of screening, same treatment",1,"NNS",10000,"(16666.6667,76250)"
"Historical","Effect of screening, same treatment",2,"Cumulative Incidence, Group 0",2e-04,"(2e-04,3e-04)"
"Historical","Effect of screening, same treatment",2,"Cumulative Incidence, Group 1",0,"(0,1e-04)"
"Historical","Effect of screening, same treatment",2,"MRR",0,"(0.1416,0.3696)"
"Historical","Effect of screening, same treatment",2,"ARR",2e-04,"(2e-04,3e-04)"
"Historical","Effect of screening, same treatment",2,"NNS",5000,"(5000,10000)"
"Historical","Effect of screening, same treatment",3,"Cumulative Incidence, Group 0",5e-04,"(4e-04,6e-04)"
"Historical","Effect of screening, same treatment",3,"Cumulative Incidence, Group 1",1e-04,"(1e-04,2e-04)"
"Historical","Effect of screening, same treatment",3,"MRR",0.2,"(0.1667,0.3125)"
"Historical","Effect of screening, same treatment",3,"ARR",4e-04,"(3e-04,5e-04)"
"Historical","Effect of screening, same treatment",3,"NNS",2500,"(2325.5814,3703.7037)"
"Historical","Effect of screening, same treatment",4,"Cumulative Incidence, Group 0",8e-04,"(8e-04,0.001)"
"Historical","Effect of screening, same treatment",4,"Cumulative Incidence, Group 1",2e-04,"(2e-04,3e-04)"
"Historical","Effect of screening, same treatment",4,"MRR",0.25,"(0.1971,0.2954)"
"Historical","Effect of screening, same treatment",4,"ARR",6e-04,"(6e-04,8e-04)"
"Historical","Effect of screening, same treatment",4,"NNS",1666.6667,"(1428.5714,1981.3725)"
"Historical","Effect of screening, same treatment",5,"Cumulative Incidence, Group 0",0.0013,"(0.0012,0.0015)"
"Historical","Effect of screening, same treatment",5,"Cumulative Incidence, Group 1",3e-04,"(3e-04,4e-04)"
"Historical","Effect of screening, same treatment",5,"MRR",0.2308,"(0.2204,0.3141)"
"Historical","Effect of screening, same treatment",5,"ARR",0.001,"(9e-04,0.0012)"
"Historical","Effect of screening, same treatment",5,"NNS",1000,"(970.8738,1250)"
"Historical","Effect of screening, same treatment",6,"Cumulative Incidence, Group 0",0.0018,"(0.0017,0.0021)"
"Historical","Effect of screening, same treatment",6,"Cumulative Incidence, Group 1",5e-04,"(4e-04,6e-04)"
"Historical","Effect of screening, same treatment",6,"MRR",0.2778,"(0.2357,0.3404)"
"Historical","Effect of screening, same treatment",6,"ARR",0.0013,"(0.0013,0.0016)"
"Historical","Effect of screening, same treatment",6,"NNS",769.2308,"(688.4743,905.7585)"
"Historical","Effect of screening, same treatment",7,"Cumulative Incidence, Group 0",0.0024,"(0.0023,0.0027)"
"Historical","Effect of screening, same treatment",7,"Cumulative Incidence, Group 1",7e-04,"(6e-04,9e-04)"
"Historical","Effect of screening, same treatment",7,"MRR",0.2917,"(0.251,0.329)"
"Historical","Effect of screening, same treatment",7,"ARR",0.0017,"(0.0017,0.002)"
"Historical","Effect of screening, same treatment",7,"NNS",588.2353,"(534.7594,669.2993)"
"Historical","Effect of screening, same treatment",8,"Cumulative Incidence, Group 0",0.0031,"(0.003,0.0034)"
"Historical","Effect of screening, same treatment",8,"Cumulative Incidence, Group 1",9e-04,"(8e-04,0.0011)"
"Historical","Effect of screening, same treatment",8,"MRR",0.2903,"(0.2698,0.3349)"
"Historical","Effect of screening, same treatment",8,"ARR",0.0022,"(0.0021,0.0025)"
"Historical","Effect of screening, same treatment",8,"NNS",454.5455,"(434.3121,529.4398)"
"Historical","Effect of screening, same treatment",9,"Cumulative Incidence, Group 0",0.0038,"(0.0037,0.0042)"
"Historical","Effect of screening, same treatment",9,"Cumulative Incidence, Group 1",0.0011,"(0.0011,0.0014)"
"Historical","Effect of screening, same treatment",9,"MRR",0.2895,"(0.2803,0.3472)"
"Historical","Effect of screening, same treatment",9,"ARR",0.0027,"(0.0026,0.003)"
"Historical","Effect of screening, same treatment",9,"NNS",370.3704,"(355.5564,417.5819)"
"Historical","Effect of screening, same treatment",10,"Cumulative Incidence, Group 0",0.0046,"(0.0045,0.0051)"
"Historical","Effect of screening, same treatment",10,"Cumulative Incidence, Group 1",0.0014,"(0.0014,0.0017)"
"Historical","Effect of screening, same treatment",10,"MRR",0.3043,"(0.2977,0.3506)"
"Historical","Effect of screening, same treatment",10,"ARR",0.0032,"(0.0031,0.0036)"
"Historical","Effect of screening, same treatment",10,"NNS",312.5,"(301.8873,351.5258)"
"Historical","Effect of screening, same treatment",11,"Cumulative Incidence, Group 0",0.0055,"(0.0053,0.0059)"
"Historical","Effect of screening, same treatment",11,"Cumulative Incidence, Group 1",0.0018,"(0.0017,0.002)"
"Historical","Effect of screening, same treatment",11,"MRR",0.3273,"(0.3076,0.3547)"
"Historical","Effect of screening, same treatment",11,"ARR",0.0037,"(0.0036,0.0041)"
"Historical","Effect of screening, same treatment",11,"NNS",270.2703,"(259.572,294.5731)"
"Historical","Effect of screening, same treatment",12,"Cumulative Incidence, Group 0",0.0064,"(0.0063,0.007)"
"Historical","Effect of screening, same treatment",12,"Cumulative Incidence, Group 1",0.0021,"(0.002,0.0024)"
"Historical","Effect of screening, same treatment",12,"MRR",0.3281,"(0.3169,0.3609)"
"Historical","Effect of screening, same treatment",12,"ARR",0.0043,"(0.0042,0.0048)"
"Historical","Effect of screening, same treatment",12,"NNS",232.5581,"(223.7136,253.1646)"
"Historical","Effect of screening, same treatment",13,"Cumulative Incidence, Group 0",0.0074,"(0.0072,0.008)"
"Historical","Effect of screening, same treatment",13,"Cumulative Incidence, Group 1",0.0025,"(0.0024,0.0028)"
"Historical","Effect of screening, same treatment",13,"MRR",0.3378,"(0.3258,0.3693)"
"Historical","Effect of screening, same treatment",13,"ARR",0.0049,"(0.0047,0.0054)"
"Historical","Effect of screening, same treatment",13,"NNS",204.0816,"(197.2387,224.0998)"
"Historical","Effect of screening, same treatment",14,"Cumulative Incidence, Group 0",0.0085,"(0.0082,0.0091)"
"Historical","Effect of screening, same treatment",14,"Cumulative Incidence, Group 1",0.0029,"(0.0028,0.0032)"
"Historical","Effect of screening, same treatment",14,"MRR",0.3412,"(0.3344,0.377)"
"Historical","Effect of screening, same treatment",14,"ARR",0.0056,"(0.0053,0.006)"
"Historical","Effect of screening, same treatment",14,"NNS",178.5714,"(175.4386,198.6884)"
"Historical","Effect of screening, same treatment",15,"Cumulative Incidence, Group 0",0.0095,"(0.0093,0.0102)"
"Historical","Effect of screening, same treatment",15,"Cumulative Incidence, Group 1",0.0034,"(0.0032,0.0037)"
"Historical","Effect of screening, same treatment",15,"MRR",0.3579,"(0.3448,0.3826)"
"Historical","Effect of screening, same treatment",15,"ARR",0.0061,"(0.006,0.0067)"
"Historical","Effect of screening, same treatment",15,"NNS",163.9344,"(158.2278,175.7629)"
"Historical","Effect of screening, same treatment",16,"Cumulative Incidence, Group 0",0.0107,"(0.0104,0.0114)"
"Historical","Effect of screening, same treatment",16,"Cumulative Incidence, Group 1",0.0039,"(0.0037,0.0042)"
"Historical","Effect of screening, same treatment",16,"MRR",0.3645,"(0.3503,0.3877)"
"Historical","Effect of screening, same treatment",16,"ARR",0.0068,"(0.0066,0.0074)"
"Historical","Effect of screening, same treatment",16,"NNS",147.0588,"(143.2665,157.9779)"
"Historical","Effect of screening, same treatment",17,"Cumulative Incidence, Group 0",0.0118,"(0.0116,0.0127)"
"Historical","Effect of screening, same treatment",17,"Cumulative Incidence, Group 1",0.0044,"(0.0042,0.0047)"
"Historical","Effect of screening, same treatment",17,"MRR",0.3729,"(0.362,0.3966)"
"Historical","Effect of screening, same treatment",17,"ARR",0.0074,"(0.0072,0.0081)"
"Historical","Effect of screening, same treatment",17,"NNS",135.1351,"(131.0616,143.5802)"
"Historical","Effect of screening, same treatment",18,"Cumulative Incidence, Group 0",0.013,"(0.0127,0.0139)"
"Historical","Effect of screening, same treatment",18,"Cumulative Incidence, Group 1",0.0049,"(0.0048,0.0054)"
"Historical","Effect of screening, same treatment",18,"MRR",0.3769,"(0.3703,0.4055)"
"Historical","Effect of screening, same treatment",18,"ARR",0.0081,"(0.0079,0.0087)"
"Historical","Effect of screening, same treatment",18,"NNS",123.4568,"(120.3369,131.8527)"
"Historical","Effect of screening, same treatment",19,"Cumulative Incidence, Group 0",0.0143,"(0.0139,0.0151)"
