"Subgroup","Arm","Historical","Contemp1999","Perfect"
"All","Control",30.0680670796399,40.3694598702761,60.997009269681
"","Screen",51.8834235071368,68.0039169388649,105.644731475503
"Early stage","Control",50.2426515988932,66.5689631429915,103.418128649165
"","Screen",51.8834235071368,68.0039169388649,105.644731475503
"Advanced stage","Control",9.89267556086574,14.1689085964698,18.5741930114847
"","Screen",NA,NA,NA
"Shifted cases","Control",9.89267556086574,14.1689085964698,18.5741930114847
"","Screen",53.5242610475693,69.4389281340381,107.871423367736
"Baseline survivals","Early.ER+HER2+",50.2008032128514,50.2008032128514,50.2008032128514
"","Early.ER+HER2-",50.2008032128514,50.2008032128514,50.2008032128514
"","Early.ER-HER2+",50.2008032128514,50.2008032128514,50.2008032128514
"","Early.ER-HER2-",50.2008032128514,50.2008032128514,50.2008032128514
"","Advanced.ER+HER2+",9.35191246609932,9.35191246609932,9.35191246609932
"","Advanced.ER+HER2-",9.35191246609932,9.35191246609932,9.35191246609932
"","Advanced.ER-HER2+",9.35191246609932,9.35191246609932,9.35191246609932
"","Advanced.ER-HER2-",9.35191246609932,9.35191246609932,9.35191246609932
