"Trial","Effect","Follow-Up Year","Measure","Estimate","UI","Estimate_Orig"
"Y1977","Effect of screening, same treatment",10,"Cumulative Incidence, Group 0",0.0047,"(0.0042,0.0051)",0.0047
"Y1977","Effect of screening, same treatment",10,"Cumulative Incidence, Group 1",0.004,"(0.0036,0.0043)",0.004
"Y1977","Effect of screening, same treatment",10,"MRR",0.8511,"(0.8253,0.8832)",0.8529
"Y1977","Effect of screening, same treatment",10,"ARR",7e-04,"(5e-04,8e-04)",7e-04
"Y1977","Effect of screening, same treatment",10,"NNS",1428.5714,"(1196.8849,1905.8418)",1481.3814
"Y1977","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.022,"(0.0209,0.0231)",0.022
"Y1977","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0188,"(0.0179,0.0199)",0.0188
"Y1977","Effect of screening, same treatment",25,"MRR",0.8545,"(0.844,0.8719)",0.8572
"Y1977","Effect of screening, same treatment",25,"ARR",0.0032,"(0.0028,0.0034)",0.0031
"Y1977","Effect of screening, same treatment",25,"NNS",312.5,"(293.2551,354.6099)",319.8719
"Y1999","Effect of screening, same treatment",10,"Cumulative Incidence, Group 0",0.0036,"(0.0032,0.004)",0.0036
"Y1999","Effect of screening, same treatment",10,"Cumulative Incidence, Group 1",0.0031,"(0.0027,0.0034)",0.0031
"Y1999","Effect of screening, same treatment",10,"MRR",0.8611,"(0.8162,0.884)",0.8512
"Y1999","Effect of screening, same treatment",10,"ARR",5e-04,"(4e-04,7e-04)",5e-04
"Y1999","Effect of screening, same treatment",10,"NNS",2000,"(1469.8248,2504.6904)",1897.8679
"Y1999","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0181,"(0.0173,0.0189)",0.0181
"Y1999","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0155,"(0.0147,0.0162)",0.0155
"Y1999","Effect of screening, same treatment",25,"MRR",0.8564,"(0.8423,0.8688)",0.8555
"Y1999","Effect of screening, same treatment",25,"ARR",0.0026,"(0.0023,0.0028)",0.0026
"Y1999","Effect of screening, same treatment",25,"NNS",384.6154,"(352.6502,427.4495)",383.7756
"Y2015","Effect of screening, same treatment",10,"Cumulative Incidence, Group 0",0.0028,"(0.0025,0.0031)",0.0028
"Y2015","Effect of screening, same treatment",10,"Cumulative Incidence, Group 1",0.0024,"(0.0021,0.0027)",0.0024
"Y2015","Effect of screening, same treatment",10,"MRR",0.8571,"(0.8108,0.8826)",0.8475
"Y2015","Effect of screening, same treatment",10,"ARR",4e-04,"(3e-04,6e-04)",4e-04
"Y2015","Effect of screening, same treatment",10,"NNS",2500,"(1784.802,3030.303)",2385.8978
"Y2015","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0146,"(0.0139,0.0153)",0.0146
"Y2015","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0124,"(0.0118,0.0131)",0.0124
"Y2015","Effect of screening, same treatment",25,"MRR",0.8493,"(0.8381,0.871)",0.8536
"Y2015","Effect of screening, same treatment",25,"ARR",0.0022,"(0.0019,0.0024)",0.0021
"Y2015","Effect of screening, same treatment",25,"NNS",454.5455,"(412.3304,534.9176)",471.3421
"Y1999","Effect of treatment, without screening",10,"Cumulative Incidence, Group 0",0.0047,"(0.0042,0.0051)",0.0047
"Y1999","Effect of treatment, without screening",10,"Cumulative Incidence, Group 1",0.0036,"(0.0032,0.004)",0.0036
"Y1999","Effect of treatment, without screening",10,"MRR",0.766,"(0.7334,0.8231)",0.7755
"Y1999","Effect of treatment, without screening",10,"ARR",0.0011,"(8e-04,0.0013)",0.001
"Y1999","Effect of treatment, without screening",10,"NNS",909.0909,"(784.172,1212.5331)",969.0678
"Y1999","Effect of treatment, without screening",25,"Cumulative Incidence, Group 0",0.022,"(0.0209,0.0231)",0.022
"Y1999","Effect of treatment, without screening",25,"Cumulative Incidence, Group 1",0.0181,"(0.0173,0.0189)",0.0181
"Y1999","Effect of treatment, without screening",25,"MRR",0.8227,"(0.8101,0.8352)",0.8237
"Y1999","Effect of treatment, without screening",25,"ARR",0.0039,"(0.0036,0.0042)",0.0039
"Y1999","Effect of treatment, without screening",25,"NNS",256.4103,"(236.1139,280.1535)",258.9087
"Y1999","Effect of treatment, with screening",10,"Cumulative Incidence, Group 0",0.004,"(0.0036,0.0043)",0.004
"Y1999","Effect of treatment, with screening",10,"Cumulative Incidence, Group 1",0.0031,"(0.0027,0.0034)",0.0031
"Y1999","Effect of treatment, with screening",10,"MRR",0.775,"(0.7304,0.8189)",0.7739
"Y1999","Effect of treatment, with screening",10,"ARR",9e-04,"(7e-04,0.0011)",9e-04
"Y1999","Effect of treatment, with screening",10,"NNS",1111.1111,"(921.4662,1411.5545)",1129.8749
"Y1999","Effect of treatment, with screening",25,"Cumulative Incidence, Group 0",0.0188,"(0.0179,0.0199)",0.0188
"Y1999","Effect of treatment, with screening",25,"Cumulative Incidence, Group 1",0.0155,"(0.0147,0.0162)",0.0155
"Y1999","Effect of treatment, with screening",25,"MRR",0.8245,"(0.8087,0.8364)",0.8221
"Y1999","Effect of treatment, with screening",25,"ARR",0.0033,"(0.003,0.0037)",0.0033
"Y1999","Effect of treatment, with screening",25,"NNS",303.0303,"(271.6464,331.1843)",299.4429
"Y2015","Effect of treatment, without screening",10,"Cumulative Incidence, Group 0",0.0047,"(0.0042,0.0051)",0.0047
"Y2015","Effect of treatment, without screening",10,"Cumulative Incidence, Group 1",0.0028,"(0.0025,0.0031)",0.0028
"Y2015","Effect of treatment, without screening",10,"MRR",0.5957,"(0.5511,0.6548)",0.6022
"Y2015","Effect of treatment, without screening",10,"ARR",0.0019,"(0.0016,0.0021)",0.0018
"Y2015","Effect of treatment, without screening",10,"NNS",526.3158,"(477.2727,631.0206)",543.6309
"Y2015","Effect of treatment, without screening",25,"Cumulative Incidence, Group 0",0.022,"(0.0209,0.0231)",0.022
"Y2015","Effect of treatment, without screening",25,"Cumulative Incidence, Group 1",0.0146,"(0.0139,0.0153)",0.0146
"Y2015","Effect of treatment, without screening",25,"MRR",0.6636,"(0.6453,0.6812)",0.6631
"Y2015","Effect of treatment, without screening",25,"ARR",0.0074,"(0.0069,0.008)",0.0074
"Y2015","Effect of treatment, without screening",25,"NNS",135.1351,"(124.8849,144.4323)",135.3523
"Y2015","Effect of treatment, with screening",10,"Cumulative Incidence, Group 0",0.004,"(0.0036,0.0043)",0.004
"Y2015","Effect of treatment, with screening",10,"Cumulative Incidence, Group 1",0.0024,"(0.0021,0.0027)",0.0024
"Y2015","Effect of treatment, with screening",10,"MRR",0.6,"(0.5444,0.6431)",0.5984
"Y2015","Effect of treatment, with screening",10,"ARR",0.0016,"(0.0014,0.0018)",0.0016
"Y2015","Effect of treatment, with screening",10,"NNS",625,"(561.6577,719.4245)",631.3453
"Y2015","Effect of treatment, with screening",25,"Cumulative Incidence, Group 0",0.0188,"(0.0179,0.0199)",0.0188
"Y2015","Effect of treatment, with screening",25,"Cumulative Incidence, Group 1",0.0124,"(0.0118,0.0131)",0.0124
"Y2015","Effect of treatment, with screening",25,"MRR",0.6596,"(0.6391,0.6788)",0.6603
"Y2015","Effect of treatment, with screening",25,"ARR",0.0064,"(0.0059,0.007)",0.0064
"Y2015","Effect of treatment, with screening",25,"NNS",156.25,"(142.8292,168.6341)",156.6669
