"Trial","Effect","Follow-Up Year","Measure","Estimate","UI","Estimate_Orig"
"Historical","Effect of screening, same treatment",1,"Cumulative Incidence, Group 0",1e-04,"(0,1e-04)",1e-04
"Historical","Effect of screening, same treatment",1,"Cumulative Incidence, Group 1",0,"(0,1e-04)",0
"Historical","Effect of screening, same treatment",1,"MRR",0,"(0.7143,1)",0.81
"Historical","Effect of screening, same treatment",1,"ARR",1e-04,"(0,0)",0
"Historical","Effect of screening, same treatment",1,"NNS",10000,"(50000,1e+05)",73236.715
"Historical","Effect of screening, same treatment",2,"Cumulative Incidence, Group 0",2e-04,"(2e-04,3e-04)",2e-04
"Historical","Effect of screening, same treatment",2,"Cumulative Incidence, Group 1",2e-04,"(2e-04,3e-04)",2e-04
"Historical","Effect of screening, same treatment",2,"MRR",1,"(0.7391,0.9474)",0.7919
"Historical","Effect of screening, same treatment",2,"ARR",0,"(0,1e-04)",0
"Historical","Effect of screening, same treatment",2,"NNS",Inf,"(16666.6667,1e+05)",30191.2698
"Historical","Effect of screening, same treatment",3,"Cumulative Incidence, Group 0",5e-04,"(4e-04,7e-04)",5e-04
"Historical","Effect of screening, same treatment",3,"Cumulative Incidence, Group 1",4e-04,"(3e-04,5e-04)",4e-04
"Historical","Effect of screening, same treatment",3,"MRR",0.8,"(0.75,0.8902)",0.7923
"Historical","Effect of screening, same treatment",3,"ARR",1e-04,"(1e-04,2e-04)",1e-04
"Historical","Effect of screening, same treatment",3,"NNS",10000,"(8333.3333,20000)",10992.9848
"Historical","Effect of screening, same treatment",4,"Cumulative Incidence, Group 0",8e-04,"(8e-04,0.0011)",8e-04
"Historical","Effect of screening, same treatment",4,"Cumulative Incidence, Group 1",7e-04,"(6e-04,9e-04)",7e-04
"Historical","Effect of screening, same treatment",4,"MRR",0.875,"(0.7744,0.8874)",0.8015
"Historical","Effect of screening, same treatment",4,"ARR",1e-04,"(1e-04,2e-04)",2e-04
"Historical","Effect of screening, same treatment",4,"NNS",10000,"(5000,11111.1111)",6332.873
"Historical","Effect of screening, same treatment",5,"Cumulative Incidence, Group 0",0.0013,"(0.0012,0.0015)",0.0013
"Historical","Effect of screening, same treatment",5,"Cumulative Incidence, Group 1",0.001,"(0.001,0.0013)",0.001
"Historical","Effect of screening, same treatment",5,"MRR",0.7692,"(0.7866,0.8745)",0.8087
"Historical","Effect of screening, same treatment",5,"ARR",3e-04,"(2e-04,3e-04)",2e-04
"Historical","Effect of screening, same treatment",5,"NNS",3333.3333,"(3540.6404,6468.75)",4195.4987
"Historical","Effect of screening, same treatment",6,"Cumulative Incidence, Group 0",0.0018,"(0.0017,0.0021)",0.0018
"Historical","Effect of screening, same treatment",6,"Cumulative Incidence, Group 1",0.0015,"(0.0014,0.0017)",0.0015
"Historical","Effect of screening, same treatment",6,"MRR",0.8333,"(0.7978,0.8611)",0.8125
"Historical","Effect of screening, same treatment",6,"ARR",3e-04,"(3e-04,4e-04)",3e-04
"Historical","Effect of screening, same treatment",6,"NNS",3333.3333,"(2684.9218,4087.5)",3037.0378
"Historical","Effect of screening, same treatment",7,"Cumulative Incidence, Group 0",0.0024,"(0.0023,0.0027)",0.0024
"Historical","Effect of screening, same treatment",7,"Cumulative Incidence, Group 1",0.002,"(0.0019,0.0023)",0.002
"Historical","Effect of screening, same treatment",7,"MRR",0.8333,"(0.804,0.8624)",0.8179
"Historical","Effect of screening, same treatment",7,"ARR",4e-04,"(4e-04,6e-04)",4e-04
"Historical","Effect of screening, same treatment",7,"NNS",2500,"(2083.3333,2987.9679)",2321.1436
