"Trial","Effect","Follow-Up Year","Measure","Estimate","UI","Estimate_Orig"
"Historical","Effect of screening, same treatment",1,"Cumulative Incidence, Group 0",1e-04,"(0,1e-04)",1e-04
"Historical","Effect of screening, same treatment",1,"Cumulative Incidence, Group 1",0,"(0,1e-04)",0
"Historical","Effect of screening, same treatment",1,"MRR",0,"(0.8,1)",0.8702
"Historical","Effect of screening, same treatment",1,"ARR",1e-04,"(0,0)",0
"Historical","Effect of screening, same treatment",1,"NNS",10000,"(50000,1e+05)",80782.3129
"Historical","Effect of screening, same treatment",2,"Cumulative Incidence, Group 0",2e-04,"(2e-04,3e-04)",2e-04
"Historical","Effect of screening, same treatment",2,"Cumulative Incidence, Group 1",2e-04,"(1e-04,3e-04)",2e-04
"Historical","Effect of screening, same treatment",2,"MRR",1,"(0.8118,1)",0.862
"Historical","Effect of screening, same treatment",2,"ARR",0,"(0,1e-04)",0
"Historical","Effect of screening, same treatment",2,"NNS",Inf,"(25000,1e+05)",46881.9656
"Historical","Effect of screening, same treatment",3,"Cumulative Incidence, Group 0",4e-04,"(4e-04,6e-04)",4e-04
"Historical","Effect of screening, same treatment",3,"Cumulative Incidence, Group 1",4e-04,"(3e-04,6e-04)",4e-04
"Historical","Effect of screening, same treatment",3,"MRR",1,"(0.8251,0.9535)",0.8611
"Historical","Effect of screening, same treatment",3,"ARR",0,"(0,1e-04)",1e-04
"Historical","Effect of screening, same treatment",3,"NNS",Inf,"(12500,50000)",21001.2626
"Historical","Effect of screening, same treatment",4,"Cumulative Incidence, Group 0",8e-04,"(7e-04,0.001)",8e-04
"Historical","Effect of screening, same treatment",4,"Cumulative Incidence, Group 1",7e-04,"(6e-04,9e-04)",7e-04
"Historical","Effect of screening, same treatment",4,"MRR",0.875,"(0.8309,0.9481)",0.8635
"Historical","Effect of screening, same treatment",4,"ARR",1e-04,"(1e-04,2e-04)",1e-04
"Historical","Effect of screening, same treatment",4,"NNS",10000,"(7692.3077,25000)",11017.7947
"Historical","Effect of screening, same treatment",5,"Cumulative Incidence, Group 0",0.0012,"(0.0011,0.0014)",0.0012
"Historical","Effect of screening, same treatment",5,"Cumulative Incidence, Group 1",0.001,"(0.001,0.0012)",0.001
"Historical","Effect of screening, same treatment",5,"MRR",0.8333,"(0.8482,0.9233)",0.8671
"Historical","Effect of screening, same treatment",5,"ARR",2e-04,"(1e-04,3e-04)",2e-04
"Historical","Effect of screening, same treatment",5,"NNS",5000,"(5555.5556,11111.1111)",6844.4013
"Historical","Effect of screening, same treatment",6,"Cumulative Incidence, Group 0",0.0016,"(0.0015,0.0019)",0.0016
"Historical","Effect of screening, same treatment",6,"Cumulative Incidence, Group 1",0.0014,"(0.0013,0.0017)",0.0014
"Historical","Effect of screening, same treatment",6,"MRR",0.875,"(0.8513,0.9172)",0.8681
"Historical","Effect of screening, same treatment",6,"ARR",2e-04,"(2e-04,3e-04)",2e-04
"Historical","Effect of screening, same treatment",6,"NNS",5000,"(4000,7692.3077)",4858.5013
"Historical","Effect of screening, same treatment",7,"Cumulative Incidence, Group 0",0.0022,"(0.0021,0.0025)",0.0022
"Historical","Effect of screening, same treatment",7,"Cumulative Incidence, Group 1",0.0019,"(0.0018,0.0022)",0.0019
"Historical","Effect of screening, same treatment",7,"MRR",0.8636,"(0.8583,0.9088)",0.8706
"Historical","Effect of screening, same treatment",7,"ARR",3e-04,"(2e-04,4e-04)",3e-04
"Historical","Effect of screening, same treatment",7,"NNS",3333.3333,"(3225.8065,5263.1579)",3663.5319
