"Trial","Age.Group","Control","Screen","Incidence","Prevalence"
"Y1977",50,26.997198491932,24.289672295171,NA,NA
"Y1977",55,71.6894389124598,65.2805710147537,NA,NA
"Y1977",60,109.072964018508,100.305203377317,NA,NA
"Y1977",65,142.281998068591,131.311154282462,NA,NA
"Y1977",70,169.317016381519,157.140102460094,NA,NA
"Y1977",75,193.569969068824,180.711625345816,NA,NA
"Y1977",80,216.780713950365,203.738062887803,NA,NA
"Y1977",85,222.62658956545,211.035771472306,NA,NA
"Y1977",90,164.005758113001,160.043419691163,NA,NA
"Y1977",95,118.939875060894,120.882397297789,NA,NA
"Y1977",100,92.6800430834798,98.6125099477756,NA,NA
"Y1977",105,81.0507279788134,84.7034459734357,NA,NA
"Y1977",110,57.3418991331515,68.4347546462947,NA,NA
"Y1977",115,46.4252575825741,46.4252575825741,NA,NA
"Y1977",120,NA,NA,NA,NA
"Y1977",125,NA,NA,NA,NA
"Y1999",50,26.0050746855625,23.1279427882913,NA,NA
"Y1999",55,68.6628266587774,61.7914132487609,NA,NA
"Y1999",60,103.803079652106,94.2352785032332,NA,NA
"Y1999",65,135.306599700406,123.527825439226,NA,NA
"Y1999",70,160.78455477521,147.337137493791,NA,NA
"Y1999",75,183.617541153099,169.428076072463,NA,NA
"Y1999",80,203.462818249337,188.628550419478,NA,NA
"Y1999",85,209.966820142623,196.218558432634,NA,NA
"Y1999",90,152.445016691057,147.675072998937,NA,NA
"Y1999",95,111.692076034593,111.023191707448,NA,NA
"Y1999",100,83.1329323286874,87.3641496520691,NA,NA
"Y1999",105,73.3838295915258,74.9496923617801,NA,NA
"Y1999",110,70.1796737711857,75.6240201371139,NA,NA
"Y1999",115,0,0,NA,NA
"Y1999",120,NA,NA,NA,NA
"Y1999",125,NA,NA,NA,NA
"Y2015",50,24.7018453109214,21.6268497191055,NA,NA
"Y2015",55,64.8663716217283,57.4269938260381,NA,NA
"Y2015",60,97.5215293379231,86.9555336575335,NA,NA
"Y2015",65,125.694783303223,112.394827290337,NA,NA
"Y2015",70,148.546186304266,133.312700995412,NA,NA
"Y2015",75,169.615413316145,153.334586014036,NA,NA
"Y2015",80,186.893029914834,169.870556718489,NA,NA
"Y2015",85,190.410182717026,173.930189678237,NA,NA
"Y2015",90,136.551588223506,129.06484077515,NA,NA
"Y2015",95,97.0008903375072,93.9992952079692,NA,NA
"Y2015",100,73.9780390119226,74.9308298960237,NA,NA
"Y2015",105,63.0222451005483,64.5818822473077,NA,NA
"Y2015",110,44.7063523927308,53.7097111636176,NA,NA
"Y2015",115,44.8384541782982,43.965728302115,NA,NA
"Y2015",120,NA,NA,NA,NA
"Y2015",125,NA,NA,NA,NA
"Historical",50,NA,NA,201.239289758813,0.99639
"Historical",55,NA,NA,225.766701971541,1.98233213089594
"Historical",60,NA,NA,259.402135218836,2.90975289286594
"Historical",65,NA,NA,280.266857027762,3.7517419109176
"Historical",70,NA,NA,301.766938025451,4.54366095077411
"Historical",75,NA,NA,320.261012811125,5.2838007103751
"Historical",80,NA,NA,334.549518267042,5.95353101064838
"Historical",85,NA,NA,162.161734292298,5.79701223243615
"Historical",90,NA,NA,0,4.79667940743704
"Historical",95,NA,NA,0,4.00929593005704
"Historical",100,NA,NA,0,3.44535463066342
"Historical",105,NA,NA,0,3.00609901879636
"Historical",110,NA,NA,0,2.48356378434667
"Historical",115,NA,NA,0,2.3749406424329
"Historical",120,NA,NA,NA,NA
"Historical",125,NA,NA,NA,NA
