"Trial","Effect","Follow-Up Year","Measure","Estimate","UI","Estimate_Orig"
"Y1977","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0224,"(0.0214,0.0235)",0.0224
"Y1977","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0206,"(0.0197,0.0217)",0.0206
"Y1977","Effect of screening, same treatment",25,"MRR",0.9196,"(0.9138,0.9326)",0.9213
"Y1977","Effect of screening, same treatment",25,"ARR",0.0018,"(0.0015,0.0019)",0.0018
"Y1977","Effect of screening, same treatment",25,"NNS",555.5556,"(514.0761,649.3506)",570.6848
"Y1999","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0213,"(0.0203,0.0224)",0.0213
"Y1999","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0194,"(0.0185,0.0204)",0.0194
"Y1999","Effect of screening, same treatment",25,"MRR",0.9108,"(0.9017,0.9218)",0.9103
"Y1999","Effect of screening, same treatment",25,"ARR",0.0019,"(0.0017,0.0021)",0.0019
"Y1999","Effect of screening, same treatment",25,"NNS",526.3158,"(473.832,600.9199)",525.3943
"Y2015","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0199,"(0.0189,0.0209)",0.0199
"Y2015","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0178,"(0.0169,0.0187)",0.0178
"Y2015","Effect of screening, same treatment",25,"MRR",0.8945,"(0.8815,0.9058)",0.8931
"Y2015","Effect of screening, same treatment",25,"ARR",0.0021,"(0.0019,0.0024)",0.0021
"Y2015","Effect of screening, same treatment",25,"NNS",476.1905,"(422.6567,535.3261)",471.3985
"Y1999","Effect of treatment, without screening",25,"Cumulative Incidence, Group 0",0.0224,"(0.0214,0.0235)",0.0224
"Y1999","Effect of treatment, without screening",25,"Cumulative Incidence, Group 1",0.0213,"(0.0203,0.0224)",0.0213
"Y1999","Effect of treatment, without screening",25,"MRR",0.9509,"(0.9451,0.9626)",0.9531
"Y1999","Effect of treatment, without screening",25,"ARR",0.0011,"(8e-04,0.0012)",0.0011
"Y1999","Effect of treatment, without screening",25,"NNS",909.0909,"(809.566,1198.0063)",963.2406
"Y1999","Effect of treatment, with screening",25,"Cumulative Incidence, Group 0",0.0206,"(0.0197,0.0217)",0.0206
"Y1999","Effect of treatment, with screening",25,"Cumulative Incidence, Group 1",0.0194,"(0.0185,0.0204)",0.0194
"Y1999","Effect of treatment, with screening",25,"MRR",0.9417,"(0.933,0.9534)",0.9417
"Y1999","Effect of treatment, with screening",25,"ARR",0.0012,"(0.001,0.0014)",0.0012
"Y1999","Effect of treatment, with screening",25,"NNS",833.3333,"(719.2029,1036.5657)",840.1357
"Y2015","Effect of treatment, without screening",25,"Cumulative Incidence, Group 0",0.0224,"(0.0214,0.0235)",0.0224
"Y2015","Effect of treatment, without screening",25,"Cumulative Incidence, Group 1",0.0199,"(0.0189,0.0209)",0.0199
"Y2015","Effect of treatment, without screening",25,"MRR",0.8884,"(0.8794,0.9037)",0.8904
"Y2015","Effect of treatment, without screening",25,"ARR",0.0025,"(0.0021,0.0027)",0.0025
"Y2015","Effect of treatment, without screening",25,"NNS",400,"(369.6529,467.4091)",409.4097
"Y2015","Effect of treatment, with screening",25,"Cumulative Incidence, Group 0",0.0206,"(0.0197,0.0217)",0.0206
"Y2015","Effect of treatment, with screening",25,"Cumulative Incidence, Group 1",0.0178,"(0.0169,0.0187)",0.0178
"Y2015","Effect of treatment, with screening",25,"MRR",0.8641,"(0.851,0.8816)",0.8631
"Y2015","Effect of treatment, with screening",25,"ARR",0.0028,"(0.0025,0.0031)",0.0028
"Y2015","Effect of treatment, with screening",25,"NNS",357.1429,"(320.4647,406.5041)",355.8044
