"Trial","Effect","Follow-Up Year","Measure","Estimate","UI","Estimate_Orig"
"Y1977","Effect of screening, same treatment",10,"Cumulative Incidence, Group 0",0.0048,"(0.0043,0.0052)",0.0048
"Y1977","Effect of screening, same treatment",10,"Cumulative Incidence, Group 1",0.0043,"(0.0039,0.0047)",0.0043
"Y1977","Effect of screening, same treatment",10,"MRR",0.8958,"(0.8893,0.9298)",0.9078
"Y1977","Effect of screening, same treatment",10,"ARR",5e-04,"(3e-04,6e-04)",4e-04
"Y1977","Effect of screening, same treatment",10,"NNS",2000,"(1784.689,3080.0189)",2311.1196
"Y1977","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0224,"(0.0214,0.0235)",0.0224
"Y1977","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0206,"(0.0197,0.0217)",0.0206
"Y1977","Effect of screening, same treatment",25,"MRR",0.9196,"(0.9138,0.9326)",0.9213
"Y1977","Effect of screening, same treatment",25,"ARR",0.0018,"(0.0015,0.0019)",0.0018
"Y1977","Effect of screening, same treatment",25,"NNS",555.5556,"(514.0761,649.3506)",570.6848
"Y1999","Effect of screening, same treatment",10,"Cumulative Incidence, Group 0",0.0046,"(0.0042,0.005)",0.0046
"Y1999","Effect of screening, same treatment",10,"Cumulative Incidence, Group 1",0.0041,"(0.0037,0.0045)",0.0041
"Y1999","Effect of screening, same treatment",10,"MRR",0.8913,"(0.8743,0.9203)",0.8973
"Y1999","Effect of screening, same treatment",10,"ARR",5e-04,"(4e-04,6e-04)",5e-04
"Y1999","Effect of screening, same treatment",10,"NNS",2000,"(1666.6667,2819.4444)",2158.8282
"Y1999","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0213,"(0.0203,0.0224)",0.0213
"Y1999","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0194,"(0.0185,0.0204)",0.0194
"Y1999","Effect of screening, same treatment",25,"MRR",0.9108,"(0.9017,0.9218)",0.9103
"Y1999","Effect of screening, same treatment",25,"ARR",0.0019,"(0.0017,0.0021)",0.0019
"Y1999","Effect of screening, same treatment",25,"NNS",526.3158,"(473.832,600.9199)",525.3943
"Y2015","Effect of screening, same treatment",10,"Cumulative Incidence, Group 0",0.0043,"(0.0039,0.0048)",0.0043
"Y2015","Effect of screening, same treatment",10,"Cumulative Incidence, Group 1",0.0038,"(0.0034,0.0042)",0.0038
"Y2015","Effect of screening, same treatment",10,"MRR",0.8837,"(0.8595,0.9086)",0.8828
"Y2015","Effect of screening, same treatment",10,"ARR",5e-04,"(4e-04,6e-04)",5e-04
"Y2015","Effect of screening, same treatment",10,"NNS",2000,"(1549.8798,2471.0366)",1994.1181
"Y2015","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0199,"(0.0189,0.0209)",0.0199
