"Trial","Effect","Follow-Up Year","Measure","Estimate","UI","Estimate_Orig"
"e1a1","Effect of screening, same treatment",10,"Cumulative Incidence, Group 0",0.0015,"(0.0012,0.0017)",0.0015
"e1a1","Effect of screening, same treatment",10,"Cumulative Incidence, Group 1",0.001,"(8e-04,0.0012)",0.001
"e1a1","Effect of screening, same treatment",10,"MRR",0.6667,"(0.5888,0.7361)",0.661
"e1a1","Effect of screening, same treatment",10,"ARR",5e-04,"(4e-04,6e-04)",5e-04
"e1a1","Effect of screening, same treatment",10,"NNS",2000,"(1574.2808,2827.9014)",2065.1059
"e1a1","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0083,"(0.0077,0.0088)",0.0083
"e1a1","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0056,"(0.0051,0.0061)",0.0056
"e1a1","Effect of screening, same treatment",25,"MRR",0.6747,"(0.6426,0.7105)",0.6773
"e1a1","Effect of screening, same treatment",25,"ARR",0.0027,"(0.0023,0.003)",0.0027
"e1a1","Effect of screening, same treatment",25,"NNS",370.3704,"(334.858,432.0141)",374.1807
"e1a2","Effect of screening, same treatment",10,"Cumulative Incidence, Group 0",0.0025,"(0.0022,0.0028)",0.0025
"e1a2","Effect of screening, same treatment",10,"Cumulative Incidence, Group 1",0.0015,"(0.0013,0.0017)",0.0015
"e1a2","Effect of screening, same treatment",10,"MRR",0.6,"(0.5353,0.661)",0.5961
"e1a2","Effect of screening, same treatment",10,"ARR",0.001,"(8e-04,0.0012)",0.001
"e1a2","Effect of screening, same treatment",10,"NNS",1000,"(832.8702,1252.3452)",1004.4967
"e1a2","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.013,"(0.0122,0.0137)",0.013
"e1a2","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.008,"(0.0074,0.0085)",0.008
"e1a2","Effect of screening, same treatment",25,"MRR",0.6154,"(0.5896,0.6464)",0.6138
"e1a2","Effect of screening, same treatment",25,"ARR",0.005,"(0.0045,0.0054)",0.005
"e1a2","Effect of screening, same treatment",25,"NNS",200,"(184.1457,222.7712)",199.8
"e1a3","Effect of screening, same treatment",10,"Cumulative Incidence, Group 0",0.0034,"(0.003,0.0037)",0.0034
"e1a3","Effect of screening, same treatment",10,"Cumulative Incidence, Group 1",0.0019,"(0.0017,0.0022)",0.0019
"e1a3","Effect of screening, same treatment",10,"MRR",0.5588,"(0.5088,0.6196)",0.5698
"e1a3","Effect of screening, same treatment",10,"ARR",0.0015,"(0.0012,0.0017)",0.0014
"e1a3","Effect of screening, same treatment",10,"NNS",666.6667,"(605.7099,819.6721)",695.1307
"e1a3","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0162,"(0.0155,0.017)",0.0162
"e1a3","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0096,"(0.009,0.0102)",0.0096
"e1a3","Effect of screening, same treatment",25,"MRR",0.5926,"(0.5659,0.6176)",0.5911
"e1a3","Effect of screening, same treatment",25,"ARR",0.0066,"(0.0062,0.0071)",0.0066
"e1a3","Effect of screening, same treatment",25,"NNS",151.5152,"(140.6045,162.2267)",150.8733
"e1a4","Effect of screening, same treatment",10,"Cumulative Incidence, Group 0",0.0041,"(0.0038,0.0045)",0.0041
"e1a4","Effect of screening, same treatment",10,"Cumulative Incidence, Group 1",0.0023,"(0.002,0.0025)",0.0023
"e1a4","Effect of screening, same treatment",10,"MRR",0.561,"(0.5041,0.6003)",0.5559
"e1a4","Effect of screening, same treatment",10,"ARR",0.0018,"(0.0016,0.0021)",0.0018
"e1a4","Effect of screening, same treatment",10,"NNS",555.5556,"(484.2057,628.9308)",550.8191
"e1a4","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0186,"(0.0178,0.0195)",0.0186
"e1a4","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0108,"(0.0101,0.0114)",0.0108
"e1a4","Effect of screening, same treatment",25,"MRR",0.5806,"(0.5546,0.6083)",0.5801
"e1a4","Effect of screening, same treatment",25,"ARR",0.0078,"(0.0072,0.0083)",0.0078
"e1a4","Effect of screening, same treatment",25,"NNS",128.2051,"(119.8219,138.6151)",128.4102
"e2a1","Effect of screening, same treatment",10,"Cumulative Incidence, Group 0",0.0017,"(0.0014,0.002)",0.0017
"e2a1","Effect of screening, same treatment",10,"Cumulative Incidence, Group 1",0.0013,"(0.0011,0.0015)",0.0013
"e2a1","Effect of screening, same treatment",10,"MRR",0.7647,"(0.7188,0.8462)",0.7781
"e2a1","Effect of screening, same treatment",10,"ARR",4e-04,"(2e-04,5e-04)",4e-04
"e2a1","Effect of screening, same treatment",10,"NNS",2500,"(2083.3333,4087.5)",2745.9844
"e2a1","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0097,"(0.009,0.0102)",0.0097
"e2a1","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0077,"(0.0071,0.0081)",0.0077
"e2a1","Effect of screening, same treatment",25,"MRR",0.7938,"(0.7689,0.8189)",0.7949
"e2a1","Effect of screening, same treatment",25,"ARR",0.002,"(0.0017,0.0023)",0.002
"e2a1","Effect of screening, same treatment",25,"NNS",500,"(440.5286,581.3953)",506.113
"e2a2","Effect of screening, same treatment",10,"Cumulative Incidence, Group 0",0.0027,"(0.0025,0.0031)",0.0027
"e2a2","Effect of screening, same treatment",10,"Cumulative Incidence, Group 1",0.0018,"(0.0016,0.0021)",0.0018
"e2a2","Effect of screening, same treatment",10,"MRR",0.6667,"(0.6265,0.7344)",0.6745
"e2a2","Effect of screening, same treatment",10,"ARR",9e-04,"(7e-04,0.0011)",9e-04
"e2a2","Effect of screening, same treatment",10,"NNS",1111.1111,"(929.7037,1471.9879)",1140.6137
"e2a2","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0144,"(0.0136,0.0151)",0.0144
"e2a2","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.01,"(0.0094,0.0107)",0.01
"e2a2","Effect of screening, same treatment",25,"MRR",0.6944,"(0.6772,0.7234)",0.6992
"e2a2","Effect of screening, same treatment",25,"ARR",0.0044,"(0.0039,0.0047)",0.0043
"e2a2","Effect of screening, same treatment",25,"NNS",227.2727,"(213.4152,255.1362)",232.0825
"e2a3","Effect of screening, same treatment",10,"Cumulative Incidence, Group 0",0.0036,"(0.0032,0.0039)",0.0036
"e2a3","Effect of screening, same treatment",10,"Cumulative Incidence, Group 1",0.0023,"(0.002,0.0026)",0.0023
"e2a3","Effect of screening, same treatment",10,"MRR",0.6389,"(0.5847,0.687)",0.6308
"e2a3","Effect of screening, same treatment",10,"ARR",0.0013,"(0.0011,0.0015)",0.0013
"e2a3","Effect of screening, same treatment",10,"NNS",769.2308,"(648.9644,909.5793)",757.8686
"e2a3","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0176,"(0.0168,0.0184)",0.0176
"e2a3","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0117,"(0.011,0.0123)",0.0117
"e2a3","Effect of screening, same treatment",25,"MRR",0.6648,"(0.6388,0.6852)",0.6626
"e2a3","Effect of screening, same treatment",25,"ARR",0.0059,"(0.0055,0.0065)",0.0059
"e2a3","Effect of screening, same treatment",25,"NNS",169.4915,"(154.6732,181.698)",168.5985
"e2a4","Effect of screening, same treatment",10,"Cumulative Incidence, Group 0",0.0043,"(0.004,0.0047)",0.0043
"e2a4","Effect of screening, same treatment",10,"Cumulative Incidence, Group 1",0.0026,"(0.0023,0.0029)",0.0026
"e2a4","Effect of screening, same treatment",10,"MRR",0.6047,"(0.5586,0.6576)",0.6073
"e2a4","Effect of screening, same treatment",10,"ARR",0.0017,"(0.0015,0.002)",0.0017
"e2a4","Effect of screening, same treatment",10,"NNS",588.2353,"(511.4469,684.9315)",589.614
"e2a4","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0199,"(0.0192,0.0209)",0.0199
"e2a4","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0128,"(0.0122,0.0135)",0.0128
"e2a4","Effect of screening, same treatment",25,"MRR",0.6432,"(0.6187,0.6693)",0.6439
"e2a4","Effect of screening, same treatment",25,"ARR",0.0071,"(0.0066,0.0077)",0.0071
"e2a4","Effect of screening, same treatment",25,"NNS",140.8451,"(129.7591,151.9757)",141.0347
"e3a1","Effect of screening, same treatment",10,"Cumulative Incidence, Group 0",0.0019,"(0.0016,0.0022)",0.0019
"e3a1","Effect of screening, same treatment",10,"Cumulative Incidence, Group 1",0.0017,"(0.0014,0.0019)",0.0017
"e3a1","Effect of screening, same treatment",10,"MRR",0.8947,"(0.827,0.9091)",0.866
"e3a1","Effect of screening, same treatment",10,"ARR",2e-04,"(2e-04,3e-04)",3e-04
"e3a1","Effect of screening, same treatment",10,"NNS",5000,"(2857.1429,5882.3529)",4040.0564
"e3a1","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.011,"(0.0103,0.0115)",0.011
"e3a1","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0096,"(0.0091,0.0101)",0.0096
"e3a1","Effect of screening, same treatment",25,"MRR",0.8727,"(0.8602,0.9007)",0.8781
"e3a1","Effect of screening, same treatment",25,"ARR",0.0014,"(0.0011,0.0016)",0.0013
"e3a1","Effect of screening, same treatment",25,"NNS",714.2857,"(645.1613,921.8909)",754.3921
"e3a2","Effect of screening, same treatment",10,"Cumulative Incidence, Group 0",0.003,"(0.0026,0.0033)",0.003
"e3a2","Effect of screening, same treatment",10,"Cumulative Incidence, Group 1",0.0022,"(0.0019,0.0025)",0.0022
"e3a2","Effect of screening, same treatment",10,"MRR",0.7333,"(0.6968,0.7903)",0.7398
"e3a2","Effect of screening, same treatment",10,"ARR",8e-04,"(6e-04,9e-04)",8e-04
"e3a2","Effect of screening, same treatment",10,"NNS",1250,"(1063.8298,1694.9153)",1318.5763
"e3a2","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0156,"(0.0149,0.0164)",0.0156
"e3a2","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.012,"(0.0113,0.0127)",0.012
"e3a2","Effect of screening, same treatment",25,"MRR",0.7692,"(0.7466,0.785)",0.7652
"e3a2","Effect of screening, same treatment",25,"ARR",0.0036,"(0.0033,0.0041)",0.0037
"e3a2","Effect of screening, same treatment",25,"NNS",277.7778,"(246.5669,301.2529)",273.2917
"e3a3","Effect of screening, same treatment",10,"Cumulative Incidence, Group 0",0.0038,"(0.0034,0.0042)",0.0038
