"Trial","Age.Group","Control","Screen","Incidence","Prevalence"
"e1a1",50,9.4228710785104,9.4228560501758,NA,NA
"e1a1",55,17.9909547752249,17.9907469051827,NA,NA
"e1a1",60,38.9830328445676,37.5378811139405,NA,NA
"e1a1",65,44.9291982504444,45.7010601845948,NA,NA
"e1a1",70,65.390179548005,63.6647887355414,NA,NA
"e1a1",75,83.8435184807338,81.8403679237551,NA,NA
"e1a1",80,99.860494343201,99.8455171222108,NA,NA
"e1a1",85,81.7653238495404,81.7177804494705,NA,NA
"e1a1",90,73.2337358234294,79.6837264111993,NA,NA
"e1a1",95,63.0653464753069,54.9028412980258,NA,NA
"e1a1",100,57.6954879272939,59.9441662156088,NA,NA
"e1a1",105,0,0,NA,NA
"e1a1",110,0,0,NA,NA
"e1a1",115,NA,NA,NA,NA
"e1a1",120,NA,NA,NA,NA
"e1a1",125,NA,NA,NA,NA
"e1a2",50,15.4828809916236,14.809311561234,NA,NA
"e1a2",55,38.7745333589108,37.3855997445598,NA,NA
"e1a2",60,58.5740430674138,50.6019235232434,NA,NA
"e1a2",65,69.1581067935359,66.0137886642774,NA,NA
"e1a2",70,102.003500357824,95.0024814624426,NA,NA
"e1a2",75,129.68522393256,132.569006491561,NA,NA
"e1a2",80,130.944263501372,118.148218407655,NA,NA
"e1a2",85,136.437441848578,120.017455743396,NA,NA
"e1a2",90,77.3991116573436,89.5510690119156,NA,NA
"e1a2",95,71.8210160542055,95.0384283464812,NA,NA
"e1a2",100,58.1451493701447,60.4702042779533,NA,NA
"e1a2",105,132.014043743082,0,NA,NA
"e1a2",110,946.149567824914,946.149567824914,NA,NA
"e1a2",115,NA,NA,NA,NA
"e1a2",120,NA,NA,NA,NA
"e1a2",125,NA,NA,NA,NA
"e1a3",50,22.890272422027,21.5430430952882,NA,NA
"e1a3",55,48.5005052878085,44.335303804052,NA,NA
"e1a3",60,78.2205337451931,70.2180076484001,NA,NA
"e1a3",65,102.840779251264,92.6275862628455,NA,NA
"e1a3",70,121.400922089742,114.331197825827,NA,NA
"e1a3",75,156.614272940106,140.183671587997,NA,NA
"e1a3",80,157.181880382482,147.858150645367,NA,NA
"e1a3",85,164.774630023353,158.768500551073,NA,NA
"e1a3",90,116.527808855067,109.505750539625,NA,NA
"e1a3",95,80.5286010219008,55.7847017547381,NA,NA
"e1a3",100,86.4488718631041,58.3588756954601,NA,NA
"e1a3",105,0,0,NA,NA
"e1a3",110,0,0,NA,NA
"e1a3",115,NA,NA,NA,NA
"e1a3",120,NA,NA,NA,NA
