"Trial","Effect","Follow-Up Year","Measure","Estimate","UI","Estimate_Orig"
"e1a1","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0037,"(0.0034,0.004)",0.0037
"e1a1","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0032,"(0.003,0.0033)",0.0032
"e1a1","Effect of screening, same treatment",25,"MRR",0.8649,"(0.835,0.8983)",0.8667
"e1a1","Effect of screening, same treatment",25,"ARR",5e-04,"(3e-04,7e-04)",5e-04
"e1a1","Effect of screening, same treatment",25,"NNS",2000,"(1537.5,2962.5)",2250
"e1a2","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.008,"(0.0074,0.0086)",0.008
"e1a2","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0057,"(0.0047,0.0066)",0.0057
"e1a2","Effect of screening, same treatment",25,"MRR",0.7125,"(0.6397,0.7659)",0.7028
"e1a2","Effect of screening, same treatment",25,"ARR",0.0023,"(0.002,0.0026)",0.0023
"e1a2","Effect of screening, same treatment",25,"NNS",434.7826,"(378.125,496.875)",437.5
"e1a3","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0125,"(0.012,0.013)",0.0125
"e1a3","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0085,"(0.0077,0.0093)",0.0085
"e1a3","Effect of screening, same treatment",25,"MRR",0.68,"(0.6409,0.716)",0.6784
"e1a3","Effect of screening, same treatment",25,"ARR",0.004,"(0.0037,0.0043)",0.004
"e1a3","Effect of screening, same treatment",25,"NNS",250,"(231.8182,271.6783)",251.7483
"e1a4","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.016,"(0.0157,0.0163)",0.016
"e1a4","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0103,"(0.0094,0.0113)",0.0103
"e1a4","Effect of screening, same treatment",25,"MRR",0.6438,"(0.5752,0.7196)",0.6474
"e1a4","Effect of screening, same treatment",25,"ARR",0.0057,"(0.0044,0.0069)",0.0057
"e1a4","Effect of screening, same treatment",25,"NNS",175.4386,"(145.0549,228.5714)",186.8132
"e2a1","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0052,"(0.0047,0.0056)",0.0052
"e2a1","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0052,"(0.0047,0.0056)",0.0052
"e2a1","Effect of screening, same treatment",25,"MRR",1,"(1,1)",1
"e2a1","Effect of screening, same treatment",25,"ARR",0,"(0,0)",0
"e2a1","Effect of screening, same treatment",25,"NNS",Inf,"(NA,NA)",NA
"e2a2","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0095,"(0.0081,0.0109)",0.0095
"e2a2","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0077,"(0.0061,0.0093)",0.0077
"e2a2","Effect of screening, same treatment",25,"MRR",0.8105,"(0.7525,0.846)",0.7992
"e2a2","Effect of screening, same treatment",25,"ARR",0.0018,"(0.0017,0.002)",0.0018
"e2a2","Effect of screening, same treatment",25,"NNS",555.5556,"(502.5,597.5)",550
"e2a3","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.014,"(0.0127,0.0153)",0.014
"e2a3","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0105,"(0.0091,0.0119)",0.0105
"e2a3","Effect of screening, same treatment",25,"MRR",0.75,"(0.7123,0.7808)",0.7466
"e2a3","Effect of screening, same treatment",25,"ARR",0.0035,"(0.0033,0.0037)",0.0035
"e2a3","Effect of screening, same treatment",25,"NNS",285.7143,"(273.4091,299.3182)",286.3636
"e2a4","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0175,"(0.017,0.018)",0.0175
"e2a4","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0123,"(0.0107,0.0139)",0.0123
"e2a4","Effect of screening, same treatment",25,"MRR",0.7029,"(0.6312,0.774)",0.7026
"e2a4","Effect of screening, same treatment",25,"ARR",0.0052,"(0.0041,0.0063)",0.0052
"e2a4","Effect of screening, same treatment",25,"NNS",192.3077,"(160.1974,247.6974)",203.9474
