"Trial","Effect","Follow-Up Year","Measure","Estimate","UI","Estimate_Orig"
"e1a1","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0082,"(0.0076,0.0088)",0.0082
"e1a1","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0074,"(0.0068,0.0079)",0.0074
"e1a1","Effect of screening, same treatment",25,"MRR",0.9024,"(0.8769,0.9191)",0.8967
"e1a1","Effect of screening, same treatment",25,"ARR",8e-04,"(7e-04,0.001)",8e-04
"e1a1","Effect of screening, same treatment",25,"NNS",1250,"(985.0029,1504.4098)",1194.7856
"e1a2","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.012,"(0.0113,0.0126)",0.012
"e1a2","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0093,"(0.0087,0.0099)",0.0093
"e1a2","Effect of screening, same treatment",25,"MRR",0.775,"(0.7489,0.794)",0.7712
"e1a2","Effect of screening, same treatment",25,"ARR",0.0027,"(0.0025,0.0031)",0.0028
"e1a2","Effect of screening, same treatment",25,"NNS",370.3704,"(324.6753,408.1633)",364.962
"e1a3","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0151,"(0.0143,0.0159)",0.0151
"e1a3","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0108,"(0.0102,0.0115)",0.0108
"e1a3","Effect of screening, same treatment",25,"MRR",0.7152,"(0.6916,0.7378)",0.7153
"e1a3","Effect of screening, same treatment",25,"ARR",0.0043,"(0.0039,0.0047)",0.0043
"e1a3","Effect of screening, same treatment",25,"NNS",232.5581,"(212.9814,254.4529)",233.4077
"e1a4","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0176,"(0.0167,0.0185)",0.0176
"e1a4","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.012,"(0.0114,0.0127)",0.012
"e1a4","Effect of screening, same treatment",25,"MRR",0.6818,"(0.6628,0.7079)",0.6847
"e1a4","Effect of screening, same treatment",25,"ARR",0.0056,"(0.0051,0.006)",0.0055
"e1a4","Effect of screening, same treatment",25,"NNS",178.5714,"(167.6377,196.2209)",180.708
"e2a1","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.01,"(0.0096,0.0107)",0.01
"e2a1","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.01,"(0.0094,0.0106)",0.01
"e2a1","Effect of screening, same treatment",25,"MRR",1,"(0.9821,1.0106)",0.9965
"e2a1","Effect of screening, same treatment",25,"ARR",0,"(-1e-04,2e-04)",0
"e2a1","Effect of screening, same treatment",25,"NNS",Inf,"(-1e+05,1e+05)",4700.5411
"e2a2","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0138,"(0.0133,0.0145)",0.0138
"e2a2","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0119,"(0.0113,0.0125)",0.0119
"e2a2","Effect of screening, same treatment",25,"MRR",0.8623,"(0.8436,0.8746)",0.86
"e2a2","Effect of screening, same treatment",25,"ARR",0.0019,"(0.0017,0.0022)",0.0019
"e2a2","Effect of screening, same treatment",25,"NNS",526.3158,"(458.7156,579.799)",518.3831
"e2a3","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0169,"(0.0162,0.0176)",0.0169
"e2a3","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0134,"(0.0128,0.0141)",0.0134
"e2a3","Effect of screening, same treatment",25,"MRR",0.7929,"(0.7763,0.8104)",0.7941
"e2a3","Effect of screening, same treatment",25,"ARR",0.0035,"(0.0032,0.0039)",0.0035
"e2a3","Effect of screening, same treatment",25,"NNS",285.7143,"(259.3568,317.1027)",288.0529
"e2a4","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0194,"(0.0186,0.0202)",0.0194
