"Trial","Effect","Follow-Up Year","Measure","Estimate","UI","Estimate_Orig"
"e1a1","Effect of screening, same treatment",10,"Cumulative Incidence, Group 0",0.0019,"(0.0016,0.0021)",0.0019
"e1a1","Effect of screening, same treatment",10,"Cumulative Incidence, Group 1",0.0018,"(0.0015,0.002)",0.0018
"e1a1","Effect of screening, same treatment",10,"MRR",0.9474,"(0.9029,0.9791)",0.9465
"e1a1","Effect of screening, same treatment",10,"ARR",1e-04,"(0,2e-04)",1e-04
"e1a1","Effect of screening, same treatment",10,"NNS",10000,"(5710.7843,25000)",12014.0973
"e1a1","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0082,"(0.0076,0.0088)",0.0082
"e1a1","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0078,"(0.0073,0.0084)",0.0078
"e1a1","Effect of screening, same treatment",25,"MRR",0.9512,"(0.9342,0.9633)",0.9504
"e1a1","Effect of screening, same treatment",25,"ARR",4e-04,"(3e-04,5e-04)",4e-04
"e1a1","Effect of screening, same treatment",25,"NNS",2500,"(1834.1751,3333.3333)",2518.8665
"e1a2","Effect of screening, same treatment",10,"Cumulative Incidence, Group 0",0.0028,"(0.0025,0.0031)",0.0028
"e1a2","Effect of screening, same treatment",10,"Cumulative Incidence, Group 1",0.0026,"(0.0023,0.0029)",0.0026
"e1a2","Effect of screening, same treatment",10,"MRR",0.9286,"(0.8765,0.9447)",0.9135
"e1a2","Effect of screening, same treatment",10,"ARR",2e-04,"(2e-04,4e-04)",2e-04
"e1a2","Effect of screening, same treatment",10,"NNS",5000,"(2855.3922,6250)",4332.3178
"e1a2","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.012,"(0.0113,0.0126)",0.012
"e1a2","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.011,"(0.0105,0.0117)",0.011
"e1a2","Effect of screening, same treatment",25,"MRR",0.9167,"(0.9034,0.9354)",0.9183
"e1a2","Effect of screening, same treatment",25,"ARR",0.001,"(8e-04,0.0012)",0.001
"e1a2","Effect of screening, same treatment",25,"NNS",1000,"(854.7009,1258.307)",1028.8064
"e1a3","Effect of screening, same treatment",10,"Cumulative Incidence, Group 0",0.0036,"(0.0033,0.004)",0.0036
"e1a3","Effect of screening, same treatment",10,"Cumulative Incidence, Group 1",0.0033,"(0.003,0.0036)",0.0033
"e1a3","Effect of screening, same treatment",10,"MRR",0.9167,"(0.8684,0.9236)",0.8979
"e1a3","Effect of screening, same treatment",10,"ARR",3e-04,"(3e-04,5e-04)",4e-04
"e1a3","Effect of screening, same treatment",10,"NNS",3333.3333,"(2019.3878,3778.49)",2778.1544
"e1a3","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0151,"(0.0143,0.0159)",0.0151
"e1a3","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0136,"(0.0129,0.0145)",0.0136
"e1a3","Effect of screening, same treatment",25,"MRR",0.9007,"(0.8904,0.9167)",0.9035
"e1a3","Effect of screening, same treatment",25,"ARR",0.0015,"(0.0012,0.0017)",0.0015
"e1a3","Effect of screening, same treatment",25,"NNS",666.6667,"(602.4096,813.8843)",691.2086
"e1a4","Effect of screening, same treatment",10,"Cumulative Incidence, Group 0",0.0044,"(0.0041,0.0047)",0.0044
"e1a4","Effect of screening, same treatment",10,"Cumulative Incidence, Group 1",0.0039,"(0.0036,0.0042)",0.0039
"e1a4","Effect of screening, same treatment",10,"MRR",0.8864,"(0.8613,0.9146)",0.8895
"e1a4","Effect of screening, same treatment",10,"ARR",5e-04,"(4e-04,6e-04)",5e-04
"e1a4","Effect of screening, same treatment",10,"NNS",2000,"(1612.9032,2819.4444)",2108.1511
"e1a4","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0176,"(0.0167,0.0185)",0.0176
"e1a4","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0157,"(0.0149,0.0166)",0.0157
"e1a4","Effect of screening, same treatment",25,"MRR",0.892,"(0.8848,0.9088)",0.8957
"e1a4","Effect of screening, same treatment",25,"ARR",0.0019,"(0.0016,0.002)",0.0018
"e1a4","Effect of screening, same treatment",25,"NNS",526.3158,"(488.9407,637.4518)",547.747
"e2a1","Effect of screening, same treatment",10,"Cumulative Incidence, Group 0",0.0023,"(0.002,0.0026)",0.0023
"e2a1","Effect of screening, same treatment",10,"Cumulative Incidence, Group 1",0.0022,"(0.0019,0.0025)",0.0022
"e2a1","Effect of screening, same treatment",10,"MRR",0.9565,"(0.9515,0.9958)",0.9757
"e2a1","Effect of screening, same treatment",10,"ARR",1e-04,"(0,1e-04)",1e-04
"e2a1","Effect of screening, same treatment",10,"NNS",10000,"(9090.9091,1e+05)",26067.5266
"e2a1","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.01,"(0.0096,0.0107)",0.01
"e2a1","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0098,"(0.0093,0.0104)",0.0098
"e2a1","Effect of screening, same treatment",25,"MRR",0.98,"(0.9667,0.9869)",0.9766
"e2a1","Effect of screening, same treatment",25,"ARR",2e-04,"(1e-04,3e-04)",2e-04
"e2a1","Effect of screening, same treatment",25,"NNS",5000,"(2939.3939,7692.3077)",4537.0747
"e2a2","Effect of screening, same treatment",10,"Cumulative Incidence, Group 0",0.0032,"(0.0029,0.0035)",0.0032
"e2a2","Effect of screening, same treatment",10,"Cumulative Incidence, Group 1",0.003,"(0.0027,0.0033)",0.003
"e2a2","Effect of screening, same treatment",10,"MRR",0.9375,"(0.9151,0.9607)",0.9384
"e2a2","Effect of screening, same treatment",10,"ARR",2e-04,"(1e-04,3e-04)",2e-04
"e2a2","Effect of screening, same treatment",10,"NNS",5000,"(3771.3675,7692.3077)",5271.2826
"e2a2","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0138,"(0.0133,0.0145)",0.0138
"e2a2","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.013,"(0.0125,0.0137)",0.013
"e2a2","Effect of screening, same treatment",25,"MRR",0.942,"(0.9287,0.9517)",0.9415
"e2a2","Effect of screening, same treatment",25,"ARR",8e-04,"(7e-04,0.001)",8e-04
"e2a2","Effect of screening, same treatment",25,"NNS",1250,"(1025.405,1515.1515)",1249.0943
"e2a3","Effect of screening, same treatment",10,"Cumulative Incidence, Group 0",0.004,"(0.0037,0.0044)",0.004
"e2a3","Effect of screening, same treatment",10,"Cumulative Incidence, Group 1",0.0037,"(0.0034,0.0041)",0.0037
"e2a3","Effect of screening, same treatment",10,"MRR",0.925,"(0.8946,0.9454)",0.9192
"e2a3","Effect of screening, same treatment",10,"ARR",3e-04,"(2e-04,4e-04)",3e-04
"e2a3","Effect of screening, same treatment",10,"NNS",3333.3333,"(2380.9524,4545.4545)",3158.7253
"e2a3","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0169,"(0.0162,0.0176)",0.0169
"e2a3","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0156,"(0.0149,0.0163)",0.0156
"e2a3","Effect of screening, same treatment",25,"MRR",0.9231,"(0.9114,0.9345)",0.9241
"e2a3","Effect of screening, same treatment",25,"ARR",0.0013,"(0.0011,0.0015)",0.0013
"e2a3","Effect of screening, same treatment",25,"NNS",769.2308,"(666.2665,925.9259)",784.3868
"e2a4","Effect of screening, same treatment",10,"Cumulative Incidence, Group 0",0.0048,"(0.0044,0.0052)",0.0048
"e2a4","Effect of screening, same treatment",10,"Cumulative Incidence, Group 1",0.0043,"(0.004,0.0047)",0.0043
"e2a4","Effect of screening, same treatment",10,"MRR",0.8958,"(0.8869,0.9327)",0.9083
"e2a4","Effect of screening, same treatment",10,"ARR",5e-04,"(3e-04,5e-04)",4e-04
"e2a4","Effect of screening, same treatment",10,"NNS",2000,"(1850.7719,3132.9423)",2319.2898
"e2a4","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0194,"(0.0186,0.0202)",0.0194
"e2a4","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0177,"(0.0169,0.0185)",0.0177
"e2a4","Effect of screening, same treatment",25,"MRR",0.9124,"(0.904,0.9251)",0.9144
"e2a4","Effect of screening, same treatment",25,"ARR",0.0017,"(0.0014,0.0019)",0.0017
"e2a4","Effect of screening, same treatment",25,"NNS",588.2353,"(531.9149,699.5794)",604.8149
"e3a1","Effect of screening, same treatment",10,"Cumulative Incidence, Group 0",0.0026,"(0.0023,0.0029)",0.0026
"e3a1","Effect of screening, same treatment",10,"Cumulative Incidence, Group 1",0.0026,"(0.0023,0.0029)",0.0026
"e3a1","Effect of screening, same treatment",10,"MRR",1,"(0.9553,1.0169)",0.987
"e3a1","Effect of screening, same treatment",10,"ARR",0,"(0,1e-04)",0
"e3a1","Effect of screening, same treatment",10,"NNS",Inf,"(-1e+05,1e+05)",16692.2121
"e3a1","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0114,"(0.0108,0.0122)",0.0114
"e3a1","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0113,"(0.0107,0.0121)",0.0113
"e3a1","Effect of screening, same treatment",25,"MRR",0.9912,"(0.9758,1.0051)",0.9919
"e3a1","Effect of screening, same treatment",25,"ARR",1e-04,"(-1e-04,3e-04)",1e-04
"e3a1","Effect of screening, same treatment",25,"NNS",10000,"(-43333.3333,80000)",9717.5009
"e3a2","Effect of screening, same treatment",10,"Cumulative Incidence, Group 0",0.0036,"(0.0032,0.0039)",0.0036
