"","V1"
"version","breast_ER-HER2_6SensitivityExp"
"data","mostly JNCI monograph"
"sampling","N/A"
"model_method","15% abd 50% stage shift, instage benefits of .5, .7, .9 for advanced and early stages (independent), Weibull mortality distribution"
"design","Treatments get .25, .5, .75, and 1 as HR"
"stage","early and advanced"
"prognostic_factors","none"
"treatments","made up"
"efficacies",".25, .5, .75, 1"
"life_table","BMD"
"other","like _4 and _5 but with no lead time and new format for outputs"
