"Trial","Age.Group","Control","Screen","Incidence","Prevalence"
"e1a1",50,7.56724541963149,4.81915120919795,NA,NA
"e1a1",55,22.5039176322768,14.5696558529267,NA,NA
"e1a1",60,38.5653950156795,25.5489727804713,NA,NA
"e1a1",65,54.4646106123784,35.7657425946363,NA,NA
"e1a1",70,70.2270661182864,46.7536717935524,NA,NA
"e1a1",75,86.5076436068435,58.5527851815993,NA,NA
"e1a1",80,101.612640708685,68.6046058741404,NA,NA
"e1a1",85,113.22080124607,77.3072650687428,NA,NA
"e1a1",90,103.6387491062,71.6902758099689,NA,NA
"e1a1",95,92.6373563493808,65.7913388361907,NA,NA
"e1a1",100,84.4568711043486,64.3555795118471,NA,NA
"e1a1",105,78.4976279428701,68.2818723764522,NA,NA
"e1a1",110,77.5405878939232,65.2593684853958,NA,NA
"e1a1",115,0,0,NA,NA
"e1a1",120,NA,NA,NA,NA
"e1a1",125,NA,NA,NA,NA
"e1a2",50,13.4601103188003,7.82371940806025,NA,NA
"e1a2",55,37.8257716415805,22.2552918321764,NA,NA
"e1a2",60,62.0343780859102,37.0188340954798,NA,NA
"e1a2",65,83.1141331444962,50.1912722236479,NA,NA
"e1a2",70,105.086660579358,64.0999543961026,NA,NA
"e1a2",75,123.430119923706,76.7254607724267,NA,NA
"e1a2",80,140.326215857626,88.0053648473018,NA,NA
"e1a2",85,149.039254124708,94.6631989207586,NA,NA
"e1a2",90,126.67644528668,83.7177279926552,NA,NA
"e1a2",95,101.235171270557,70.3724028421879,NA,NA
"e1a2",100,84.9980942339408,61.6528821354132,NA,NA
"e1a2",105,62.8860445801129,57.2987550364572,NA,NA
"e1a2",110,47.4444976631256,62.1290710082411,NA,NA
"e1a2",115,0,0,NA,NA
"e1a2",120,NA,NA,NA,NA
"e1a2",125,NA,NA,NA,NA
"e1a3",50,18.7642402193307,10.4912938946728,NA,NA
"e1a3",55,50.5850229536549,28.5199913957133,NA,NA
"e1a3",60,78.9119127469294,45.5751385849456,NA,NA
"e1a3",65,103.517957488051,60.3937113812304,NA,NA
"e1a3",70,124.377010344999,73.4897654474616,NA,NA
"e1a3",75,143.447560589245,86.6169721840313,NA,NA
"e1a3",80,160.600718316434,97.6143666779107,NA,NA
"e1a3",85,164.744373477929,102.426544887057,NA,NA
"e1a3",90,124.440688575316,81.9758252105173,NA,NA
"e1a3",95,89.0317718298606,63.5392338740905,NA,NA
"e1a3",100,72.2870278517795,54.277081008027,NA,NA
"e1a3",105,59.3213551786593,58.1703316490557,NA,NA
"e1a3",110,34.9828859349083,52.988589976978,NA,NA
"e1a3",115,63.5475689240516,63.5475689240516,NA,NA
"e1a3",120,NA,NA,NA,NA
"e1a3",125,NA,NA,NA,NA
"e1a4",50,23.5664245533196,12.8804847739416,NA,NA
"e1a4",55,61.1032209223662,33.6730951543432,NA,NA
"e1a4",60,91.8420852023722,52.1393156296936,NA,NA
"e1a4",65,116.600314274105,66.8955255428971,NA,NA
"e1a4",70,136.419302823288,79.5517144794094,NA,NA
"e1a4",75,154.752447058278,91.5542955677074,NA,NA
"e1a4",80,170.090764780826,102.92607728193,NA,NA
"e1a4",85,170.366434156404,104.879170540763,NA,NA
"e1a4",90,118.027265116696,79.1224157927844,NA,NA
"e1a4",95,78.8080962264904,58.2879223673096,NA,NA
"e1a4",100,58.2409478262132,48.3309681053718,NA,NA
"e1a4",105,38.7661538677235,46.7326140892613,NA,NA
"e1a4",110,35.296761478412,52.7089654540468,NA,NA
"e1a4",115,0,0,NA,NA
"e1a4",120,NA,NA,NA,NA
"e1a4",125,NA,NA,NA,NA
"e2a1",50,8.78285732889442,6.55559960871629,NA,NA
"e2a1",55,26.1355827067753,19.6781877726934,NA,NA
"e2a1",60,44.6863411216441,34.4121518576551,NA,NA
"e2a1",65,63.4742482088609,48.2482097602934,NA,NA
"e2a1",70,82.3520568982947,63.9425206319192,NA,NA
"e2a1",75,101.500901074867,79.5922712659869,NA,NA
"e2a1",80,119.490695848141,93.9986828762371,NA,NA
"e2a1",85,133.243554194007,104.731024760932,NA,NA
"e2a1",90,122.266893787222,98.8573806159332,NA,NA
"e2a1",95,109.901151425934,89.1114153774728,NA,NA
"e2a1",100,98.6844901665504,86.4227247997171,NA,NA
"e2a1",105,91.6513232140002,83.1672101518919,NA,NA
"e2a1",110,99.228343670936,70.1409047116813,NA,NA
"e2a1",115,0,0,NA,NA
"e2a1",120,NA,NA,NA,NA
"e2a1",125,NA,NA,NA,NA
"e2a2",50,14.6759678793199,9.56034490353846,NA,NA
"e2a2",55,41.4619039550323,27.3669748366774,NA,NA
"e2a2",60,68.1743524769224,45.895461786124,NA,NA
"e2a2",65,92.1720935982192,62.7075580954859,NA,NA
"e2a2",70,117.311907010797,81.359242949937,NA,NA
"e2a2",75,138.591396409497,97.881533291283,NA,NA
"e2a2",80,158.460281971896,113.579933831584,NA,NA
"e2a2",85,169.399764060487,122.316576906001,NA,NA
"e2a2",90,145.630011554784,111.119680401837,NA,NA
"e2a2",95,118.75928173928,93.8755956657863,NA,NA
"e2a2",100,99.4189140089193,83.8358825233168,NA,NA
"e2a2",105,76.0775629736635,72.1559434173251,NA,NA
"e2a2",110,68.8453670263439,67.1507542459825,NA,NA
"e2a2",115,0,0,NA,NA
"e2a2",120,NA,NA,NA,NA
"e2a2",125,NA,NA,NA,NA
"e2a3",50,19.9803225556103,12.2280799173403,NA,NA
"e2a3",55,54.224979778148,33.634350834868,NA,NA
"e2a3",60,85.0665477431972,54.4622828366984,NA,NA
"e2a3",65,112.611739119622,72.9349178182706,NA,NA
"e2a3",70,136.667309385839,90.7940873525219,NA,NA
"e2a3",75,158.712768392014,107.84539521174,NA,NA
"e2a3",80,178.886731074903,123.293326543022,NA,NA
"e2a3",85,185.290266370707,130.205892290944,NA,NA
"e2a3",90,143.508359369025,109.45616151579,NA,NA
"e2a3",95,106.601074859694,87.0624060680905,NA,NA
"e2a3",100,86.7017733013517,76.4505351576593,NA,NA
"e2a3",105,72.5105747508972,73.0460783516362,NA,NA
"e2a3",110,56.4415335643287,57.8011256842716,NA,NA
"e2a3",115,63.5475689240516,63.5475689240516,NA,NA
"e2a3",120,NA,NA,NA,NA
"e2a3",125,NA,NA,NA,NA
"e2a4",50,24.7827131892186,14.6174167031446,NA,NA
"e2a4",55,64.7464385928521,38.7897216518199,NA,NA
"e2a4",60,98.0084143674018,61.0348868886411,NA,NA
"e2a4",65,125.719904766246,79.4545615104961,NA,NA
"e2a4",70,148.754347944592,96.8874966012932,NA,NA
"e2a4",75,170.08533466086,112.827641852222,NA,NA
"e2a4",80,188.467766635565,128.67056487461,NA,NA
"e2a4",85,191.014699565778,132.725301640935,NA,NA
"e2a4",90,137.139129611936,106.635912997079,NA,NA
"e2a4",95,96.3769203981351,81.8081143393706,NA,NA
"e2a4",100,72.6066184443499,70.479766161604,NA,NA
"e2a4",105,51.8427965084571,61.5021330570268,NA,NA
"e2a4",110,56.8391872546073,57.5789170939592,NA,NA
"e2a4",115,0,0,NA,NA
"e2a4",120,NA,NA,NA,NA
"e2a4",125,NA,NA,NA,NA
"e3a1",50,9.87939939905835,8.21138597485732,NA,NA
"e3a1",55,29.7494867623159,24.6994179301451,NA,NA
"e3a1",60,50.4319233398638,42.2771620526115,NA,NA
"e3a1",65,72.1404005643633,60.5739096426512,NA,NA
"e3a1",70,92.8946078205433,79.5699112285918,NA,NA
"e3a1",75,114.625773011392,98.0679470756596,NA,NA
"e3a1",80,135.061333574612,115.48005802413,NA,NA
"e3a1",85,149.044947891696,129.010543186786,NA,NA
"e3a1",90,137.063569058978,119.042427289451,NA,NA
"e3a1",95,123.854954474372,111.210063554756,NA,NA
"e3a1",100,109.331721947951,107.204458565122,NA,NA
"e3a1",105,101.215383207389,97.3710647553224,NA,NA
"e3a1",110,104.494556314307,83.466595255624,NA,NA
"e3a1",115,32.2287933333471,0,NA,NA
"e3a1",120,NA,NA,NA,NA
"e3a1",125,NA,NA,NA,NA
"e3a2",50,15.7727373606787,11.2163022814017,NA,NA
"e3a2",55,45.0801867477314,32.3912618511777,NA,NA
"e3a2",60,73.9377983982009,53.7727662528416,NA,NA
"e3a2",65,100.884871550178,75.0660914076291,NA,NA
"e3a2",70,127.944959284656,97.052133897713,NA,NA
"e3a2",75,151.867253964876,116.462793060597,NA,NA
"e3a2",80,174.259145451917,135.220195602523,NA,NA
"e3a2",85,185.485005165994,146.803704109045,NA,NA
"e3a2",90,160.694605765179,131.492681212725,NA,NA
"e3a2",95,132.931158759306,116.144447058382,NA,NA
"e3a2",100,110.21145131602,104.729882870481,NA,NA
"e3a2",105,85.7028679738255,86.3405301415196,NA,NA
"e3a2",110,74.1058220060335,80.5004709575469,NA,NA
"e3a2",115,32.2287933333471,0,NA,NA
"e3a2",120,NA,NA,NA,NA
"e3a2",125,NA,NA,NA,NA
"e3a3",50,21.0772993147815,13.8841910550631,NA,NA
"e3a3",55,57.8470248107449,38.661243232752,NA,NA
"e3a3",60,90.8437773107092,62.3492238124442,NA,NA
"e3a3",65,121.359154655444,85.3177495184054,NA,NA
"e3a3",70,147.358726765645,106.528751253422,NA,NA
"e3a3",75,172.081683242394,126.49185937956,NA,NA
"e3a3",80,194.821293013606,145.025070710128,NA,NA
"e3a3",85,201.529211775184,154.805962783252,NA,NA
"e3a3",90,158.664042054326,129.886699419167,NA,NA
"e3a3",95,120.805828071166,109.352824073146,NA,NA
"e3a3",100,97.492085676455,97.3411722018583,NA,NA
"e3a3",105,82.131543782831,87.2606249653779,NA,NA
"e3a3",110,61.6611062630855,71.0079177779471,NA,NA
"e3a3",115,95.7763622573987,63.5475689240516,NA,NA
"e3a3",120,NA,NA,NA,NA
"e3a3",125,NA,NA,NA,NA
"e3a4",50,25.8798802094794,16.2736679240273,NA,NA
"e3a4",55,68.3717000810082,43.818827296303,NA,NA
"e3a4",60,103.796621564988,68.9295128199576,NA,NA
"e3a4",65,134.492295054169,91.8548048129608,NA,NA
"e3a4",70,159.485706582918,112.651353853074,NA,NA
"e3a4",75,183.514815514318,131.514382173909,NA,NA
"e3a4",80,204.482739442466,150.459407725786,NA,NA
"e3a4",85,207.337549602442,157.385756956037,NA,NA
"e3a4",90,152.328109070858,127.089859535112,NA,NA
"e3a4",95,110.581619174067,104.097601709607,NA,NA
"e3a4",100,83.3458023966387,91.3534735761302,NA,NA
"e3a4",105,61.3617442647399,75.6276376648421,NA,NA
"e3a4",110,62.1531211798512,70.7996084079268,NA,NA
"e3a4",115,32.2287933333471,0,NA,NA
"e3a4",120,NA,NA,NA,NA
"e3a4",125,NA,NA,NA,NA
"e4a1",50,11.0324913589578,9.81274107493499,NA,NA
"e4a1",55,33.0136900263809,29.3802629622662,NA,NA
"e4a1",60,56.2571016930923,50.3614695985115,NA,NA
"e4a1",65,79.6969667015089,71.7920766139497,NA,NA
"e4a1",70,102.721165116764,93.3895560527528,NA,NA
"e4a1",75,126.350835597077,114.709663400599,NA,NA
"e4a1",80,147.653361462154,134.335609236048,NA,NA
"e4a1",85,163.3885482843,149.818083605131,NA,NA
"e4a1",90,149.472689260916,138.14280410823,NA,NA
"e4a1",95,135.050212875436,126.363768118351,NA,NA
"e4a1",100,117.961736994109,116.906414495993,NA,NA
"e4a1",105,113.530791795793,111.110737965341,NA,NA
"e4a1",110,91.0654361192762,103.446286080695,NA,NA
"e4a1",115,103.569532131807,90.240682599739,NA,NA
"e4a1",120,NA,NA,NA,NA
"e4a1",125,NA,NA,NA,NA
"e4a2",50,16.9260583121574,12.8178228870152,NA,NA
"e4a2",55,48.3485033642122,37.07502779874,NA,NA
"e4a2",60,79.7808070045294,61.8693438896923,NA,NA
"e4a2",65,108.483725558814,86.3150568088465,NA,NA
"e4a2",70,137.855805233026,110.931366399593,NA,NA
"e4a2",75,163.729503429369,133.201057796854,NA,NA
"e4a2",80,187.045515151098,154.218308616237,NA,NA
"e4a2",85,200.083959932847,167.792763732621,NA,NA
"e4a2",90,173.336787988195,150.768759154279,NA,NA
"e4a2",95,144.303532030187,131.420304295785,NA,NA
"e4a2",100,118.955204819456,114.481966417377,NA,NA
"e4a2",105,98.124921291264,100.070992085584,NA,NA
"e4a2",110,60.2696332494826,100.463514768644,NA,NA
"e4a2",115,103.569532131807,90.240682599739,NA,NA
"e4a2",120,NA,NA,NA,NA
"e4a2",125,NA,NA,NA,NA
"e4a3",50,22.2308282195716,15.485860749261,NA,NA
"e4a3",55,61.1188595507038,43.3474970345373,NA,NA
"e4a3",60,96.7005333793101,70.4553978764811,NA,NA
"e4a3",65,128.989370542843,96.5894564526299,NA,NA
"e4a3",70,157.324095508402,120.44584910461,NA,NA
"e4a3",75,184.028593072224,143.289725441294,NA,NA
"e4a3",80,207.722331838467,164.105151741107,NA,NA
"e4a3",85,216.267555362573,175.894338859213,NA,NA
"e4a3",90,171.383529765385,149.218471511681,NA,NA
"e4a3",95,132.198672597997,124.635087579904,NA,NA
"e4a3",100,106.227234916185,107.077250741258,NA,NA
"e4a3",105,94.608854087349,101.038204787358,NA,NA
"e4a3",110,47.8008953300707,91.049072205576,NA,NA
"e4a3",115,167.117101055859,153.788251523791,NA,NA
"e4a3",120,NA,NA,NA,NA
"e4a3",125,NA,NA,NA,NA
"e4a4",50,27.0336005736978,17.8754727887258,NA,NA
"e4a4",55,71.6465460905393,48.5071949019659,NA,NA
"e4a4",60,109.664328415596,77.0433593256579,NA,NA
"e4a4",65,142.145026886196,103.142788556084,NA,NA
"e4a4",70,169.488322869167,126.594815502112,NA,NA
"e4a4",75,195.516705699141,148.349075432493,NA,NA
"e4a4",80,217.451425612712,169.590340030402,NA,NA
"e4a4",85,222.152084246879,178.526556696185,NA,NA
"e4a4",90,165.073702612891,146.443513030161,NA,NA
"e4a4",95,121.969274543408,119.37299753805,NA,NA
"e4a4",100,92.0384401089607,101.061071794828,NA,NA
"e4a4",105,73.7236369443446,89.3282153707901,NA,NA
"e4a4",110,48.2859578484441,90.8906588521818,NA,NA
"e4a4",115,103.569532131807,90.240682599739,NA,NA
"e4a4",120,NA,NA,NA,NA
"e4a4",125,NA,NA,NA,NA
"Historical",50,NA,NA,201.171495842233,0.99639
"Historical",55,NA,NA,225.295437818007,2.07801112991235
"Historical",60,NA,NA,258.083496585597,3.24295248053253
"Historical",65,NA,NA,277.731857311205,4.42035613856334
"Historical",70,NA,NA,297.650812065122,5.62156654353302
"Historical",75,NA,NA,314.268628572071,6.81565804235411
"Historical",80,NA,NA,326.47622915458,7.97195804319019
"Historical",85,NA,NA,157.33389511843,8.3561919168036
"Historical",90,NA,NA,0,7.8766448930818
"Historical",95,NA,NA,0,7.39588886006929
"Historical",100,NA,NA,0,6.96783276504197
"Historical",105,NA,NA,0,6.55610447412722
"Historical",110,NA,NA,0,5.94196721362602
"Historical",115,NA,NA,0,5.12836493422373
"Historical",120,NA,NA,NA,NA
"Historical",125,NA,NA,NA,NA
