"Trial","Effect","Follow-Up Year","Measure","Estimate","UI","Estimate_Orig"
"e1a1","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0083,"(0.0077,0.0088)",0.0083
"e1a1","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0049,"(0.0045,0.0053)",0.0049
"e1a1","Effect of screening, same treatment",25,"MRR",0.5904,"(0.5603,0.625)",0.5907
"e1a1","Effect of screening, same treatment",25,"ARR",0.0034,"(0.003,0.0037)",0.0034
"e1a1","Effect of screening, same treatment",25,"NNS",294.1176,"(268.0965,333.9186)",294.6019
"e1a2","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.013,"(0.0122,0.0137)",0.013
"e1a2","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0073,"(0.0067,0.0078)",0.0073
"e1a2","Effect of screening, same treatment",25,"MRR",0.5615,"(0.5318,0.5911)",0.5583
"e1a2","Effect of screening, same treatment",25,"ARR",0.0057,"(0.0052,0.0062)",0.0057
"e1a2","Effect of screening, same treatment",25,"NNS",175.4386,"(161.9026,193.4639)",174.6403
"e1a3","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0162,"(0.0155,0.017)",0.0162
"e1a3","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0089,"(0.0083,0.0095)",0.0089
"e1a3","Effect of screening, same treatment",25,"MRR",0.5494,"(0.5231,0.5737)",0.5468
"e1a3","Effect of screening, same treatment",25,"ARR",0.0073,"(0.0069,0.0079)",0.0074
"e1a3","Effect of screening, same treatment",25,"NNS",136.9863,"(127.3034,144.6535)",136.0705
"e1a4","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0186,"(0.0178,0.0195)",0.0186
"e1a4","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0101,"(0.0094,0.0107)",0.0101
"e1a4","Effect of screening, same treatment",25,"MRR",0.543,"(0.519,0.5656)",0.5413
"e1a4","Effect of screening, same treatment",25,"ARR",0.0085,"(0.0079,0.0091)",0.0085
"e1a4","Effect of screening, same treatment",25,"NNS",117.6471,"(109.994,125.9149)",117.527
"e2a1","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0097,"(0.009,0.0102)",0.0097
"e2a1","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0063,"(0.0058,0.0068)",0.0063
"e2a1","Effect of screening, same treatment",25,"MRR",0.6495,"(0.6186,0.6829)",0.6534
"e2a1","Effect of screening, same treatment",25,"ARR",0.0034,"(0.0031,0.0037)",0.0034
"e2a1","Effect of screening, same treatment",25,"NNS",294.1176,"(271.3525,326.8543)",298.6942
"e2a2","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0144,"(0.0136,0.0151)",0.0144
"e2a2","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0087,"(0.008,0.0093)",0.0087
"e2a2","Effect of screening, same treatment",25,"MRR",0.6042,"(0.579,0.6321)",0.6038
"e2a2","Effect of screening, same treatment",25,"ARR",0.0057,"(0.0052,0.0062)",0.0057
"e2a2","Effect of screening, same treatment",25,"NNS",175.4386,"(162.463,191.0719)",176.0712
"e2a3","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0176,"(0.0168,0.0184)",0.0176
"e2a3","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0103,"(0.0096,0.0109)",0.0103
"e2a3","Effect of screening, same treatment",25,"MRR",0.5852,"(0.5595,0.614)",0.5847
"e2a3","Effect of screening, same treatment",25,"ARR",0.0073,"(0.0068,0.0078)",0.0073
"e2a3","Effect of screening, same treatment",25,"NNS",136.9863,"(127.8546,147.5038)",136.9575
"e2a4","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0199,"(0.0192,0.0209)",0.0199
"e2a4","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0115,"(0.0107,0.0121)",0.0115
"e2a4","Effect of screening, same treatment",25,"MRR",0.5779,"(0.5509,0.6057)",0.5752
"e2a4","Effect of screening, same treatment",25,"ARR",0.0084,"(0.0078,0.0091)",0.0085
"e2a4","Effect of screening, same treatment",25,"NNS",119.0476,"(109.8632,127.7997)",118.1884
