"Trial","Effect","Follow-Up Year","Measure","Estimate","UI","Estimate_Orig"
"e1a1","Effect of screening, same treatment",10,"Cumulative Incidence, Group 0",0.0015,"(0.0012,0.0017)",0.0015
"e1a1","Effect of screening, same treatment",10,"Cumulative Incidence, Group 1",0.0011,"(9e-04,0.0013)",0.0011
"e1a1","Effect of screening, same treatment",10,"MRR",0.7333,"(0.6795,0.8076)",0.7464
"e1a1","Effect of screening, same treatment",10,"ARR",4e-04,"(3e-04,5e-04)",4e-04
"e1a1","Effect of screening, same treatment",10,"NNS",2500,"(2083.3333,3703.7037)",2777.8176
"e1a1","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0083,"(0.0077,0.0088)",0.0083
"e1a1","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0063,"(0.0058,0.0068)",0.0063
"e1a1","Effect of screening, same treatment",25,"MRR",0.759,"(0.729,0.7816)",0.7544
"e1a1","Effect of screening, same treatment",25,"ARR",0.002,"(0.0018,0.0023)",0.002
"e1a1","Effect of screening, same treatment",25,"NNS",500,"(431.7826,560.3069)",491.6217
"e1a2","Effect of screening, same treatment",10,"Cumulative Incidence, Group 0",0.0025,"(0.0022,0.0028)",0.0025
"e1a2","Effect of screening, same treatment",10,"Cumulative Incidence, Group 1",0.0018,"(0.0016,0.0021)",0.0018
"e1a2","Effect of screening, same treatment",10,"MRR",0.72,"(0.668,0.7827)",0.7284
"e1a2","Effect of screening, same treatment",10,"ARR",7e-04,"(5e-04,8e-04)",7e-04
"e1a2","Effect of screening, same treatment",10,"NNS",1428.5714,"(1182.7543,1946.2264)",1501.1981
"e1a2","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.013,"(0.0122,0.0137)",0.013
"e1a2","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0095,"(0.0089,0.0101)",0.0095
"e1a2","Effect of screening, same treatment",25,"MRR",0.7308,"(0.7129,0.7643)",0.735
"e1a2","Effect of screening, same treatment",25,"ARR",0.0035,"(0.0031,0.0038)",0.0034
"e1a2","Effect of screening, same treatment",25,"NNS",285.7143,"(265.5871,323.6804)",291.4951
"e1a3","Effect of screening, same treatment",10,"Cumulative Incidence, Group 0",0.0034,"(0.003,0.0037)",0.0034
"e1a3","Effect of screening, same treatment",10,"Cumulative Incidence, Group 1",0.0024,"(0.0021,0.0027)",0.0024
"e1a3","Effect of screening, same treatment",10,"MRR",0.7059,"(0.675,0.7647)",0.7213
"e1a3","Effect of screening, same treatment",10,"ARR",0.001,"(8e-04,0.0011)",9e-04
"e1a3","Effect of screening, same treatment",10,"NNS",1000,"(908.7528,1333.3333)",1076.4155
"e1a3","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0162,"(0.0155,0.017)",0.0162
"e1a3","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0118,"(0.0113,0.0125)",0.0118
"e1a3","Effect of screening, same treatment",25,"MRR",0.7284,"(0.7089,0.7532)",0.7289
"e1a3","Effect of screening, same treatment",25,"ARR",0.0044,"(0.004,0.0048)",0.0044
"e1a3","Effect of screening, same treatment",25,"NNS",227.2727,"(208.7283,249.0819)",227.7097
"e1a4","Effect of screening, same treatment",10,"Cumulative Incidence, Group 0",0.0041,"(0.0038,0.0045)",0.0041
"e1a4","Effect of screening, same treatment",10,"Cumulative Incidence, Group 1",0.0029,"(0.0026,0.0032)",0.0029
"e1a4","Effect of screening, same treatment",10,"MRR",0.7073,"(0.6723,0.7585)",0.716
"e1a4","Effect of screening, same treatment",10,"ARR",0.0012,"(0.001,0.0014)",0.0012
"e1a4","Effect of screening, same treatment",10,"NNS",833.3333,"(735.0635,1000)",864.0705
"e1a4","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0186,"(0.0178,0.0195)",0.0186
"e1a4","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0135,"(0.0129,0.0141)",0.0135
"e1a4","Effect of screening, same treatment",25,"MRR",0.7258,"(0.7058,0.7491)",0.7251
"e1a4","Effect of screening, same treatment",25,"ARR",0.0051,"(0.0046,0.0055)",0.0051
"e1a4","Effect of screening, same treatment",25,"NNS",196.0784,"(180.9722,216.2282)",196.2784
"e2a1","Effect of screening, same treatment",10,"Cumulative Incidence, Group 0",0.0017,"(0.0014,0.002)",0.0017
"e2a1","Effect of screening, same treatment",10,"Cumulative Incidence, Group 1",0.0013,"(0.0011,0.0016)",0.0013
"e2a1","Effect of screening, same treatment",10,"MRR",0.7647,"(0.7234,0.8617)",0.7831
"e2a1","Effect of screening, same treatment",10,"ARR",4e-04,"(2e-04,5e-04)",4e-04
"e2a1","Effect of screening, same treatment",10,"NNS",2500,"(2019.3878,4261.7754)",2814.5318
"e2a1","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0097,"(0.009,0.0102)",0.0097
"e2a1","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0077,"(0.0071,0.0082)",0.0077
"e2a1","Effect of screening, same treatment",25,"MRR",0.7938,"(0.7638,0.8193)",0.7936
"e2a1","Effect of screening, same treatment",25,"ARR",0.002,"(0.0017,0.0023)",0.002
"e2a1","Effect of screening, same treatment",25,"NNS",500,"(435.6845,573.3546)",502.5791
"e2a2","Effect of screening, same treatment",10,"Cumulative Incidence, Group 0",0.0027,"(0.0025,0.0031)",0.0027
"e2a2","Effect of screening, same treatment",10,"Cumulative Incidence, Group 1",0.0021,"(0.0018,0.0023)",0.0021
