"Trial","Age.Group","Control","Screen","Incidence","Prevalence"
"e1a1",50,7.56724541963149,6.7656030362846,NA,NA
"e1a1",55,22.5039176322768,20.2423621624716,NA,NA
"e1a1",60,38.5653950156795,34.8721215842748,NA,NA
"e1a1",65,54.4646106123784,49.1669054567564,NA,NA
"e1a1",70,70.2270661182864,63.458000119778,NA,NA
"e1a1",75,86.5076436068435,78.4815306050857,NA,NA
"e1a1",80,101.612640708685,91.9983818665409,NA,NA
"e1a1",85,113.22080124607,103.055952215831,NA,NA
"e1a1",90,103.6387491062,94.5015989131782,NA,NA
"e1a1",95,92.6373563493808,84.7885054007279,NA,NA
"e1a1",100,84.4568711043486,81.1389262974049,NA,NA
"e1a1",105,78.4976279428701,77.8205650834276,NA,NA
"e1a1",110,77.5405878939232,73.5504806639499,NA,NA
"e1a1",115,0,0,NA,NA
"e1a1",120,NA,NA,NA,NA
"e1a1",125,NA,NA,NA,NA
"e1a2",50,13.4601103188003,11.7616004665123,NA,NA
"e1a2",55,37.8257716415805,33.3116186324058,NA,NA
"e1a2",60,62.0343780859102,54.8368757883163,NA,NA
"e1a2",65,83.1141331444962,73.2281288643183,NA,NA
"e1a2",70,105.086660579358,93.2788706626706,NA,NA
"e1a2",75,123.430119923706,109.686526270077,NA,NA
"e1a2",80,140.326215857626,125.171472371206,NA,NA
"e1a2",85,149.039254124708,132.692245667455,NA,NA
"e1a2",90,126.67644528668,114.555417450143,NA,NA
"e1a2",95,101.235171270557,92.7335441453432,NA,NA
"e1a2",100,84.9980942339408,78.6704011542992,NA,NA
"e1a2",105,62.8860445801129,60.8108519796158,NA,NA
"e1a2",110,47.4444976631256,49.6054901304963,NA,NA
"e1a2",115,0,0,NA,NA
"e1a2",120,NA,NA,NA,NA
"e1a2",125,NA,NA,NA,NA
"e1a3",50,18.7642402193307,16.2352417801117,NA,NA
"e1a3",55,50.5850229536549,44.242361174469,NA,NA
"e1a3",60,78.9119127469294,69.0392487055662,NA,NA
"e1a3",65,103.517957488051,90.6319197341187,NA,NA
"e1a3",70,124.377010344999,109.504583138986,NA,NA
"e1a3",75,143.447560589245,126.509645017653,NA,NA
"e1a3",80,160.600718316434,141.95495314013,NA,NA
"e1a3",85,164.744373477929,145.937271939311,NA,NA
"e1a3",90,124.440688575316,112.959880508771,NA,NA
"e1a3",95,89.0317718298606,81.4356869382952,NA,NA
"e1a3",100,72.2870278517795,67.2406039593804,NA,NA
"e1a3",105,59.3213551786593,61.0432411350394,NA,NA
"e1a3",110,34.9828859349083,37.7364831095742,NA,NA
"e1a3",115,63.5475689240516,63.5475689240516,NA,NA
"e1a3",120,NA,NA,NA,NA
"e1a3",125,NA,NA,NA,NA
"e1a4",50,23.5664245533196,20.317775172969,NA,NA
"e1a4",55,61.1032209223662,53.131430175831,NA,NA
"e1a4",60,91.8420852023722,79.946024594133,NA,NA
"e1a4",65,116.600314274105,101.900321556626,NA,NA
"e1a4",70,136.419302823288,119.542750767791,NA,NA
"e1a4",75,154.752447058278,135.918892160675,NA,NA
"e1a4",80,170.090764780826,150.050228092962,NA,NA
"e1a4",85,170.366434156404,150.959673053228,NA,NA
