"Trial","Effect","Follow-Up Year","Measure","Estimate","UI","Estimate_Orig"
"e1a1","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0083,"(0.0077,0.0088)",0.0083
"e1a1","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0075,"(0.0068,0.008)",0.0075
"e1a1","Effect of screening, same treatment",25,"MRR",0.9036,"(0.8773,0.9218)",0.9029
"e1a1","Effect of screening, same treatment",25,"ARR",8e-04,"(7e-04,0.001)",8e-04
"e1a1","Effect of screening, same treatment",25,"NNS",1250,"(989.7059,1516.6475)",1255.8576
"e1a2","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.013,"(0.0122,0.0137)",0.013
"e1a2","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0115,"(0.0108,0.0122)",0.0115
"e1a2","Effect of screening, same treatment",25,"MRR",0.8846,"(0.8652,0.8987)",0.8841
"e1a2","Effect of screening, same treatment",25,"ARR",0.0015,"(0.0013,0.0018)",0.0015
"e1a2","Effect of screening, same treatment",25,"NNS",666.6667,"(568.0387,772.3614)",668.4888
"e1a3","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0162,"(0.0155,0.017)",0.0162
"e1a3","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0142,"(0.0136,0.0149)",0.0142
"e1a3","Effect of screening, same treatment",25,"MRR",0.8765,"(0.8629,0.8917)",0.8771
"e1a3","Effect of screening, same treatment",25,"ARR",0.002,"(0.0018,0.0023)",0.002
"e1a3","Effect of screening, same treatment",25,"NNS",500,"(442.4779,563.4641)",503.2578
"e1a4","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0186,"(0.0178,0.0195)",0.0186
"e1a4","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0162,"(0.0156,0.0171)",0.0162
"e1a4","Effect of screening, same treatment",25,"MRR",0.871,"(0.8602,0.8876)",0.8735
"e1a4","Effect of screening, same treatment",25,"ARR",0.0024,"(0.0021,0.0026)",0.0023
"e1a4","Effect of screening, same treatment",25,"NNS",416.6667,"(386.1004,479.8137)",427.3576
"e2a1","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0097,"(0.009,0.0102)",0.0097
"e2a1","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0091,"(0.0084,0.0096)",0.0091
"e2a1","Effect of screening, same treatment",25,"MRR",0.9381,"(0.9195,0.9514)",0.9383
"e2a1","Effect of screening, same treatment",25,"ARR",6e-04,"(5e-04,8e-04)",6e-04
"e2a1","Effect of screening, same treatment",25,"NNS",1666.6667,"(1298.0769,2106.6046)",1701.4125
"e2a2","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0144,"(0.0136,0.0151)",0.0144
"e2a2","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0131,"(0.0123,0.0137)",0.0131
"e2a2","Effect of screening, same treatment",25,"MRR",0.9097,"(0.8932,0.9204)",0.9098
"e2a2","Effect of screening, same treatment",25,"ARR",0.0013,"(0.0011,0.0015)",0.0013
"e2a2","Effect of screening, same treatment",25,"NNS",769.2308,"(664.3488,881.2684)",777.2625
"e2a3","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0176,"(0.0168,0.0184)",0.0176
"e2a3","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0158,"(0.0151,0.0166)",0.0158
"e2a3","Effect of screening, same treatment",25,"MRR",0.8977,"(0.8864,0.9093)",0.8986
"e2a3","Effect of screening, same treatment",25,"ARR",0.0018,"(0.0016,0.002)",0.0018
"e2a3","Effect of screening, same treatment",25,"NNS",555.5556,"(496.2194,631.0206)",562.591
"e2a4","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0199,"(0.0192,0.0209)",0.0199
"e2a4","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0178,"(0.017,0.0188)",0.0178
"e2a4","Effect of screening, same treatment",25,"MRR",0.8945,"(0.8804,0.9045)",0.8927
"e2a4","Effect of screening, same treatment",25,"ARR",0.0021,"(0.0019,0.0024)",0.0021
