"Trial","Effect","Follow-Up Year","Measure","Estimate","UI","Estimate_Orig"
"e1a1","Effect of screening, same treatment",10,"Cumulative Incidence, Group 0",0.0015,"(0.0012,0.0017)",0.0015
"e1a1","Effect of screening, same treatment",10,"Cumulative Incidence, Group 1",0.0013,"(0.0011,0.0016)",0.0013
"e1a1","Effect of screening, same treatment",10,"MRR",0.8667,"(0.8409,0.9482)",0.8988
"e1a1","Effect of screening, same treatment",10,"ARR",2e-04,"(1e-04,2e-04)",1e-04
"e1a1","Effect of screening, same treatment",10,"NNS",5000,"(4000,13437.5)",7447.3814
"e1a1","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0083,"(0.0077,0.0088)",0.0083
"e1a1","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0075,"(0.0068,0.008)",0.0075
"e1a1","Effect of screening, same treatment",25,"MRR",0.9036,"(0.8773,0.9218)",0.9029
"e1a1","Effect of screening, same treatment",25,"ARR",8e-04,"(7e-04,0.001)",8e-04
"e1a1","Effect of screening, same treatment",25,"NNS",1250,"(989.7059,1516.6475)",1255.8576
"e1a2","Effect of screening, same treatment",10,"Cumulative Incidence, Group 0",0.0025,"(0.0022,0.0028)",0.0025
"e1a2","Effect of screening, same treatment",10,"Cumulative Incidence, Group 1",0.0022,"(0.0019,0.0024)",0.0022
"e1a2","Effect of screening, same treatment",10,"MRR",0.88,"(0.8356,0.9227)",0.8792
"e1a2","Effect of screening, same treatment",10,"ARR",3e-04,"(2e-04,4e-04)",3e-04
"e1a2","Effect of screening, same treatment",10,"NNS",3333.3333,"(2297.619,5416.6667)",3468.731
"e1a2","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.013,"(0.0122,0.0137)",0.013
"e1a2","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0115,"(0.0108,0.0122)",0.0115
"e1a2","Effect of screening, same treatment",25,"MRR",0.8846,"(0.8652,0.8987)",0.8841
"e1a2","Effect of screening, same treatment",25,"ARR",0.0015,"(0.0013,0.0018)",0.0015
"e1a2","Effect of screening, same treatment",25,"NNS",666.6667,"(568.0387,772.3614)",668.4888
"e1a3","Effect of screening, same treatment",10,"Cumulative Incidence, Group 0",0.0034,"(0.003,0.0037)",0.0034
"e1a3","Effect of screening, same treatment",10,"Cumulative Incidence, Group 1",0.0029,"(0.0026,0.0032)",0.0029
"e1a3","Effect of screening, same treatment",10,"MRR",0.8529,"(0.8352,0.9065)",0.8723
"e1a3","Effect of screening, same treatment",10,"ARR",5e-04,"(3e-04,6e-04)",4e-04
"e1a3","Effect of screening, same treatment",10,"NNS",2000,"(1769.2669,3458.6247)",2389.517
"e1a3","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0162,"(0.0155,0.017)",0.0162
"e1a3","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0142,"(0.0136,0.0149)",0.0142
"e1a3","Effect of screening, same treatment",25,"MRR",0.8765,"(0.8629,0.8917)",0.8771
"e1a3","Effect of screening, same treatment",25,"ARR",0.002,"(0.0018,0.0023)",0.002
"e1a3","Effect of screening, same treatment",25,"NNS",500,"(442.4779,563.4641)",503.2578
"e1a4","Effect of screening, same treatment",10,"Cumulative Incidence, Group 0",0.0041,"(0.0038,0.0045)",0.0041
"e1a4","Effect of screening, same treatment",10,"Cumulative Incidence, Group 1",0.0036,"(0.0032,0.0039)",0.0036
"e1a4","Effect of screening, same treatment",10,"MRR",0.878,"(0.8316,0.9019)",0.8677
"e1a4","Effect of screening, same treatment",10,"ARR",5e-04,"(4e-04,7e-04)",5e-04
"e1a4","Effect of screening, same treatment",10,"NNS",2000,"(1438.4058,2577.4555)",1879.9213
"e1a4","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0186,"(0.0178,0.0195)",0.0186
"e1a4","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0162,"(0.0156,0.0171)",0.0162
"e1a4","Effect of screening, same treatment",25,"MRR",0.871,"(0.8602,0.8876)",0.8735
"e1a4","Effect of screening, same treatment",25,"ARR",0.0024,"(0.0021,0.0026)",0.0023
"e1a4","Effect of screening, same treatment",25,"NNS",416.6667,"(386.1004,479.8137)",427.3576
"e2a1","Effect of screening, same treatment",10,"Cumulative Incidence, Group 0",0.0017,"(0.0014,0.002)",0.0017
"e2a1","Effect of screening, same treatment",10,"Cumulative Incidence, Group 1",0.0016,"(0.0013,0.0018)",0.0016
"e2a1","Effect of screening, same treatment",10,"MRR",0.9412,"(0.8985,0.9704)",0.935
