"Follow-up","Measure","SubMeasure","Y1977","Y1999","Y2015"
"10","Cumulative breast cancer mortality","","","",""
"","","No screening","36 (32,39)","25 (22,28)","17 (15,19)"
"","","Screening","31 (28,34)","22 (19,25)","15 (13,17)"
"","MRRs within trials","","0.88 (0.85,0.91)","0.88 (0.84,0.92)","0.88 (0.83,0.93)"
"","MRRs across trials","","","",""
"","","No screening","1.00 (1.00,1.00)","0.69 (0.65,0.74)","0.48 (0.43,0.53)"
"","","Screening","0.88 (0.85,0.91)","0.61 (0.57,0.65)","0.42 (0.37,0.47)"
"","ARRs within trials","","4.3 (3.1,5.4)","2.9 (1.9,3.9)","2.0 (1.2,2.8)"
"","ARRs across trials","","","",""
"","","No screening"," 0.0 ( 0.0, 0.0)","10.9 ( 9.1,13.0)","18.6 (15.5,21.5)"
"","","Screening"," 4.3 ( 3.1, 5.4)","13.8 (11.9,15.9)","20.6 (17.9,23.3)"
"25","Cumulative breast cancer mortality","","","",""
"","","No screening","178 (169,187)","130 (123,138)"," 93 ( 87,100)"
"","","Screening","158 (151,166)","116 (109,123)"," 82 ( 77, 89)"
"","MRRs within trials","","0.89 (0.87,0.90)","0.89 (0.87,0.91)","0.89 (0.87,0.90)"
"","MRRs across trials","","","",""
"","","No screening","1.00 (1.00,1.00)","0.73 (0.71,0.75)","0.52 (0.50,0.55)"
"","","Screening","0.89 (0.87,0.90)","0.65 (0.63,0.67)","0.46 (0.44,0.48)"
"","ARRs within trials","","20.0 (17.5,22.8)","14.3 (11.9,16.4)","10.6 ( 9.0,12.5)"
"","ARRs across trials","","","",""
"","","No screening"," 0.0 ( 0.0, 0.0)","47.6 (42.7,52.1)","84.9 (79.5,91.8)"
"","","Screening","20.0 (17.5, 22.8)","61.9 (56.1, 67.3)","95.6 (90.1,102.5)"
