"Trial","Age.Group","Control","Screen","Incidence","Prevalence"
"Y1977",50,19.8065785446774,18.333932625438,NA,NA
"Y1977",55,53.6826673226531,50.1894987099377,NA,NA
"Y1977",60,84.7013130715838,79.6772058649447,NA,NA
"Y1977",65,113.775083906448,107.16959185517,NA,NA
"Y1977",70,141.451167545513,133.602490270247,NA,NA
"Y1977",75,167.414396234172,158.709923606394,NA,NA
"Y1977",80,190.034350467098,180.414454445272,NA,NA
"Y1977",85,200.746553374257,191.900432363323,NA,NA
"Y1977",90,164.471864413194,159.237213358148,NA,NA
"Y1977",95,134.904434271415,131.669777480851,NA,NA
"Y1977",100,108.929685895964,109.136982332695,NA,NA
"Y1977",105,88.4649098187812,89.2770441701937,NA,NA
"Y1977",110,79.8650248709777,82.402223895715,NA,NA
"Y1977",115,40.4654071177336,40.4654071177336,NA,NA
"Y1977",120,NA,NA,NA,NA
"Y1977",125,NA,NA,NA,NA
"Y1999",50,13.2479972371336,12.4845777226357,NA,NA
"Y1999",55,37.7487809164902,35.7147545411458,NA,NA
"Y1999",60,61.1379713418089,57.9614849899446,NA,NA
"Y1999",65,83.7428326342636,79.8043561324295,NA,NA
"Y1999",70,106.984603092458,101.603315110681,NA,NA
"Y1999",75,128.34708097601,122.645379127778,NA,NA
"Y1999",80,150.059877461982,143.71736843389,NA,NA
"Y1999",85,161.782277116636,154.897141199073,NA,NA
"Y1999",90,140.827586396157,135.729875986112,NA,NA
"Y1999",95,123.879360468396,119.972992456334,NA,NA
"Y1999",100,110.364794874243,110.913932706897,NA,NA
"Y1999",105,97.4606321928982,94.1074729566382,NA,NA
"Y1999",110,81.5602151939363,85.1619489399602,NA,NA
"Y1999",115,59.4842614682088,59.4842614682088,NA,NA
"Y1999",120,NA,NA,NA,NA
"Y1999",125,NA,NA,NA,NA
"Y2015",50,9.01305204805315,8.44562474097929,NA,NA
"Y2015",55,26.1173212480779,24.4942915125027,NA,NA
"Y2015",60,43.4537185545264,41.0248100935398,NA,NA
"Y2015",65,60.0983022711436,56.7212173495299,NA,NA
"Y2015",70,77.1145777338327,73.0078437931893,NA,NA
"Y2015",75,94.0565551351235,89.134732422358,NA,NA
"Y2015",80,111.243186240292,105.79128153755,NA,NA
"Y2015",85,122.011024391378,116.197357569341,NA,NA
"Y2015",90,111.767288938877,106.639224869334,NA,NA
"Y2015",95,101.140176640002,97.5212848575725,NA,NA
"Y2015",100,90.4340369109357,87.5882524955782,NA,NA
"Y2015",105,89.1599398023291,83.6284695262418,NA,NA
"Y2015",110,58.053378838895,54.8875183519201,NA,NA
"Y2015",115,113.074638227803,113.074638227803,NA,NA
"Y2015",120,NA,NA,NA,NA
"Y2015",125,NA,NA,NA,NA
"Historical",50,NA,NA,201.213928698447,0.99639
"Historical",55,NA,NA,225.594359768378,2.01780281870046
"Historical",60,NA,NA,258.925567677903,3.0322563470915
"Historical",65,NA,NA,279.377973694917,3.98990120158278
"Historical",70,NA,NA,300.388068663889,4.91421904483379
"Historical",75,NA,NA,318.36883834113,5.78214610325704
"Historical",80,NA,NA,332.140503574719,6.57358865813983
"Historical",85,NA,NA,160.777256161715,6.54142531732108
"Historical",90,NA,NA,0,5.66149135459888
"Historical",95,NA,NA,0,4.89421161296908
"Historical",100,NA,NA,0,4.27600616045663
"Historical",105,NA,NA,0,3.72170533488905
"Historical",110,NA,NA,0,3.1083668611208
"Historical",115,NA,NA,0,2.22118339177163
"Historical",120,NA,NA,NA,NA
"Historical",125,NA,NA,NA,NA
