"Follow-up","Measure","SubMeasure","Y1977","Y1999","Y2015"
"10","Cumulative breast cancer mortality","","","",""
"","","No screening","36 (32,39)","25 (22,28)","17 (15,19)"
"","","Screening","33 (30,37)","23 (21,26)","16 (14,18)"
"","MRRs within trials","","0.93 (0.91,0.96)","0.95 (0.92,0.97)","0.94 (0.90,0.97)"
"","MRRs across trials","","","",""
"","","No screening","1.00 (1.00,1.00)","0.69 (0.65,0.74)","0.48 (0.43,0.53)"
"","","Screening","0.93 (0.91,0.96)","0.66 (0.61,0.70)","0.45 (0.40,0.50)"
"","ARRs within trials","","2.4 (1.4,3.5)","1.4 (0.8,2.0)","1.1 (0.5,1.7)"
"","ARRs across trials","","","",""
"","","No screening"," 0.0 ( 0.0, 0.0)","10.9 ( 9.1,13.0)","18.6 (15.5,21.5)"
"","","Screening"," 2.4 ( 1.4, 3.5)","12.3 (10.4,14.3)","19.7 (16.7,22.6)"
"25","Cumulative breast cancer mortality","","","",""
"","","No screening","178 (169,187)","130 (123,138)"," 93 ( 87,100)"
"","","Screening","167 (159,176)","124 (117,131)"," 88 ( 82, 94)"
"","MRRs within trials","","0.94 (0.93,0.95)","0.95 (0.94,0.96)","0.94 (0.93,0.96)"
"","MRRs across trials","","","",""
"","","No screening","1.00 (1.00,1.00)","0.73 (0.71,0.75)","0.52 (0.50,0.55)"
"","","Screening","0.94 (0.93,0.95)","0.70 (0.67,0.72)","0.49 (0.47,0.51)"
"","ARRs within trials","","10.5 (8.5,12.4)"," 6.6 (4.7, 8.0)"," 5.2 (4.0, 6.3)"
"","ARRs across trials","","","",""
"","","No screening"," 0.0 ( 0.0, 0.0)","47.6 (42.7,52.1)","84.9 (79.5,91.8)"
"","","Screening","10.5 ( 8.5,12.4)","54.1 (48.8,59.4)","90.1 (84.9,97.0)"
