"Trial","Age.Group","Control","Screen","Incidence","Prevalence"
"Y1977",50,26.5941413319834,24.2261174899085,NA,NA
"Y1977",55,69.9004780365515,63.7019615503365,NA,NA
"Y1977",60,107.04388155576,98.0707936767279,NA,NA
"Y1977",65,139.082229467281,128.816440451423,NA,NA
"Y1977",70,167.680830357501,155.535954809661,NA,NA
"Y1977",75,192.089862231406,180.476898076756,NA,NA
"Y1977",80,214.45263035011,202.193361983947,NA,NA
"Y1977",85,224.484628542272,212.361492257941,NA,NA
"Y1977",90,166.481680820884,161.927336849642,NA,NA
"Y1977",95,118.798851574615,119.067628813335,NA,NA
"Y1977",100,92.6077262037556,92.3336788104056,NA,NA
"Y1977",105,71.1727417583816,73.9934812832869,NA,NA
"Y1977",110,84.2491388891519,84.0255897391788,NA,NA
"Y1977",115,0,0,NA,NA
"Y1977",120,NA,NA,NA,NA
"Y1977",125,NA,NA,NA,NA
"Y1999",50,20.0483164769488,18.3191700040365,NA,NA
"Y1999",55,54.86526159618,50.0395517033602,NA,NA
"Y1999",60,86.8549192041483,79.6424919037169,NA,NA
"Y1999",65,115.795861644521,106.930910173092,NA,NA
"Y1999",70,143.668520770363,132.876637519186,NA,NA
"Y1999",75,167.011915749427,156.020082227529,NA,NA
"Y1999",80,189.717711395713,177.355526853806,NA,NA
"Y1999",85,199.584747747036,187.181338548946,NA,NA
"Y1999",90,160.658373749701,152.942909113892,NA,NA
"Y1999",95,125.835737334298,122.184395548248,NA,NA
"Y1999",100,100.015468290228,99.9243813448562,NA,NA
"Y1999",105,79.791139954467,81.2754156611102,NA,NA
"Y1999",110,74.4200015128325,57.6009629412988,NA,NA
"Y1999",115,0,0,NA,NA
"Y1999",120,NA,NA,NA,NA
"Y1999",125,NA,NA,NA,NA
"Y2015",50,15.1439425819254,13.7180349212004,NA,NA
"Y2015",55,42.7039665954028,38.5811975523499,NA,NA
"Y2015",60,69.4575601271818,62.7570032055241,NA,NA
"Y2015",65,93.9785574912665,85.6592853298117,NA,NA
"Y2015",70,118.38778993992,107.964320812549,NA,NA
"Y2015",75,139.331750407636,127.718694327244,NA,NA
"Y2015",80,158.871583880549,146.520373917802,NA,NA
"Y2015",85,171.142089602845,158.444813073871,NA,NA
"Y2015",90,142.723713343818,131.815386732009,NA,NA
"Y2015",95,118.71060437538,112.033671792889,NA,NA
"Y2015",100,98.7400982158119,95.2761874698518,NA,NA
"Y2015",105,74.066352650334,75.1652130325547,NA,NA
"Y2015",110,62.6771090102428,56.502941674296,NA,NA
"Y2015",115,119.427572817217,119.427572817217,NA,NA
"Y2015",120,NA,NA,NA,NA
"Y2015",125,NA,NA,NA,NA
"Historical",50,NA,NA,201.762902617298,0.99902
"Historical",55,NA,NA,224.641385008238,1.9811786564485
"Historical",60,NA,NA,261.080973892331,2.92482974020738
"Historical",65,NA,NA,281.812844446531,3.7858059726667
"Historical",70,NA,NA,302.793986098836,4.59379287017761
"Historical",75,NA,NA,321.50244270006,5.34704088779644
"Historical",80,NA,NA,334.358331603268,6.02186269552588
"Historical",85,NA,NA,164.391026854734,5.8744484722478
"Historical",90,NA,NA,0,4.84073614248014
"Historical",95,NA,NA,0,4.04974389222105
"Historical",100,NA,NA,0,3.45751260424506
"Historical",105,NA,NA,0,3.06156003482946
"Historical",110,NA,NA,0,2.78670209467513
"Historical",115,NA,NA,0,2.86758731464614
"Historical",120,NA,NA,NA,NA
"Historical",125,NA,NA,NA,NA
