"Follow-up","Measure","SubMeasure","Y1977","Y1999","Y2015"
"10","Cumulative breast cancer mortality","","","",""
"","","No screening","47 (43,50)","36 (33,40)","28 (25,31)"
"","","Screening","43 (39,46)","33 (30,36)","25 (23,28)"
"","MRRs within trials","","0.91 (0.89,0.94)","0.91 (0.89,0.94)","0.90 (0.87,0.94)"
"","MRRs across trials","","","",""
"","","No screening","1.00 (1.00,1.00)","0.78 (0.75,0.81)","0.60 (0.56,0.63)"
"","","Screening","0.91 (0.89,0.94)","0.71 (0.68,0.75)","0.54 (0.50,0.58)"
"","ARRs within trials","","4.1 (3.0,5.3)","3.2 (2.4,4.1)","2.7 (1.8,3.5)"
"","ARRs across trials","","","",""
"","","No screening"," 0.0 ( 0.0, 0.0)","10.5 ( 9.1,12.1)","18.7 (16.0,20.9)"
"","","Screening"," 4.1 ( 3.0, 5.3)","13.6 (11.2,15.5)","21.4 (18.2,23.8)"
"25","Cumulative breast cancer mortality","","","",""
"","","No screening","220 (209,228)","181 (171,188)","146 (138,153)"
"","","Screening","203 (193,210)","167 (159,173)","133 (125,140)"
"","MRRs within trials","","0.92 (0.91,0.93)","0.92 (0.91,0.93)","0.91 (0.89,0.93)"
"","MRRs across trials","","","",""
"","","No screening","1.00 (1.00,1.00)","0.82 (0.81,0.84)","0.67 (0.65,0.68)"
"","","Screening","0.92 (0.91,0.93)","0.76 (0.75,0.77)","0.60 (0.59,0.62)"
"","ARRs within trials","","17.1 (15.2,18.8)","14.3 (11.8,16.4)","13.3 (10.1,15.4)"
"","ARRs across trials","","","",""
"","","No screening"," 0.0 ( 0.0, 0.0)","38.5 (34.3,41.3)","73.6 (69.5,77.6)"
"","","Screening","17.1 (15.2,18.8)","52.8 (48.7,56.4)","86.9 (81.3,90.9)"
