"Follow-up","Measure","SubMeasure","Y1977","Y1999","Y2015"
"10","Cumulative breast cancer mortality","","","",""
"","","No screening","47 (42,51)","36 (32,40)","28 (25,31)"
"","","Screening","32 (28,36)","25 (22,28)","19 (16,21)"
"","MRRs within trials","","0.70 (0.65,0.74)","0.70 (0.65,0.75)","0.67 (0.61,0.72)"
"","MRRs across trials","","","",""
"","","No screening","1.00 (1.00,1.00)","0.78 (0.73,0.82)","0.60 (0.55,0.65)"
"","","Screening","0.70 (0.65,0.74)","0.54 (0.49,0.59)","0.40 (0.36,0.45)"
"","ARRs within trials","","14.1 (11.9,16.7)","10.8 ( 8.6,12.7)"," 9.2 ( 7.2,11.0)"
"","ARRs across trials","","","",""
"","","No screening"," 0.0 ( 0.0, 0.0)","10.4 ( 8.2,12.8)","18.5 (15.8,21.0)"
"","","Screening","14.1 (11.9,16.7)","21.2 (18.2,24.3)","27.7 (24.1,31.1)"
"25","Cumulative breast cancer mortality","","","",""
"","","No screening","220 (209,231)","181 (173,189)","146 (139,153)"
"","","Screening","163 (156,171)","134 (128,141)","102 ( 97,108)"
"","MRRs within trials","","0.74 (0.73,0.76)","0.74 (0.72,0.76)","0.70 (0.67,0.73)"
"","MRRs across trials","","","",""
"","","No screening","1.00 (1.00,1.00)","0.82 (0.81,0.84)","0.66 (0.65,0.68)"
"","","Screening","0.74 (0.73,0.76)","0.61 (0.59,0.63)","0.46 (0.44,0.49)"
"","ARRs within trials","","56.4 (51.2,61.3)","47.3 (42.1,51.5)","43.6 (38.7,48.4)"
"","ARRs across trials","","","",""
"","","No screening"," 0.0 ( 0.0, 0.0)","38.7 (35.7,42.4)","74.0 (69.2,80.1)"
"","","Screening"," 56.4 ( 51.2, 61.3)"," 86.0 ( 79.6, 92.4)","117.6 (109.9,125.3)"
