subgroup,stage,tx,HR,prop_Y1977,prop_Y1999,prop_Y2015
ER+HER2+,Early,None,1,1,0.24,0
ER+HER2+,Early,Tamoxifen,0.7,0,0.58,0
ER+HER2+,Early,Chemo,0.775,0,0.08,0
ER+HER2+,Early,Tamoxifen+Chemo,0.5425,0,0.1,0
ER+HER2+,Advanced,None,1,0.8,0.02,0
ER+HER2+,Advanced,Tamoxifen,0.7,0,0.1,0
ER+HER2+,Advanced,Chemo,0.775,0.2,0.38,0
ER+HER2+,Advanced,Tamoxifen+Chemo,0.5425,0,0.5,0
ER+HER2+,Early,AI+Chemo,0.482825,0,0,0
ER+HER2+,Early,None+Tras,0.66,0,0,0
ER+HER2+,Early,Tamoxifen+Tras,0.462,0,0,0
ER+HER2+,Early,Chemo+Tras,0.5115,0,0,0
ER+HER2+,Early,Tamoxifen+Chemo+Tras,0.35805,0,0,0
ER+HER2+,Advanced,AI+Chemo,0.482825,0,0,0
ER+HER2+,Advanced,None+Tras,0.82,0,0,0
ER+HER2+,Advanced,Tamoxifen+Tras,0.574,0,0,0
ER+HER2+,Advanced,Chemo+Tras,0.6355,0,0,0
ER+HER2+,Advanced,Tamoxifen+Chemo+Tras,0.44485,0,0,0
ER-HER2+,Early,None,1,1,0.25,0
ER-HER2+,Early,Tamoxifen,1,0,0.2,0
ER-HER2+,Early,Chemo,0.775,0,0.5,0
ER-HER2+,Early,Tamoxifen+Chemo,0.775,0,0.05,0
ER-HER2+,Advanced,None,1,0.8,0.02,0
ER-HER2+,Advanced,Tamoxifen,1,0,0.03,0
ER-HER2+,Advanced,Chemo,0.775,0.2,0.85,0
ER-HER2+,Advanced,Tamoxifen+Chemo,0.775,0,0.1,0
ER-HER2+,Early,AI+Chemo,0.775,0,0,0
ER-HER2+,Early,None+Tras,0.66,0,0,0
ER-HER2+,Early,Tamoxifen+Tras,0.66,0,0,0
ER-HER2+,Early,Chemo+Tras,0.5115,0,0,1
ER-HER2+,Early,Tamoxifen+Chemo+Tras,0.5115,0,0,0
ER-HER2+,Advanced,AI+Chemo,0.775,0,0,0
ER-HER2+,Advanced,None+Tras,0.82,0,0,0
ER-HER2+,Advanced,Tamoxifen+Tras,0.82,0,0,0
ER-HER2+,Advanced,Chemo+Tras,0.6355,0,0,1
ER-HER2+,Advanced,Tamoxifen+Chemo+Tras,0.6355,0,0,0
ER+HER2-,Early,None,1,1,0.24,0
ER+HER2-,Early,Tamoxifen,0.7,0,0.58,0
ER+HER2-,Early,Chemo,0.775,0,0.08,0
ER+HER2-,Early,Tamoxifen+Chemo,0.5425,0,0.1,0
ER+HER2-,Advanced,None,1,0.8,0.02,0
ER+HER2-,Advanced,Tamoxifen,0.7,0,0.1,0
ER+HER2-,Advanced,Chemo,0.775,0.2,0.38,0
ER+HER2-,Advanced,Tamoxifen+Chemo,0.5425,0,0.5,0
ER+HER2-,Early,AI+Chemo,0.482825,0,0,1
ER+HER2-,Early,None+Tras,0.66,0,0,0
ER+HER2-,Early,Tamoxifen+Tras,0.462,0,0,0
ER+HER2-,Early,Chemo+Tras,0.5115,0,0,0
ER+HER2-,Early,Tamoxifen+Chemo+Tras,0.35805,0,0,0
ER+HER2-,Advanced,AI+Chemo,0.482825,0,0,1
ER+HER2-,Advanced,None+Tras,0.82,0,0,0
ER+HER2-,Advanced,Tamoxifen+Tras,0.574,0,0,0
ER+HER2-,Advanced,Chemo+Tras,0.6355,0,0,0
ER+HER2-,Advanced,Tamoxifen+Chemo+Tras,0.44485,0,0,0
ER-HER2-,Early,None,1,1,0.25,0
ER-HER2-,Early,Tamoxifen,1,0,0.2,0
ER-HER2-,Early,Chemo,0.775,0,0.5,1
ER-HER2-,Early,Tamoxifen+Chemo,0.775,0,0.05,0
ER-HER2-,Advanced,None,1,0.8,0.02,0
ER-HER2-,Advanced,Tamoxifen,1,0,0.03,0
ER-HER2-,Advanced,Chemo,0.775,0.2,0.85,1
ER-HER2-,Advanced,Tamoxifen+Chemo,0.775,0,0.1,0
ER-HER2-,Early,AI+Chemo,0.775,0,0,0
ER-HER2-,Early,None+Tras,0.66,0,0,0
ER-HER2-,Early,Tamoxifen+Tras,0.66,0,0,0
ER-HER2-,Early,Chemo+Tras,0.5115,0,0,0
ER-HER2-,Early,Tamoxifen+Chemo+Tras,0.5115,0,0,0
ER-HER2-,Advanced,AI+Chemo,0.775,0,0,0
ER-HER2-,Advanced,None+Tras,0.82,0,0,0
ER-HER2-,Advanced,Tamoxifen+Tras,0.82,0,0,0
ER-HER2-,Advanced,Chemo+Tras,0.6355,0,0,0
ER-HER2-,Advanced,Tamoxifen+Chemo+Tras,0.6355,0,0,0
ER+HER2-,Early,AI+Chemo+Tras,0.3186645,0,0,0
ER+HER2-,Advanced,AI+Chemo+Tras,0.3959165,0,0,0
ER+HER2+,Early,AI+Chemo+Tras,0.3186645,0,0,1
ER+HER2+,Advanced,AI+Chemo+Tras,0.3959165,0,0,1
ER-HER2-,Early,AI+Chemo+Tras,0.5115,0,0,0
ER-HER2-,Advanced,AI+Chemo+Tras,0.6355,0,0,0
ER-HER2+,Advanced,AI+Chemo+Tras,0.6355,0,0,0
ER-HER2+,Early,AI+Chemo+Tras,0.5115,0,0,0
