"Trial","Age.Group","Control","Screen","Incidence","Prevalence"
"Y1977",50,26.1848981141071,21.9844000884284,NA,NA
"Y1977",55,69.7117113612579,59.4606999466558,NA,NA
"Y1977",60,106.76291243011,92.6339274958385,NA,NA
"Y1977",65,140.435842146659,122.800423245131,NA,NA
"Y1977",70,166.817807833884,147.214970475534,NA,NA
"Y1977",75,191.746903038171,170.485158407335,NA,NA
"Y1977",80,214.575524168415,193.792829285596,NA,NA
"Y1977",85,221.556907791502,202.276188426028,NA,NA
"Y1977",90,165.764515196372,158.207312759745,NA,NA
"Y1977",95,120.435157474302,122.763475689297,NA,NA
"Y1977",100,94.174641501863,102.661176466462,NA,NA
"Y1977",105,83.7033284663654,88.4582469412121,NA,NA
"Y1977",110,63.2582302997211,77.0899734192027,NA,NA
"Y1977",115,46.4252575825741,46.4252575825741,NA,NA
"Y1977",120,NA,NA,NA,NA
"Y1977",125,NA,NA,NA,NA
"Y1999",50,19.6046444207089,16.532207166178,NA,NA
"Y1999",55,54.7370805667359,46.6876363019145,NA,NA
"Y1999",60,86.5024947383734,74.8153530695069,NA,NA
"Y1999",65,116.20324774604,101.636122068009,NA,NA
"Y1999",70,143.345128695662,125.463112149508,NA,NA
"Y1999",75,167.006746189298,147.569830801524,NA,NA
"Y1999",80,187.980148343691,167.543726856981,NA,NA
"Y1999",85,200.081296653968,179.957477000093,NA,NA
"Y1999",90,158.864273391323,148.133183915716,NA,NA
"Y1999",95,126.871659797442,122.983275903867,NA,NA
"Y1999",100,95.7715101638759,97.588098173743,NA,NA
"Y1999",105,83.9686219090373,89.3568958985275,NA,NA
"Y1999",110,87.4584863672107,93.3034006609082,NA,NA
"Y1999",115,80.3896098747621,0,NA,NA
"Y1999",120,NA,NA,NA,NA
"Y1999",125,NA,NA,NA,NA
"Y2015",50,14.7911295584777,12.2806512024864,NA,NA
"Y2015",55,42.9469778818284,35.9071949669552,NA,NA
"Y2015",60,69.2391896954782,58.5963886287664,NA,NA
"Y2015",65,93.237098225552,79.5373588449607,NA,NA
"Y2015",70,118.091381367395,101.099378161804,NA,NA
"Y2015",75,139.645731783509,119.820913929636,NA,NA
"Y2015",80,158.157977796912,137.497476206943,NA,NA
"Y2015",85,169.998841165954,148.570414794813,NA,NA
"Y2015",90,141.896528218363,126.310993474647,NA,NA
"Y2015",95,117.93537309667,108.108530571042,NA,NA
"Y2015",100,95.8334791487374,88.4883888160117,NA,NA
"Y2015",105,90.7602559076841,88.5840152694432,NA,NA
"Y2015",110,89.4974087831866,95.0671675581731,NA,NA
"Y2015",115,43.965728302115,43.965728302115,NA,NA
"Y2015",120,NA,NA,NA,NA
"Y2015",125,NA,NA,NA,NA
"Historical",50,NA,NA,201.236328282106,0.99639
"Historical",55,NA,NA,225.746790607488,1.98629794559911
"Historical",60,NA,NA,259.353146933249,2.92326124621318
"Historical",65,NA,NA,280.182649361796,3.77635400738206
"Historical",70,NA,NA,301.642637002039,4.57703414565131
"Historical",75,NA,NA,320.096928673451,5.3283788707273
"Historical",80,NA,NA,334.34376310127,6.00621234366077
"Historical",85,NA,NA,162.047544697015,5.86030016170408
"Historical",90,NA,NA,0,4.86570408739216
"Historical",95,NA,NA,0,4.07393302942618
"Historical",100,NA,NA,0,3.49710888993714
"Historical",105,NA,NA,0,3.05178502099777
"Historical",110,NA,NA,0,2.51901161985186
"Historical",115,NA,NA,0,2.3749406424329
"Historical",120,NA,NA,NA,NA
"Historical",125,NA,NA,NA,NA
