"Trial","Age.Group","Control","Screen","Incidence","Prevalence"
"Historical",50,22.8752445940859,20.0429335833925,203.243673114315,1.00639
"Historical",55,62.4915357563,55.5802358087459,233.612598689537,2.01855747903291
"Historical",60,97.5164666198521,87.4408539388712,279.606096163541,3.00418176990601
"Historical",65,130.068011702748,117.622862786365,323.381657017331,3.92505846546175
"Historical",70,158.261472166341,144.100643965557,384.589928685888,4.80166758892918
"Historical",75,182.540599562224,167.306091464704,471.960805021621,5.63952402447784
"Historical",80,207.277219210221,191.068112015632,613.667722183,6.42986352277577
"Historical",85,216.326746507292,200.148388626886,373.517327386362,6.16935063269508
"Historical",90,168.267438118064,161.624955147683,0,5.14381658004477
"Historical",95,130.150087164281,128.389005602848,0,4.37005268257616
"Historical",100,103.162811967018,104.196297925591,0,3.72923133228349
"Historical",105,75.038368810288,77.0858925030579,0,3.31307166946901
"Historical",110,74.8309211589239,88.3970504789312,0,3.03865770955448
"Historical",115,0,0,0,2.31257036157931
"Historical",120,NA,NA,Inf,NA
"Historical",125,NA,NA,NA,NA
"Contemp1999",50,17.2148936188302,15.1425417611458,NA,NA
"Contemp1999",55,49.0331658164632,43.596062765296,NA,NA
"Contemp1999",60,78.2901819054766,70.2162469767095,NA,NA
"Contemp1999",65,106.466410263588,96.0843237098221,NA,NA
"Contemp1999",70,133.805095984971,121.45059373139,NA,NA
"Contemp1999",75,156.317031968918,142.36552645676,NA,NA
"Contemp1999",80,179.402273695076,163.837509816453,NA,NA
"Contemp1999",85,192.242167183318,176.642100622281,NA,NA
"Contemp1999",90,159.51951042068,150.53298284488,NA,NA
"Contemp1999",95,126.203989844659,120.774141514947,NA,NA
"Contemp1999",100,108.914331898101,105.186974671055,NA,NA
"Contemp1999",105,94.2305345321737,95.5079871513735,NA,NA
"Contemp1999",110,94.9013719349177,96.9983747603383,NA,NA
"Contemp1999",115,55.6904708705174,94.3666001911584,NA,NA
"Contemp1999",120,NA,NA,NA,NA
"Contemp1999",125,NA,NA,NA,NA
"Perfect",50,14.6981711899484,12.7895755213692,NA,NA
"Perfect",55,42.342651519993,37.1933898624851,NA,NA
"Perfect",60,68.3631079335764,60.4708402822393,NA,NA
"Perfect",65,93.8977621510047,83.5423691969642,NA,NA
"Perfect",70,117.57603592562,105.320563242251,NA,NA
"Perfect",75,139.897496386498,125.317426156679,NA,NA
"Perfect",80,160.332540351725,144.210681412013,NA,NA
"Perfect",85,173.078304617773,156.641460707277,NA,NA
"Perfect",90,146.275763113346,135.614614750593,NA,NA
"Perfect",95,119.163061913054,112.633534803131,NA,NA
"Perfect",100,101.965176204432,95.7998073718943,NA,NA
"Perfect",105,97.5765945203139,94.1656618829895,NA,NA
"Perfect",110,59.4838600427698,58.7846997579934,NA,NA
"Perfect",115,129.317752839593,129.317752839593,NA,NA
"Perfect",120,NA,NA,NA,NA
"Perfect",125,NA,NA,NA,NA
