"Trial","Effect","Follow-Up Year","Measure","Estimate","UI"
"Historical","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0203,"(0.02,0.0211)"
"Historical","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0183,"(0.018,0.019)"
"Historical","Effect of screening, same treatment",25,"MRR",0.9015,"(0.8978,0.9158)"
"Historical","Effect of screening, same treatment",25,"ARR",0.002,"(0.0019,0.0023)"
"Historical","Effect of screening, same treatment",25,"NNS",500,"(478.4689,591.9118)"
"Contemp1999","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0165,"(0.0162,0.0174)"
"Contemp1999","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0149,"(0.0147,0.0156)"
"Contemp1999","Effect of screening, same treatment",25,"MRR",0.903,"(0.8962,0.9135)"
"Contemp1999","Effect of screening, same treatment",25,"ARR",0.0016,"(0.0016,0.0019)"
"Contemp1999","Effect of screening, same treatment",25,"NNS",625,"(578.0347,704.2254)"
"Perfect","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0145,"(0.0143,0.0152)"
"Perfect","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0129,"(0.0127,0.0135)"
"Perfect","Effect of screening, same treatment",25,"MRR",0.8897,"(0.8836,0.9032)"
"Perfect","Effect of screening, same treatment",25,"ARR",0.0016,"(0.0015,0.0018)"
"Perfect","Effect of screening, same treatment",25,"NNS",625,"(591.716,729.927)"
"Contemp1999","Effect of treatment, without screening",25,"Cumulative Incidence, Group 0",0.0203,"(0.02,0.0211)"
"Contemp1999","Effect of treatment, without screening",25,"Cumulative Incidence, Group 1",0.0165,"(0.0162,0.0174)"
"Contemp1999","Effect of treatment, without screening",25,"MRR",0.8128,"(0.8092,0.8311)"
"Contemp1999","Effect of treatment, without screening",25,"ARR",0.0038,"(0.0036,0.0041)"
"Contemp1999","Effect of treatment, without screening",25,"NNS",263.1579,"(259.0674,293.3007)"
"Contemp1999","Effect of treatment, with screening",25,"Cumulative Incidence, Group 0",0.0183,"(0.018,0.019)"
"Contemp1999","Effect of treatment, with screening",25,"Cumulative Incidence, Group 1",0.0149,"(0.0147,0.0156)"
"Contemp1999","Effect of treatment, with screening",25,"MRR",0.8142,"(0.8089,0.8308)"
"Contemp1999","Effect of treatment, with screening",25,"ARR",0.0034,"(0.0033,0.0038)"
"Contemp1999","Effect of treatment, with screening",25,"NNS",294.1176,"(285.5108,324.7315)"
"Perfect","Effect of treatment, without screening",25,"Cumulative Incidence, Group 0",0.0203,"(0.02,0.0211)"
"Perfect","Effect of treatment, without screening",25,"Cumulative Incidence, Group 1",0.0145,"(0.0143,0.0152)"
"Perfect","Effect of treatment, without screening",25,"MRR",0.7143,"(0.7084,0.7332)"
"Perfect","Effect of treatment, without screening",25,"ARR",0.0058,"(0.0056,0.0063)"
"Perfect","Effect of treatment, without screening",25,"NNS",172.4138,"(168.6341,185.8915)"
"Perfect","Effect of treatment, with screening",25,"Cumulative Incidence, Group 0",0.0183,"(0.018,0.019)"
"Perfect","Effect of treatment, with screening",25,"Cumulative Incidence, Group 1",0.0129,"(0.0127,0.0135)"
"Perfect","Effect of treatment, with screening",25,"MRR",0.7049,"(0.6981,0.7219)"
"Perfect","Effect of treatment, with screening",25,"ARR",0.0054,"(0.0052,0.0059)"
"Perfect","Effect of treatment, with screening",25,"NNS",185.1852,"(179.8561,198.2261)"
