"Trial","Effect","Follow-Up Year","Measure","Estimate","UI"
"Historical","Effect of screening, same treatment",1,"Cumulative Incidence, Group 0",0,"(0,1e-04)"
"Historical","Effect of screening, same treatment",1,"Cumulative Incidence, Group 1",0,"(0,1e-04)"
"Historical","Effect of screening, same treatment",1,"MRR",NA,"(0.7708,1)"
"Historical","Effect of screening, same treatment",1,"ARR",0,"(0,0)"
"Historical","Effect of screening, same treatment",1,"NNS",Inf,"(1e+05,1e+05)"
"Historical","Effect of screening, same treatment",2,"Cumulative Incidence, Group 0",2e-04,"(2e-04,3e-04)"
"Historical","Effect of screening, same treatment",2,"Cumulative Incidence, Group 1",2e-04,"(1e-04,3e-04)"
"Historical","Effect of screening, same treatment",2,"MRR",1,"(0.8254,1)"
"Historical","Effect of screening, same treatment",2,"ARR",0,"(0,1e-04)"
"Historical","Effect of screening, same treatment",2,"NNS",Inf,"(27083.3333,1e+05)"
"Historical","Effect of screening, same treatment",3,"Cumulative Incidence, Group 0",4e-04,"(4e-04,6e-04)"
"Historical","Effect of screening, same treatment",3,"Cumulative Incidence, Group 1",4e-04,"(3e-04,5e-04)"
"Historical","Effect of screening, same treatment",3,"MRR",1,"(0.8537,0.9722)"
"Historical","Effect of screening, same treatment",3,"ARR",0,"(0,1e-04)"
"Historical","Effect of screening, same treatment",3,"NNS",Inf,"(16666.6667,1e+05)"
"Historical","Effect of screening, same treatment",4,"Cumulative Incidence, Group 0",7e-04,"(7e-04,9e-04)"
"Historical","Effect of screening, same treatment",4,"Cumulative Incidence, Group 1",6e-04,"(6e-04,8e-04)"
"Historical","Effect of screening, same treatment",4,"MRR",0.8571,"(0.8562,0.9429)"
"Historical","Effect of screening, same treatment",4,"ARR",1e-04,"(1e-04,1e-04)"
"Historical","Effect of screening, same treatment",4,"NNS",10000,"(9090.9091,25000)"
"Historical","Effect of screening, same treatment",5,"Cumulative Incidence, Group 0",0.0011,"(0.0011,0.0013)"
"Historical","Effect of screening, same treatment",5,"Cumulative Incidence, Group 1",0.001,"(9e-04,0.0011)"
"Historical","Effect of screening, same treatment",5,"MRR",0.9091,"(0.8608,0.9258)"
"Historical","Effect of screening, same treatment",5,"ARR",1e-04,"(1e-04,2e-04)"
"Historical","Effect of screening, same treatment",5,"NNS",10000,"(6158.0882,12500)"
"Historical","Effect of screening, same treatment",6,"Cumulative Incidence, Group 0",0.0016,"(0.0015,0.0018)"
"Historical","Effect of screening, same treatment",6,"Cumulative Incidence, Group 1",0.0014,"(0.0013,0.0016)"
"Historical","Effect of screening, same treatment",6,"MRR",0.875,"(0.8638,0.9223)"
"Historical","Effect of screening, same treatment",6,"ARR",2e-04,"(2e-04,3e-04)"
"Historical","Effect of screening, same treatment",6,"NNS",5000,"(4347.8261,8731.0606)"
"Historical","Effect of screening, same treatment",7,"Cumulative Incidence, Group 0",0.0021,"(0.002,0.0023)"
"Historical","Effect of screening, same treatment",7,"Cumulative Incidence, Group 1",0.0019,"(0.0018,0.0021)"
"Historical","Effect of screening, same treatment",7,"MRR",0.9048,"(0.8647,0.9217)"
"Historical","Effect of screening, same treatment",7,"ARR",2e-04,"(2e-04,4e-04)"
"Historical","Effect of screening, same treatment",7,"NNS",5000,"(3448.2759,6294.1176)"
"Historical","Effect of screening, same treatment",8,"Cumulative Incidence, Group 0",0.0027,"(0.0026,0.003)"
"Historical","Effect of screening, same treatment",8,"Cumulative Incidence, Group 1",0.0024,"(0.0023,0.0027)"
"Historical","Effect of screening, same treatment",8,"MRR",0.8889,"(0.8671,0.915)"
"Historical","Effect of screening, same treatment",8,"ARR",3e-04,"(3e-04,4e-04)"
"Historical","Effect of screening, same treatment",8,"NNS",3333.3333,"(2759.009,4451.581)"
"Historical","Effect of screening, same treatment",9,"Cumulative Incidence, Group 0",0.0034,"(0.0033,0.0037)"
"Historical","Effect of screening, same treatment",9,"Cumulative Incidence, Group 1",0.003,"(0.0029,0.0033)"
"Historical","Effect of screening, same treatment",9,"MRR",0.8824,"(0.8746,0.9111)"
"Historical","Effect of screening, same treatment",9,"ARR",4e-04,"(4e-04,5e-04)"
"Historical","Effect of screening, same treatment",9,"NNS",2500,"(2272.7273,3333.3333)"
"Historical","Effect of screening, same treatment",10,"Cumulative Incidence, Group 0",0.0041,"(0.004,0.0045)"
"Historical","Effect of screening, same treatment",10,"Cumulative Incidence, Group 1",0.0037,"(0.0036,0.004)"
"Historical","Effect of screening, same treatment",10,"MRR",0.9024,"(0.8775,0.9086)"
"Historical","Effect of screening, same treatment",10,"ARR",4e-04,"(4e-04,6e-04)"
"Historical","Effect of screening, same treatment",10,"NNS",2500,"(1960.7843,2668.9189)"
"Historical","Effect of screening, same treatment",11,"Cumulative Incidence, Group 0",0.0049,"(0.0048,0.0053)"
"Historical","Effect of screening, same treatment",11,"Cumulative Incidence, Group 1",0.0044,"(0.0042,0.0047)"
"Historical","Effect of screening, same treatment",11,"MRR",0.898,"(0.8792,0.9098)"
"Historical","Effect of screening, same treatment",11,"ARR",5e-04,"(5e-04,7e-04)"
"Historical","Effect of screening, same treatment",11,"NNS",2000,"(1666.6667,2248.7374)"
"Historical","Effect of screening, same treatment",12,"Cumulative Incidence, Group 0",0.0058,"(0.0056,0.0062)"
"Historical","Effect of screening, same treatment",12,"Cumulative Incidence, Group 1",0.0051,"(0.005,0.0055)"
"Historical","Effect of screening, same treatment",12,"MRR",0.8793,"(0.8805,0.9085)"
"Historical","Effect of screening, same treatment",12,"ARR",7e-04,"(6e-04,8e-04)"
"Historical","Effect of screening, same treatment",12,"NNS",1428.5714,"(1449.2754,1946.2264)"
"Historical","Effect of screening, same treatment",13,"Cumulative Incidence, Group 0",0.0067,"(0.0065,0.0071)"
"Historical","Effect of screening, same treatment",13,"Cumulative Incidence, Group 1",0.0059,"(0.0058,0.0064)"
"Historical","Effect of screening, same treatment",13,"MRR",0.8806,"(0.8812,0.909)"
"Historical","Effect of screening, same treatment",13,"ARR",8e-04,"(7e-04,9e-04)"
"Historical","Effect of screening, same treatment",13,"NNS",1250,"(1250,1694.9153)"
"Historical","Effect of screening, same treatment",14,"Cumulative Incidence, Group 0",0.0076,"(0.0074,0.0081)"
"Historical","Effect of screening, same treatment",14,"Cumulative Incidence, Group 1",0.0068,"(0.0066,0.0072)"
"Historical","Effect of screening, same treatment",14,"MRR",0.8947,"(0.8852,0.9076)"
"Historical","Effect of screening, same treatment",14,"ARR",8e-04,"(8e-04,0.001)"
"Historical","Effect of screening, same treatment",14,"NNS",1250,"(1123.5955,1419.0141)"
"Historical","Effect of screening, same treatment",15,"Cumulative Incidence, Group 0",0.0086,"(0.0084,0.0091)"
"Historical","Effect of screening, same treatment",15,"Cumulative Incidence, Group 1",0.0077,"(0.0075,0.0081)"
"Historical","Effect of screening, same treatment",15,"MRR",0.8953,"(0.8858,0.9087)"
"Historical","Effect of screening, same treatment",15,"ARR",9e-04,"(9e-04,0.0011)"
"Historical","Effect of screening, same treatment",15,"NNS",1111.1111,"(1017.8314,1290.7925)"
"Historical","Effect of screening, same treatment",16,"Cumulative Incidence, Group 0",0.0097,"(0.0094,0.0102)"
"Historical","Effect of screening, same treatment",16,"Cumulative Incidence, Group 1",0.0086,"(0.0085,0.0092)"
"Historical","Effect of screening, same treatment",16,"MRR",0.8866,"(0.8878,0.9076)"
"Historical","Effect of screening, same treatment",16,"ARR",0.0011,"(0.001,0.0012)"
"Historical","Effect of screening, same treatment",16,"NNS",909.0909,"(917.4312,1149.4253)"
"Historical","Effect of screening, same treatment",17,"Cumulative Incidence, Group 0",0.0107,"(0.0105,0.0113)"
"Historical","Effect of screening, same treatment",17,"Cumulative Incidence, Group 1",0.0096,"(0.0094,0.0101)"
"Historical","Effect of screening, same treatment",17,"MRR",0.8972,"(0.8886,0.9088)"
"Historical","Effect of screening, same treatment",17,"ARR",0.0011,"(0.0011,0.0014)"
"Historical","Effect of screening, same treatment",17,"NNS",909.0909,"(826.4463,1047.4232)"
"Historical","Effect of screening, same treatment",18,"Cumulative Incidence, Group 0",0.0119,"(0.0116,0.0125)"
"Historical","Effect of screening, same treatment",18,"Cumulative Incidence, Group 1",0.0106,"(0.0104,0.0111)"
"Historical","Effect of screening, same treatment",18,"MRR",0.8908,"(0.8905,0.9106)"
"Historical","Effect of screening, same treatment",18,"ARR",0.0013,"(0.0012,0.0014)"
"Historical","Effect of screening, same treatment",18,"NNS",769.2308,"(746.2687,948.1132)"
"Historical","Effect of screening, same treatment",19,"Cumulative Incidence, Group 0",0.013,"(0.0128,0.0137)"
"Historical","Effect of screening, same treatment",19,"Cumulative Incidence, Group 1",0.0117,"(0.0115,0.0123)"
"Historical","Effect of screening, same treatment",19,"MRR",0.9,"(0.891,0.9104)"
"Historical","Effect of screening, same treatment",19,"ARR",0.0013,"(0.0013,0.0015)"
"Historical","Effect of screening, same treatment",19,"NNS",769.2308,"(699.3007,877.6452)"
"Historical","Effect of screening, same treatment",20,"Cumulative Incidence, Group 0",0.0142,"(0.014,0.0149)"
"Historical","Effect of screening, same treatment",20,"Cumulative Incidence, Group 1",0.0127,"(0.0125,0.0134)"
"Historical","Effect of screening, same treatment",20,"MRR",0.8944,"(0.8906,0.9113)"
"Historical","Effect of screening, same treatment",20,"ARR",0.0015,"(0.0014,0.0017)"
"Historical","Effect of screening, same treatment",20,"NNS",666.6667,"(645.1613,816.9488)"
"Historical","Effect of screening, same treatment",21,"Cumulative Incidence, Group 0",0.0154,"(0.0151,0.016)"
"Historical","Effect of screening, same treatment",21,"Cumulative Incidence, Group 1",0.0138,"(0.0136,0.0145)"
"Historical","Effect of screening, same treatment",21,"MRR",0.8961,"(0.8936,0.9128)"
"Historical","Effect of screening, same treatment",21,"ARR",0.0016,"(0.0015,0.0018)"
"Historical","Effect of screening, same treatment",21,"NNS",625,"(606.0606,759.421)"
"Historical","Effect of screening, same treatment",22,"Cumulative Incidence, Group 0",0.0166,"(0.0163,0.0173)"
"Historical","Effect of screening, same treatment",22,"Cumulative Incidence, Group 1",0.0149,"(0.0147,0.0155)"
"Historical","Effect of screening, same treatment",22,"MRR",0.8976,"(0.8942,0.9116)"
"Historical","Effect of screening, same treatment",22,"ARR",0.0017,"(0.0016,0.0019)"
"Historical","Effect of screening, same treatment",22,"NNS",588.2353,"(570.6169,699.3007)"
"Historical","Effect of screening, same treatment",23,"Cumulative Incidence, Group 0",0.0178,"(0.0176,0.0185)"
"Historical","Effect of screening, same treatment",23,"Cumulative Incidence, Group 1",0.016,"(0.0158,0.0167)"
"Historical","Effect of screening, same treatment",23,"MRR",0.8989,"(0.896,0.9129)"
"Historical","Effect of screening, same treatment",23,"ARR",0.0018,"(0.0017,0.002)"
"Historical","Effect of screening, same treatment",23,"NNS",555.5556,"(540.5405,653.8363)"
"Historical","Effect of screening, same treatment",24,"Cumulative Incidence, Group 0",0.019,"(0.0188,0.0198)"
"Historical","Effect of screening, same treatment",24,"Cumulative Incidence, Group 1",0.0171,"(0.0169,0.0178)"
"Historical","Effect of screening, same treatment",24,"MRR",0.9,"(0.8967,0.9156)"
"Historical","Effect of screening, same treatment",24,"ARR",0.0019,"(0.0018,0.0022)"
"Historical","Effect of screening, same treatment",24,"NNS",526.3158,"(510.2041,631.0206)"
"Historical","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0203,"(0.02,0.0211)"
"Historical","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0183,"(0.018,0.019)"
"Historical","Effect of screening, same treatment",25,"MRR",0.9015,"(0.8978,0.9158)"
"Historical","Effect of screening, same treatment",25,"ARR",0.002,"(0.0019,0.0023)"
"Historical","Effect of screening, same treatment",25,"NNS",500,"(478.4689,591.9118)"
