"Trial","Age.Group","Control","Screen","Incidence","Prevalence"
"Historical",50,22.5833475898719,19.9671667049969,201.690749383255,0.9949
"Historical",55,62.7197906825108,56.1290001508321,234.236376950328,1.99334360103276
"Historical",60,95.0935333513145,85.0014132773694,281.207354343109,2.95666723833648
"Historical",65,128.304305222033,115.777051101805,331.379457191653,3.89013068897368
"Historical",70,157.118149149103,142.602551486916,396.251186376292,4.77340273227262
"Historical",75,179.592128455955,163.275900358334,493.584920593551,5.62003460028639
"Historical",80,207.591547549286,190.856963201322,665.34515500803,6.45160408018654
"Historical",85,213.023800441785,198.728209588829,424.190238820417,6.18351468116391
"Historical",90,177.155121418039,169.937508972807,0,5.16232821954618
"Historical",95,126.987553458746,131.123731088898,0,4.38222883229645
"Historical",100,90.2351611675158,99.8208152654229,0,3.672370199737
"Historical",105,68.9621316002507,85.7288087652604,0,2.97251539598205
"Historical",110,0,0,0,1.52072120822121
"Historical",115,0,0,0,3.33333333333333
"Historical",120,NA,NA,Inf,NA
"Historical",125,NA,NA,NA,NA
"Contemp1999",50,17.3109226630989,15.2427450882432,NA,NA
"Contemp1999",55,48.5329497357013,43.4644914172744,NA,NA
"Contemp1999",60,77.1306707857523,69.2868229186782,NA,NA
"Contemp1999",65,104.262489343374,94.5162392057733,NA,NA
"Contemp1999",70,133.300959912668,121.046486148327,NA,NA
"Contemp1999",75,154.085406896536,138.547890875207,NA,NA
"Contemp1999",80,180.978545062169,165.426148275161,NA,NA
"Contemp1999",85,192.497391597784,176.202010803687,NA,NA
"Contemp1999",90,156.404971950641,149.427575474423,NA,NA
"Contemp1999",95,126.590687178244,121.193712523676,NA,NA
"Contemp1999",100,105.249234456853,97.6741580766355,NA,NA
"Contemp1999",105,137.628809091105,161.600509626003,NA,NA
"Contemp1999",110,0,0,NA,NA
"Contemp1999",115,0,0,NA,NA
"Contemp1999",120,NA,NA,NA,NA
"Contemp1999",125,NA,NA,NA,NA
"Perfect",50,14.8575272614464,13.0125752014422,NA,NA
"Perfect",55,41.6364783078537,36.6551493763988,NA,NA
"Perfect",60,66.7533846142352,59.1858604921015,NA,NA
"Perfect",65,91.553831062193,81.7861770382129,NA,NA
"Perfect",70,117.061474394933,104.94150990755,NA,NA
"Perfect",75,140.37133428906,124.471046664154,NA,NA
"Perfect",80,161.623669645235,144.432964738802,NA,NA
"Perfect",85,173.544427534212,157.309641515232,NA,NA
"Perfect",90,143.948129543648,134.972728885263,NA,NA
"Perfect",95,115.542857579835,111.906464475215,NA,NA
"Perfect",100,100.225879713234,96.8694987875187,NA,NA
"Perfect",105,152.368065851066,134.107043146599,NA,NA
"Perfect",110,0,0,NA,NA
"Perfect",115,0,0,NA,NA
"Perfect",120,NA,NA,NA,NA
"Perfect",125,NA,NA,NA,NA
