"Trial","Effect","Follow-Up Year","Measure","Estimate","UI"
"Historical","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.02,"(0.019,0.02)"
"Historical","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.018,"(0.017,0.018)"
"Historical","Effect of screening, same treatment",25,"MRR",0.9,"(0.897,0.909)"
"Historical","Effect of screening, same treatment",25,"ARR",0.002,"(0.002,0.002)"
"Historical","Effect of screening, same treatment",25,"NNS",500,"(500,552.486)"
"Contemp1999","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.016,"(0.016,0.016)"
"Contemp1999","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.014,"(0.014,0.015)"
"Contemp1999","Effect of screening, same treatment",25,"MRR",0.875,"(0.899,0.913)"
"Contemp1999","Effect of screening, same treatment",25,"ARR",0.002,"(0.001,0.002)"
"Contemp1999","Effect of screening, same treatment",25,"NNS",500,"(612.064,706.988)"
"Perfect","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.014,"(0.014,0.014)"
"Perfect","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.012,"(0.012,0.013)"
"Perfect","Effect of screening, same treatment",25,"MRR",0.857,"(0.887,0.899)"
"Perfect","Effect of screening, same treatment",25,"ARR",0.002,"(0.001,0.002)"
"Perfect","Effect of screening, same treatment",25,"NNS",500,"(622.46,717.128)"
"Contemp1999","Effect of treatment, without screening",25,"Cumulative Incidence, Group 0",0.02,"(0.019,0.02)"
"Contemp1999","Effect of treatment, without screening",25,"Cumulative Incidence, Group 1",0.016,"(0.016,0.016)"
"Contemp1999","Effect of treatment, without screening",25,"MRR",0.8,"(0.81,0.836)"
"Contemp1999","Effect of treatment, without screening",25,"ARR",0.004,"(0.004,0.004)"
"Contemp1999","Effect of treatment, without screening",25,"NNS",250,"(269.548,312.251)"
"Contemp1999","Effect of treatment, with screening",25,"Cumulative Incidence, Group 0",0.018,"(0.017,0.018)"
"Contemp1999","Effect of treatment, with screening",25,"Cumulative Incidence, Group 1",0.014,"(0.014,0.015)"
"Contemp1999","Effect of treatment, with screening",25,"MRR",0.778,"(0.808,0.837)"
"Contemp1999","Effect of treatment, with screening",25,"ARR",0.004,"(0.003,0.003)"
"Contemp1999","Effect of treatment, with screening",25,"NNS",250,"(299.434,352.523)"
"Perfect","Effect of treatment, without screening",25,"Cumulative Incidence, Group 0",0.02,"(0.019,0.02)"
"Perfect","Effect of treatment, without screening",25,"Cumulative Incidence, Group 1",0.014,"(0.014,0.014)"
"Perfect","Effect of treatment, without screening",25,"MRR",0.7,"(0.708,0.726)"
"Perfect","Effect of treatment, without screening",25,"ARR",0.006,"(0.006,0.006)"
"Perfect","Effect of treatment, without screening",25,"NNS",166.667,"(174.294,186.604)"
"Perfect","Effect of treatment, with screening",25,"Cumulative Incidence, Group 0",0.018,"(0.017,0.018)"
"Perfect","Effect of treatment, with screening",25,"Cumulative Incidence, Group 1",0.012,"(0.012,0.013)"
"Perfect","Effect of treatment, with screening",25,"MRR",0.667,"(0.699,0.72)"
"Perfect","Effect of treatment, with screening",25,"ARR",0.006,"(0.005,0.006)"
"Perfect","Effect of treatment, with screening",25,"NNS",166.667,"(188.236,206.639)"
