"Trial","Effect","Follow-Up Year","Measure","Estimate","UI"
"Historical","Effect of screening, same treatment",1,"Cumulative Incidence, Group 0",0,"(0,0)"
"Historical","Effect of screening, same treatment",1,"Cumulative Incidence, Group 1",0,"(0,0)"
"Historical","Effect of screening, same treatment",1,"MRR",NA,"(0.8,1)"
"Historical","Effect of screening, same treatment",1,"ARR",0,"(0,0)"
"Historical","Effect of screening, same treatment",1,"NNS",Inf,"(62500,1e+05)"
"Historical","Effect of screening, same treatment",2,"Cumulative Incidence, Group 0",0,"(0,0)"
"Historical","Effect of screening, same treatment",2,"Cumulative Incidence, Group 1",0,"(0,0)"
"Historical","Effect of screening, same treatment",2,"MRR",NA,"(0.871,0.989)"
"Historical","Effect of screening, same treatment",2,"ARR",0,"(0,0)"
"Historical","Effect of screening, same treatment",2,"NNS",Inf,"(33333.333,1e+05)"
"Historical","Effect of screening, same treatment",3,"Cumulative Incidence, Group 0",0,"(0,0)"
"Historical","Effect of screening, same treatment",3,"Cumulative Incidence, Group 1",0,"(0,0)"
"Historical","Effect of screening, same treatment",3,"MRR",NA,"(0.876,0.938)"
"Historical","Effect of screening, same treatment",3,"ARR",0,"(0,0)"
"Historical","Effect of screening, same treatment",3,"NNS",Inf,"(20000,46250)"
"Historical","Effect of screening, same treatment",4,"Cumulative Incidence, Group 0",0.001,"(0.001,0.001)"
"Historical","Effect of screening, same treatment",4,"Cumulative Incidence, Group 1",0.001,"(0.001,0.001)"
"Historical","Effect of screening, same treatment",4,"MRR",1,"(0.841,0.904)"
"Historical","Effect of screening, same treatment",4,"ARR",0,"(0,0)"
"Historical","Effect of screening, same treatment",4,"NNS",Inf,"(8522.727,16130.952)"
"Historical","Effect of screening, same treatment",5,"Cumulative Incidence, Group 0",0.001,"(0.001,0.001)"
"Historical","Effect of screening, same treatment",5,"Cumulative Incidence, Group 1",0.001,"(0.001,0.001)"
"Historical","Effect of screening, same treatment",5,"MRR",1,"(0.862,0.935)"
"Historical","Effect of screening, same treatment",5,"ARR",0,"(0,0)"
"Historical","Effect of screening, same treatment",5,"NNS",Inf,"(6354.167,12500)"
"Historical","Effect of screening, same treatment",6,"Cumulative Incidence, Group 0",0.002,"(0.002,0.002)"
"Historical","Effect of screening, same treatment",6,"Cumulative Incidence, Group 1",0.001,"(0.001,0.002)"
"Historical","Effect of screening, same treatment",6,"MRR",0.5,"(0.882,0.91)"
"Historical","Effect of screening, same treatment",6,"ARR",0.001,"(0,0)"
"Historical","Effect of screening, same treatment",6,"NNS",1000,"(5417.957,7035.714)"
"Historical","Effect of screening, same treatment",7,"Cumulative Incidence, Group 0",0.002,"(0.002,0.002)"
"Historical","Effect of screening, same treatment",7,"Cumulative Incidence, Group 1",0.002,"(0.002,0.002)"
"Historical","Effect of screening, same treatment",7,"MRR",1,"(0.875,0.919)"
"Historical","Effect of screening, same treatment",7,"ARR",0,"(0,0)"
"Historical","Effect of screening, same treatment",7,"NNS",Inf,"(3846.154,5808.824)"
"Historical","Effect of screening, same treatment",8,"Cumulative Incidence, Group 0",0.003,"(0.003,0.003)"
"Historical","Effect of screening, same treatment",8,"Cumulative Incidence, Group 1",0.002,"(0.002,0.003)"
"Historical","Effect of screening, same treatment",8,"MRR",0.667,"(0.872,0.902)"
"Historical","Effect of screening, same treatment",8,"ARR",0.001,"(0,0)"
"Historical","Effect of screening, same treatment",8,"NNS",1000,"(2878.151,3846.154)"
"Historical","Effect of screening, same treatment",9,"Cumulative Incidence, Group 0",0.003,"(0.003,0.004)"
"Historical","Effect of screening, same treatment",9,"Cumulative Incidence, Group 1",0.003,"(0.003,0.003)"
"Historical","Effect of screening, same treatment",9,"MRR",1,"(0.882,0.915)"
"Historical","Effect of screening, same treatment",9,"ARR",0,"(0,0)"
"Historical","Effect of screening, same treatment",9,"NNS",Inf,"(2516.026,3573.495)"
"Historical","Effect of screening, same treatment",10,"Cumulative Incidence, Group 0",0.004,"(0.004,0.004)"
"Historical","Effect of screening, same treatment",10,"Cumulative Incidence, Group 1",0.004,"(0.004,0.004)"
"Historical","Effect of screening, same treatment",10,"MRR",1,"(0.883,0.916)"
"Historical","Effect of screening, same treatment",10,"ARR",0,"(0,0.001)"
"Historical","Effect of screening, same treatment",10,"NNS",Inf,"(2083.333,2940.59)"
"Historical","Effect of screening, same treatment",11,"Cumulative Incidence, Group 0",0.005,"(0.005,0.005)"
"Historical","Effect of screening, same treatment",11,"Cumulative Incidence, Group 1",0.004,"(0.004,0.005)"
"Historical","Effect of screening, same treatment",11,"MRR",0.8,"(0.885,0.913)"
"Historical","Effect of screening, same treatment",11,"ARR",0.001,"(0,0.001)"
"Historical","Effect of screening, same treatment",11,"NNS",1000,"(1762.218,2368.494)"
"Historical","Effect of screening, same treatment",12,"Cumulative Incidence, Group 0",0.006,"(0.006,0.006)"
"Historical","Effect of screening, same treatment",12,"Cumulative Incidence, Group 1",0.005,"(0.005,0.005)"
"Historical","Effect of screening, same treatment",12,"MRR",0.833,"(0.885,0.908)"
"Historical","Effect of screening, same treatment",12,"ARR",0.001,"(0.001,0.001)"
"Historical","Effect of screening, same treatment",12,"NNS",1000,"(1538.462,1899.476)"
"Historical","Effect of screening, same treatment",13,"Cumulative Incidence, Group 0",0.007,"(0.006,0.007)"
"Historical","Effect of screening, same treatment",13,"Cumulative Incidence, Group 1",0.006,"(0.006,0.006)"
"Historical","Effect of screening, same treatment",13,"MRR",0.857,"(0.878,0.91)"
"Historical","Effect of screening, same treatment",13,"ARR",0.001,"(0.001,0.001)"
"Historical","Effect of screening, same treatment",13,"NNS",1000,"(1282.051,1711.207)"
"Historical","Effect of screening, same treatment",14,"Cumulative Incidence, Group 0",0.007,"(0.007,0.008)"
"Historical","Effect of screening, same treatment",14,"Cumulative Incidence, Group 1",0.007,"(0.007,0.007)"
"Historical","Effect of screening, same treatment",14,"MRR",1,"(0.882,0.908)"
"Historical","Effect of screening, same treatment",14,"ARR",0,"(0.001,0.001)"
"Historical","Effect of screening, same treatment",14,"NNS",Inf,"(1124.031,1465.793)"
"Historical","Effect of screening, same treatment",15,"Cumulative Incidence, Group 0",0.008,"(0.008,0.009)"
"Historical","Effect of screening, same treatment",15,"Cumulative Incidence, Group 1",0.007,"(0.007,0.008)"
"Historical","Effect of screening, same treatment",15,"MRR",0.875,"(0.886,0.907)"
"Historical","Effect of screening, same treatment",15,"ARR",0.001,"(0.001,0.001)"
"Historical","Effect of screening, same treatment",15,"NNS",1000,"(1047.921,1274.84)"
"Historical","Effect of screening, same treatment",16,"Cumulative Incidence, Group 0",0.009,"(0.009,0.01)"
"Historical","Effect of screening, same treatment",16,"Cumulative Incidence, Group 1",0.008,"(0.008,0.009)"
"Historical","Effect of screening, same treatment",16,"MRR",0.889,"(0.889,0.904)"
"Historical","Effect of screening, same treatment",16,"ARR",0.001,"(0.001,0.001)"
"Historical","Effect of screening, same treatment",16,"NNS",1000,"(959.384,1111.111)"
"Historical","Effect of screening, same treatment",17,"Cumulative Incidence, Group 0",0.01,"(0.01,0.011)"
"Historical","Effect of screening, same treatment",17,"Cumulative Incidence, Group 1",0.009,"(0.009,0.01)"
"Historical","Effect of screening, same treatment",17,"MRR",0.9,"(0.895,0.906)"
"Historical","Effect of screening, same treatment",17,"ARR",0.001,"(0.001,0.001)"
"Historical","Effect of screening, same treatment",17,"NNS",1000,"(913.3,1000)"
"Historical","Effect of screening, same treatment",18,"Cumulative Incidence, Group 0",0.011,"(0.011,0.012)"
"Historical","Effect of screening, same treatment",18,"Cumulative Incidence, Group 1",0.01,"(0.01,0.011)"
"Historical","Effect of screening, same treatment",18,"MRR",0.909,"(0.894,0.912)"
"Historical","Effect of screening, same treatment",18,"ARR",0.001,"(0.001,0.001)"
"Historical","Effect of screening, same treatment",18,"NNS",1000,"(835.084,983.673)"
"Historical","Effect of screening, same treatment",19,"Cumulative Incidence, Group 0",0.013,"(0.012,0.013)"
"Historical","Effect of screening, same treatment",19,"Cumulative Incidence, Group 1",0.011,"(0.011,0.012)"
"Historical","Effect of screening, same treatment",19,"MRR",0.846,"(0.895,0.911)"
"Historical","Effect of screening, same treatment",19,"ARR",0.002,"(0.001,0.001)"
"Historical","Effect of screening, same treatment",19,"NNS",500,"(763.359,918.265)"
"Historical","Effect of screening, same treatment",20,"Cumulative Incidence, Group 0",0.014,"(0.014,0.014)"
"Historical","Effect of screening, same treatment",20,"Cumulative Incidence, Group 1",0.012,"(0.012,0.013)"
"Historical","Effect of screening, same treatment",20,"MRR",0.857,"(0.894,0.909)"
"Historical","Effect of screening, same treatment",20,"ARR",0.002,"(0.001,0.002)"
"Historical","Effect of screening, same treatment",20,"NNS",500,"(678.571,815.006)"
"Historical","Effect of screening, same treatment",21,"Cumulative Incidence, Group 0",0.015,"(0.015,0.015)"
"Historical","Effect of screening, same treatment",21,"Cumulative Incidence, Group 1",0.013,"(0.013,0.014)"
"Historical","Effect of screening, same treatment",21,"MRR",0.867,"(0.893,0.91)"
"Historical","Effect of screening, same treatment",21,"ARR",0.002,"(0.001,0.002)"
"Historical","Effect of screening, same treatment",21,"NNS",500,"(619.358,766.183)"
"Historical","Effect of screening, same treatment",22,"Cumulative Incidence, Group 0",0.016,"(0.016,0.016)"
"Historical","Effect of screening, same treatment",22,"Cumulative Incidence, Group 1",0.014,"(0.014,0.015)"
"Historical","Effect of screening, same treatment",22,"MRR",0.875,"(0.897,0.906)"
"Historical","Effect of screening, same treatment",22,"ARR",0.002,"(0.002,0.002)"
"Historical","Effect of screening, same treatment",22,"NNS",500,"(595.238,670.707)"
"Historical","Effect of screening, same treatment",23,"Cumulative Incidence, Group 0",0.017,"(0.017,0.018)"
"Historical","Effect of screening, same treatment",23,"Cumulative Incidence, Group 1",0.016,"(0.015,0.016)"
