"Trial","Effect","Follow-Up Year","Measure","Estimate","UI"
"e1a1","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0083,"(0.0081,0.0088)"
"e1a1","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0075,"(0.0073,0.008)"
"e1a1","Effect of screening, same treatment",25,"MRR",0.9036,"(0.8961,0.9218)"
"e1a1","Effect of screening, same treatment",25,"ARR",8e-04,"(8e-04,0.001)"
"e1a1","Effect of screening, same treatment",25,"NNS",1250,"(1173.0506,1516.6475)"
"e1a2","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.013,"(0.0127,0.0137)"
"e1a2","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0115,"(0.0113,0.0122)"
"e1a2","Effect of screening, same treatment",25,"MRR",0.8846,"(0.8779,0.8987)"
"e1a2","Effect of screening, same treatment",25,"ARR",0.0015,"(0.0014,0.0018)"
"e1a2","Effect of screening, same treatment",25,"NNS",666.6667,"(628.9308,772.3614)"
"e1a3","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0162,"(0.016,0.017)"
"e1a3","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0142,"(0.014,0.0149)"
"e1a3","Effect of screening, same treatment",25,"MRR",0.8765,"(0.8716,0.8917)"
"e1a3","Effect of screening, same treatment",25,"ARR",0.002,"(0.0019,0.0023)"
"e1a3","Effect of screening, same treatment",25,"NNS",500,"(476.1905,563.4641)"
"e1a4","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0186,"(0.0183,0.0195)"
"e1a4","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0162,"(0.016,0.0171)"
"e1a4","Effect of screening, same treatment",25,"MRR",0.871,"(0.868,0.8876)"
"e1a4","Effect of screening, same treatment",25,"ARR",0.0024,"(0.0022,0.0026)"
"e1a4","Effect of screening, same treatment",25,"NNS",416.6667,"(409.4179,479.8137)"
"e2a1","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0097,"(0.0095,0.0102)"
"e2a1","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0091,"(0.0089,0.0096)"
"e2a1","Effect of screening, same treatment",25,"MRR",0.9381,"(0.9338,0.9514)"
"e2a1","Effect of screening, same treatment",25,"ARR",6e-04,"(5e-04,8e-04)"
"e2a1","Effect of screening, same treatment",25,"NNS",1666.6667,"(1538.4615,2106.6046)"
"e2a2","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0144,"(0.0141,0.0151)"
"e2a2","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0131,"(0.0128,0.0137)"
"e2a2","Effect of screening, same treatment",25,"MRR",0.9097,"(0.9057,0.9204)"
