"Trial","Effect","Follow-Up Year","Measure","Estimate","UI"
"e1a1","Effect of screening, same treatment",1,"Cumulative Incidence, Group 0",0,"(0,0)"
"e1a1","Effect of screening, same treatment",1,"Cumulative Incidence, Group 1",0,"(0,0)"
"e1a1","Effect of screening, same treatment",1,"MRR",NA,"(1,1)"
"e1a1","Effect of screening, same treatment",1,"ARR",0,"(0,0)"
"e1a1","Effect of screening, same treatment",1,"NNS",Inf,"(1e+05,1e+05)"
"e1a1","Effect of screening, same treatment",2,"Cumulative Incidence, Group 0",1e-04,"(0,1e-04)"
"e1a1","Effect of screening, same treatment",2,"Cumulative Incidence, Group 1",1e-04,"(0,1e-04)"
"e1a1","Effect of screening, same treatment",2,"MRR",1,"(0.825,1)"
"e1a1","Effect of screening, same treatment",2,"ARR",0,"(0,0)"
"e1a1","Effect of screening, same treatment",2,"NNS",Inf,"(1e+05,1e+05)"
"e1a1","Effect of screening, same treatment",3,"Cumulative Incidence, Group 0",1e-04,"(1e-04,2e-04)"
"e1a1","Effect of screening, same treatment",3,"Cumulative Incidence, Group 1",1e-04,"(1e-04,2e-04)"
"e1a1","Effect of screening, same treatment",3,"MRR",1,"(0.8405,1)"
"e1a1","Effect of screening, same treatment",3,"ARR",0,"(0,0)"
"e1a1","Effect of screening, same treatment",3,"NNS",Inf,"(50000,1e+05)"
"e1a1","Effect of screening, same treatment",4,"Cumulative Incidence, Group 0",2e-04,"(2e-04,3e-04)"
"e1a1","Effect of screening, same treatment",4,"Cumulative Incidence, Group 1",2e-04,"(2e-04,3e-04)"
"e1a1","Effect of screening, same treatment",4,"MRR",1,"(0.8514,1)"
"e1a1","Effect of screening, same treatment",4,"ARR",0,"(0,1e-04)"
"e1a1","Effect of screening, same treatment",4,"NNS",Inf,"(25000,1e+05)"
"e1a1","Effect of screening, same treatment",5,"Cumulative Incidence, Group 0",4e-04,"(3e-04,5e-04)"
"e1a1","Effect of screening, same treatment",5,"Cumulative Incidence, Group 1",3e-04,"(3e-04,4e-04)"
"e1a1","Effect of screening, same treatment",5,"MRR",0.75,"(0.8529,0.9775)"
"e1a1","Effect of screening, same treatment",5,"ARR",1e-04,"(0,1e-04)"
"e1a1","Effect of screening, same treatment",5,"NNS",10000,"(20000,1e+05)"
"e1a1","Effect of screening, same treatment",6,"Cumulative Incidence, Group 0",5e-04,"(5e-04,7e-04)"
"e1a1","Effect of screening, same treatment",6,"Cumulative Incidence, Group 1",5e-04,"(4e-04,6e-04)"
"e1a1","Effect of screening, same treatment",6,"MRR",1,"(0.8664,0.9689)"
"e1a1","Effect of screening, same treatment",6,"ARR",0,"(0,1e-04)"
"e1a1","Effect of screening, same treatment",6,"NNS",Inf,"(14285.7143,76250)"
"e1a1","Effect of screening, same treatment",7,"Cumulative Incidence, Group 0",7e-04,"(7e-04,9e-04)"
"e1a1","Effect of screening, same treatment",7,"Cumulative Incidence, Group 1",7e-04,"(6e-04,8e-04)"
"e1a1","Effect of screening, same treatment",7,"MRR",1,"(0.8678,0.9676)"
"e1a1","Effect of screening, same treatment",7,"ARR",0,"(1e-04,1e-04)"
"e1a1","Effect of screening, same treatment",7,"NNS",Inf,"(10000,50000)"
"e1a1","Effect of screening, same treatment",8,"Cumulative Incidence, Group 0",0.001,"(9e-04,0.0011)"
"e1a1","Effect of screening, same treatment",8,"Cumulative Incidence, Group 1",9e-04,"(8e-04,0.001)"
"e1a1","Effect of screening, same treatment",8,"MRR",0.9,"(0.8724,0.9583)"
"e1a1","Effect of screening, same treatment",8,"ARR",1e-04,"(1e-04,2e-04)"
"e1a1","Effect of screening, same treatment",8,"NNS",10000,"(8333.3333,25000)"
"e1a1","Effect of screening, same treatment",9,"Cumulative Incidence, Group 0",0.0012,"(0.0011,0.0014)"
"e1a1","Effect of screening, same treatment",9,"Cumulative Incidence, Group 1",0.0011,"(0.001,0.0013)"
"e1a1","Effect of screening, same treatment",9,"MRR",0.9167,"(0.881,0.9514)"
"e1a1","Effect of screening, same treatment",9,"ARR",1e-04,"(1e-04,2e-04)"
"e1a1","Effect of screening, same treatment",9,"NNS",10000,"(7142.8571,18416.6667)"
