"Trial","Effect","Follow-Up Year","Measure","Estimate","UI"
"e1a1","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0083,"(0.0081,0.0088)"
"e1a1","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0069,"(0.0067,0.0074)"
"e1a1","Effect of screening, same treatment",25,"MRR",0.8313,"(0.8158,0.8557)"
"e1a1","Effect of screening, same treatment",25,"ARR",0.0014,"(0.0013,0.0017)"
"e1a1","Effect of screening, same treatment",25,"NNS",714.2857,"(665.5629,837.0098)"
"e1a2","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.013,"(0.0127,0.0137)"
"e1a2","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0104,"(0.0102,0.011)"
"e1a2","Effect of screening, same treatment",25,"MRR",0.8,"(0.7917,0.8229)"
"e1a2","Effect of screening, same treatment",25,"ARR",0.0026,"(0.0025,0.003)"
"e1a2","Effect of screening, same treatment",25,"NNS",384.6154,"(365.9662,442.7083)"
"e1a3","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0162,"(0.016,0.017)"
"e1a3","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0128,"(0.0126,0.0135)"
"e1a3","Effect of screening, same treatment",25,"MRR",0.7901,"(0.7824,0.8113)"
"e1a3","Effect of screening, same treatment",25,"ARR",0.0034,"(0.0032,0.0038)"
"e1a3","Effect of screening, same treatment",25,"NNS",294.1176,"(283.0861,326.3519)"
"e1a4","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0186,"(0.0183,0.0195)"
"e1a4","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0146,"(0.0143,0.0154)"
"e1a4","Effect of screening, same treatment",25,"MRR",0.7849,"(0.7792,0.805)"
"e1a4","Effect of screening, same treatment",25,"ARR",0.004,"(0.0039,0.0044)"
"e1a4","Effect of screening, same treatment",25,"NNS",250,"(241.9845,278.6378)"
"e2a1","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0097,"(0.0095,0.0102)"
"e2a1","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0085,"(0.0083,0.009)"
"e2a1","Effect of screening, same treatment",25,"MRR",0.8763,"(0.8718,0.8976)"
"e2a1","Effect of screening, same treatment",25,"ARR",0.0012,"(0.0011,0.0014)"
"e2a1","Effect of screening, same treatment",25,"NNS",833.3333,"(806.4516,1021.0351)"
"e2a2","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0144,"(0.0141,0.0151)"
"e2a2","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.012,"(0.0118,0.0126)"
"e2a2","Effect of screening, same treatment",25,"MRR",0.8333,"(0.8307,0.854)"
"e2a2","Effect of screening, same treatment",25,"ARR",0.0024,"(0.0022,0.0027)"
