"Trial","Effect","Follow-Up Year","Measure","Estimate","UI"
"e1a1","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0076,"(0.0074,0.0081)"
"e1a1","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0067,"(0.0065,0.0071)"
"e1a1","Effect of screening, same treatment",25,"MRR",0.8816,"(0.8684,0.8975)"
"e1a1","Effect of screening, same treatment",25,"ARR",9e-04,"(9e-04,0.0012)"
"e1a1","Effect of screening, same treatment",25,"NNS",1111.1111,"(1010.101,1310.7253)"
"e1a2","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0123,"(0.012,0.013)"
"e1a2","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0106,"(0.0104,0.0112)"
"e1a2","Effect of screening, same treatment",25,"MRR",0.8618,"(0.8602,0.8829)"
"e1a2","Effect of screening, same treatment",25,"ARR",0.0017,"(0.0015,0.0019)"
"e1a2","Effect of screening, same treatment",25,"NNS",588.2353,"(583.9453,704.5083)"
"e1a3","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0155,"(0.0153,0.0163)"
"e1a3","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0134,"(0.0132,0.0141)"
"e1a3","Effect of screening, same treatment",25,"MRR",0.8645,"(0.857,0.8765)"
"e1a3","Effect of screening, same treatment",25,"ARR",0.0021,"(0.002,0.0024)"
"e1a3","Effect of screening, same treatment",25,"NNS",476.1905,"(447.93,529.4398)"
"e1a4","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0179,"(0.0176,0.0188)"
"e1a4","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0154,"(0.0151,0.0162)"
"e1a4","Effect of screening, same treatment",25,"MRR",0.8603,"(0.8552,0.8746)"
"e1a4","Effect of screening, same treatment",25,"ARR",0.0025,"(0.0024,0.0027)"
"e1a4","Effect of screening, same treatment",25,"NNS",400,"(385.7291,453.5685)"
"e2a1","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0083,"(0.0081,0.0088)"
"e2a1","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0075,"(0.0073,0.008)"
"e2a1","Effect of screening, same treatment",25,"MRR",0.9036,"(0.8884,0.9166)"
"e2a1","Effect of screening, same treatment",25,"ARR",8e-04,"(8e-04,0.0011)"
"e2a1","Effect of screening, same treatment",25,"NNS",1250,"(1098.9011,1441.0729)"
"e2a2","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.013,"(0.0127,0.0137)"
"e2a2","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0114,"(0.0112,0.0121)"
"e2a2","Effect of screening, same treatment",25,"MRR",0.8769,"(0.8739,0.8951)"
"e2a2","Effect of screening, same treatment",25,"ARR",0.0016,"(0.0015,0.0018)"
"e2a2","Effect of screening, same treatment",25,"NNS",625,"(612.5617,749.2145)"
"e2a3","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0162,"(0.016,0.017)"
"e2a3","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0142,"(0.0139,0.0149)"
"e2a3","Effect of screening, same treatment",25,"MRR",0.8765,"(0.8684,0.8887)"
"e2a3","Effect of screening, same treatment",25,"ARR",0.002,"(0.002,0.0023)"
"e2a3","Effect of screening, same treatment",25,"NNS",500,"(465.1163,548.0244)"
"e2a4","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0186,"(0.0183,0.0195)"
"e2a4","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0162,"(0.0159,0.0171)"
"e2a4","Effect of screening, same treatment",25,"MRR",0.871,"(0.8655,0.8843)"
"e2a4","Effect of screening, same treatment",25,"ARR",0.0024,"(0.0023,0.0027)"
"e2a4","Effect of screening, same treatment",25,"NNS",416.6667,"(399.6016,466.3863)"
"e3a1","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.009,"(0.0088,0.0095)"
"e3a1","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0082,"(0.008,0.0087)"
"e3a1","Effect of screening, same treatment",25,"MRR",0.9111,"(0.9067,0.9299)"
"e3a1","Effect of screening, same treatment",25,"ARR",8e-04,"(7e-04,0.001)"
"e3a1","Effect of screening, same treatment",25,"NNS",1250,"(1215.839,1602.8432)"
"e3a2","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0137,"(0.0135,0.0143)"
"e3a2","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0122,"(0.012,0.0129)"
"e3a2","Effect of screening, same treatment",25,"MRR",0.8905,"(0.8865,0.9045)"
"e3a2","Effect of screening, same treatment",25,"ARR",0.0015,"(0.0014,0.0017)"
"e3a2","Effect of screening, same treatment",25,"NNS",666.6667,"(644.1274,778.3733)"
"e3a3","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0169,"(0.0167,0.0177)"
"e3a3","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.015,"(0.0147,0.0157)"
"e3a3","Effect of screening, same treatment",25,"MRR",0.8876,"(0.8784,0.896)"
"e3a3","Effect of screening, same treatment",25,"ARR",0.0019,"(0.0019,0.0022)"
"e3a3","Effect of screening, same treatment",25,"NNS",526.3158,"(480.7692,571.4286)"
"e3a4","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0193,"(0.019,0.0202)"
"e3a4","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0169,"(0.0167,0.0179)"
"e3a4","Effect of screening, same treatment",25,"MRR",0.8756,"(0.8739,0.8924)"
"e3a4","Effect of screening, same treatment",25,"ARR",0.0024,"(0.0022,0.0026)"
"e3a4","Effect of screening, same treatment",25,"NNS",416.6667,"(413.2231,485.5662)"
"e4a1","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0097,"(0.0095,0.0102)"
"e4a1","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.009,"(0.0088,0.0095)"
"e4a1","Effect of screening, same treatment",25,"MRR",0.9278,"(0.9225,0.9405)"
"e4a1","Effect of screening, same treatment",25,"ARR",7e-04,"(6e-04,9e-04)"
"e4a1","Effect of screening, same treatment",25,"NNS",1428.5714,"(1333.3333,1773.511)"
"e4a2","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0144,"(0.0141,0.0151)"
"e4a2","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.013,"(0.0127,0.0136)"
"e4a2","Effect of screening, same treatment",25,"MRR",0.9028,"(0.8978,0.9147)"
"e4a2","Effect of screening, same treatment",25,"ARR",0.0014,"(0.0013,0.0016)"
"e4a2","Effect of screening, same treatment",25,"NNS",714.2857,"(675.6757,819.6721)"
"e4a3","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0176,"(0.0174,0.0184)"
"e4a3","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0157,"(0.0154,0.0165)"
"e4a3","Effect of screening, same treatment",25,"MRR",0.892,"(0.8867,0.9029)"
