"Page type","AJCC stage 3rdEd (1988-2003) Lung","Summary Interval","N","Cause-Spec","SE Cause-Spec","Cause-Spec Cum CI Lower","Cause-Spec Cum CI Upper"
"Survival Summary Page",I,12 mo,3874,90.3%,0.5%,89.3%,91.2%
"Survival Summary Page",I,24 mo,3874,80.9%,0.6%,79.5%,82.1%
"Survival Summary Page",I,36 mo,3874,74.4%,0.7%,72.9%,75.8%
"Survival Summary Page",I,48 mo,3874,68.2%,0.8%,66.7%,69.7%
"Survival Summary Page",I,60 mo,3874,64.8%,0.8%,63.2%,66.3%
"Survival Summary Page",I,72 mo,3874,61.6%,0.8%,60.0%,63.2%
"Survival Summary Page",I,84 mo,3874,58.8%,0.8%,57.1%,60.4%
"Survival Summary Page",I,96 mo,3874,56.0%,0.9%,54.3%,57.7%
"Survival Summary Page",I,108 mo,3874,54.1%,0.9%,52.3%,55.9%
"Survival Summary Page",I,120 mo,3874,52.4%,1.0%,50.5%,54.3%
"Survival Summary Page",II,12 mo,642,82.6%,1.5%,79.4%,85.4%
"Survival Summary Page",II,24 mo,642,66.2%,1.9%,62.3%,69.8%
"Survival Summary Page",II,36 mo,642,57.0%,2.0%,52.9%,60.8%
"Survival Summary Page",II,48 mo,642,50.7%,2.1%,46.6%,54.6%
"Survival Summary Page",II,60 mo,642,44.7%,2.1%,40.7%,48.7%
"Survival Summary Page",II,72 mo,642,39.6%,2.0%,35.6%,43.6%
"Survival Summary Page",II,84 mo,642,36.7%,2.0%,32.8%,40.7%
"Survival Summary Page",II,96 mo,642,34.0%,2.0%,30.1%,38.0%
"Survival Summary Page",II,108 mo,642,31.4%,2.1%,27.4%,35.5%
"Survival Summary Page",II,120 mo,642,31.4%,2.1%,27.4%,35.5%
"Survival Summary Page",III,12 mo,7107,51.2%,0.6%,50.0%,52.4%
"Survival Summary Page",III,24 mo,7107,30.6%,0.6%,29.5%,31.7%
"Survival Summary Page",III,36 mo,7107,22.0%,0.5%,21.0%,23.0%
"Survival Summary Page",III,48 mo,7107,18.0%,0.5%,17.0%,18.9%
"Survival Summary Page",III,60 mo,7107,15.5%,0.5%,14.6%,16.4%
"Survival Summary Page",III,72 mo,7107,13.7%,0.4%,12.8%,14.5%
"Survival Summary Page",III,84 mo,7107,12.5%,0.4%,11.6%,13.3%
"Survival Summary Page",III,96 mo,7107,11.3%,0.4%,10.5%,12.2%
"Survival Summary Page",III,108 mo,7107,10.6%,0.4%,9.8%,11.5%
"Survival Summary Page",III,120 mo,7107,9.8%,0.5%,9.0%,10.8%
"Survival Summary Page",IV,12 mo,11424,22.6%,0.4%,21.8%,23.4%
"Survival Summary Page",IV,24 mo,11424,8.8%,0.3%,8.3%,9.3%
"Survival Summary Page",IV,36 mo,11424,4.9%,0.2%,4.5%,5.4%
"Survival Summary Page",IV,48 mo,11424,3.3%,0.2%,2.9%,3.6%
"Survival Summary Page",IV,60 mo,11424,2.5%,0.2%,2.2%,2.9%
"Survival Summary Page",IV,72 mo,11424,2.1%,0.1%,1.8%,2.4%
"Survival Summary Page",IV,84 mo,11424,1.8%,0.1%,1.5%,2.1%
"Survival Summary Page",IV,96 mo,11424,1.6%,0.1%,1.4%,1.9%
"Survival Summary Page",IV,108 mo,11424,1.4%,0.1%,1.2%,1.7%
"Survival Summary Page",IV,120 mo,11424,1.2%,0.1%,1.0%,1.5%
